Year,DayOfYear,Date,Value
2000,14,2000-01-14,63.15
2000,15,2000-01-15,63.15
2000,16,2000-01-16,63.79
2000,17,2000-01-17,67.76
2000,18,2000-01-18,64.59
2000,19,2000-01-19,67.13
2000,20,2000-01-20,64.86
2000,21,2000-01-21,65.12
2000,22,2000-01-22,66.96
2000,23,2000-01-23,65.22
2000,24,2000-01-24,66.3
2000,25,2000-01-25,63.44
2000,26,2000-01-26,60.9
2000,27,2000-01-27,64.23
2000,28,2000-01-28,63.27
2000,29,2000-01-29,62.86
2000,30,2000-01-30,65.27
2000,31,2000-01-31,67.49
2000,32,2000-02-01,63.88
2000,33,2000-02-02,63.85
2000,34,2000-02-03,61.25
2000,35,2000-02-04,61.07
2000,36,2000-02-05,61.32
2000,37,2000-02-06,66.79
2000,38,2000-02-07,60.15
2000,39,2000-02-08,58.0
2000,40,2000-02-09,58.0
2000,41,2000-02-10,60.85
2000,42,2000-02-11,64.51
2000,43,2000-02-12,62.16
2000,44,2000-02-13,62.44
2000,45,2000-02-14,65.01
2000,46,2000-02-15,68.55
2000,47,2000-02-16,63.71
2000,48,2000-02-17,66.47
2000,49,2000-02-18,65.64
2000,50,2000-02-19,67.18
2000,51,2000-02-20,67.87
2000,52,2000-02-21,65.69
2000,53,2000-02-22,63.95
2000,54,2000-02-23,64.53
2000,55,2000-02-24,67.92
2000,56,2000-02-25,62.6
2000,57,2000-02-26,70.3
2000,58,2000-02-27,63.74
2000,59,2000-02-28,62.78
2000,60,2000-02-29,59.99
2000,61,2000-03-01,60.46
2000,62,2000-03-02,65.22
2000,63,2000-03-03,64.61
2000,64,2000-03-04,61.53
2000,65,2000-03-05,63.73
2000,66,2000-03-06,63.96
2000,67,2000-03-07,65.14
2000,68,2000-03-08,64.12
2000,69,2000-03-09,66.51
2000,70,2000-03-10,66.84
2000,71,2000-03-11,61.86
2000,72,2000-03-12,62.06
2000,73,2000-03-13,66.18
2000,74,2000-03-14,68.61
2000,75,2000-03-15,66.25
2000,76,2000-03-16,63.96
2000,77,2000-03-17,60.81
2000,78,2000-03-18,64.01
2000,79,2000-03-19,61.76
2000,80,2000-03-20,63.93
2000,81,2000-03-21,67.04
2000,82,2000-03-22,68.72
2000,83,2000-03-23,69.28
2000,84,2000-03-24,63.08
2000,85,2000-03-25,64.42
2000,86,2000-03-26,67.38
2000,87,2000-03-27,65.97
2000,88,2000-03-28,65.09
2000,89,2000-03-29,66.93
2000,90,2000-03-30,64.78
2000,91,2000-03-31,65.28
2000,92,2000-04-01,65.19
2000,93,2000-04-02,64.26
2000,94,2000-04-03,60.56
2000,95,2000-04-04,58.0
2000,96,2000-04-05,62.47
2000,97,2000-04-06,59.36
2000,98,2000-04-07,64.18
2000,99,2000-04-08,63.49
2000,100,2000-04-09,63.52
2000,101,2000-04-10,65.08
2000,102,2000-04-11,64.06
2000,103,2000-04-12,58.51
2000,104,2000-04-13,62.69
2000,105,2000-04-14,64.2
2000,106,2000-04-15,69.52
2000,107,2000-04-16,69.97
2000,108,2000-04-17,63.76
2000,109,2000-04-18,65.22
2000,110,2000-04-19,65.78
2000,111,2000-04-20,63.07
2000,112,2000-04-21,61.22
2000,113,2000-04-22,59.13
2000,114,2000-04-23,59.93
2000,115,2000-04-24,58.0
2000,116,2000-04-25,63.4
2000,117,2000-04-26,64.39
2000,118,2000-04-27,62.55
2000,119,2000-04-28,59.43
2000,120,2000-04-29,65.28
2000,121,2000-04-30,66.19
2000,122,2000-05-01,69.25
2000,123,2000-05-02,68.26
2000,124,2000-05-03,62.52
2000,125,2000-05-04,66.63
2000,126,2000-05-05,68.62
2000,127,2000-05-06,66.44
2000,128,2000-05-07,66.63
2000,129,2000-05-08,65.88
2000,130,2000-05-09,62.57
2000,131,2000-05-10,64.21
2000,132,2000-05-11,64.35
2000,133,2000-05-12,67.48
2000,134,2000-05-13,65.14
2000,135,2000-05-14,63.62
2000,136,2000-05-15,61.61
2000,137,2000-05-16,63.96
2000,138,2000-05-17,66.4
2000,139,2000-05-18,65.45
2000,140,2000-05-19,64.56
2000,141,2000-05-20,62.96
2000,142,2000-05-21,64.9
2000,143,2000-05-22,67.02
2000,144,2000-05-23,64.32
2000,145,2000-05-24,65.25
2000,146,2000-05-25,65.63
2000,147,2000-05-26,61.25
2000,148,2000-05-27,63.11
2000,149,2000-05-28,60.87
2000,150,2000-05-29,67.12
2000,151,2000-05-30,68.55
2000,152,2000-05-31,66.38
2000,153,2000-06-01,65.14
2000,154,2000-06-02,64.09
2000,155,2000-06-03,64.04
2000,156,2000-06-04,65.83
2000,157,2000-06-05,65.7
2000,158,2000-06-06,62.72
2000,159,2000-06-07,66.38
2000,160,2000-06-08,63.11
2000,161,2000-06-09,63.76
2000,162,2000-06-10,66.21
2000,163,2000-06-11,65.16
2000,164,2000-06-12,65.63
2000,165,2000-06-13,61.4
2000,166,2000-06-14,64.34
2000,167,2000-06-15,62.86
2000,168,2000-06-16,65.05
2000,169,2000-06-17,63.33
2000,170,2000-06-18,65.16
2000,171,2000-06-19,62.09
2000,172,2000-06-20,64.37
2000,173,2000-06-21,66.69
2000,174,2000-06-22,62.49
2000,175,2000-06-23,64.45
2000,176,2000-06-24,64.9
2000,177,2000-06-25,59.96
2000,178,2000-06-26,63.88
2000,179,2000-06-27,66.85
2000,180,2000-06-28,64.9
2000,181,2000-06-29,65.67
2000,182,2000-06-30,66.96
2000,183,2000-07-01,68.11
2000,184,2000-07-02,67.34
2000,185,2000-07-03,65.5
2000,186,2000-07-04,62.44
