Date,Year,DayOfYear,Value
2000-01-14,2000,14,63.15
2000-01-15,2000,15,63.15
2000-01-16,2000,16,63.79
2000-01-17,2000,17,67.76
2000-01-18,2000,18,64.59
2000-01-19,2000,19,67.13
2000-01-20,2000,20,64.86
2000-01-21,2000,21,65.12
2000-01-22,2000,22,66.96
2000-01-23,2000,23,65.22
2000-01-24,2000,24,66.02
2000-01-25,2000,25,64.31
2000-01-26,2000,26,60.68
2000-01-27,2000,27,63.87
2000-01-28,2000,28,63.44
2000-01-29,2000,29,62.71
2000-01-30,2000,30,64.97
2000-01-31,2000,31,67.7
2000-02-01,2000,32,64.17
2000-02-02,2000,33,64.1
2000-02-03,2000,34,61.09
2000-02-04,2000,35,61.43
2000-02-05,2000,36,60.38
2000-02-06,2000,37,67.01
2000-02-07,2000,38,61.22
2000-02-08,2000,39,58.0
2000-02-09,2000,40,58.0
2000-02-10,2000,41,60.43
2000-02-11,2000,42,64.32
2000-02-12,2000,43,62.36
2000-02-13,2000,44,62.35
2000-02-14,2000,45,64.56
2000-02-15,2000,46,69.0
2000-02-16,2000,47,63.55
2000-02-17,2000,48,66.25
2000-02-18,2000,49,65.86
2000-02-19,2000,50,66.35
2000-02-20,2000,51,68.36
2000-02-21,2000,52,66.08
2000-02-22,2000,53,64.23
2000-02-23,2000,54,64.01
2000-02-24,2000,55,67.49
2000-02-25,2000,56,62.97
2000-02-26,2000,57,69.39
2000-02-27,2000,58,64.79
2000-02-28,2000,59,63.02
2000-02-29,2000,60,60.65
2000-03-01,2000,61,59.35
2000-03-02,2000,62,65.25
2000-03-03,2000,63,64.57
2000-03-04,2000,64,62.2
2000-03-05,2000,65,62.78
2000-03-06,2000,66,64.46
2000-03-07,2000,67,64.89
2000-03-08,2000,68,64.28
2000-03-09,2000,69,66.25
2000-03-10,2000,70,67.59
2000-03-11,2000,71,62.6
2000-03-12,2000,72,61.61
2000-03-13,2000,73,65.25
2000-03-14,2000,74,68.94
2000-03-15,2000,75,66.6
2000-03-16,2000,76,64.67
2000-03-17,2000,77,61.25
2000-03-18,2000,78,62.61
2000-03-19,2000,79,63.1
2000-03-20,2000,80,62.91
2000-03-21,2000,81,66.68
2000-03-22,2000,82,68.34
2000-03-23,2000,83,70.23
2000-03-24,2000,84,64.03
2000-03-25,2000,85,63.82
2000-03-26,2000,86,66.96
2000-03-27,2000,87,66.36
2000-03-28,2000,88,64.68
2000-03-29,2000,89,66.74
2000-03-30,2000,90,65.69
2000-03-31,2000,91,64.53
2000-04-01,2000,92,65.52
2000-04-02,2000,93,64.62
2000-04-03,2000,94,61.87
2000-04-04,2000,95,58.0
2000-04-05,2000,96,61.56
2000-04-06,2000,97,59.28
2000-04-07,2000,98,63.07
2000-04-08,2000,99,63.77
2000-04-09,2000,100,63.21
2000-04-10,2000,101,64.65
2000-04-11,2000,102,64.89
2000-04-12,2000,103,60.57
2000-04-13,2000,104,59.57
2000-04-14,2000,105,64.87
2000-04-15,2000,106,67.67
2000-04-16,2000,107,71.0
2000-04-17,2000,108,65.19
2000-04-18,2000,109,64.51
2000-04-19,2000,110,66.38
2000-04-20,2000,111,63.63
2000-04-21,2000,112,62.42
2000-04-22,2000,113,58.0
2000-04-23,2000,114,61.59
2000-04-24,2000,115,58.0
2000-04-25,2000,116,59.41
2000-04-26,2000,117,65.97
2000-04-27,2000,118,62.97
2000-04-28,2000,119,60.81
2000-04-29,2000,120,62.86
2000-04-30,2000,121,66.0
2000-05-01,2000,122,68.23
2000-05-02,2000,123,69.65
2000-05-03,2000,124,63.63
2000-05-04,2000,125,65.27
2000-05-05,2000,126,69.19
2000-05-06,2000,127,66.52
2000-05-07,2000,128,66.85
2000-05-08,2000,129,66.07
2000-05-09,2000,130,64.07
2000-05-10,2000,131,62.8
2000-05-11,2000,132,64.84
2000-05-12,2000,133,66.46
2000-05-13,2000,134,65.89
2000-05-14,2000,135,64.14
2000-05-15,2000,136,61.95
2000-05-16,2000,137,63.08
2000-05-17,2000,138,65.92
2000-05-18,2000,139,65.89
2000-05-19,2000,140,64.76
2000-05-20,2000,141,63.93
2000-05-21,2000,142,62.88
2000-05-22,2000,143,66.99
2000-05-23,2000,144,65.7
2000-05-24,2000,145,64.31
2000-05-25,2000,146,66.11
2000-05-26,2000,147,62.91
2000-05-27,2000,148,62.71
2000-05-28,2000,149,60.59
2000-05-29,2000,150,64.81
2000-05-30,2000,151,69.02
2000-05-31,2000,152,66.8
2000-06-01,2000,153,66.13
2000-06-02,2000,154,63.66
2000-06-03,2000,155,64.46
2000-06-04,2000,156,64.59
2000-06-05,2000,157,66.41
2000-06-06,2000,158,63.96
2000-06-07,2000,159,64.72
2000-06-08,2000,160,64.43
2000-06-09,2000,161,62.74
2000-06-10,2000,162,65.58
2000-06-11,2000,163,64.73
2000-06-12,2000,164,67.29
2000-06-13,2000,165,61.89
2000-06-14,2000,166,63.05
2000-06-15,2000,167,64.45
2000-06-16,2000,168,62.5
2000-06-17,2000,169,65.67
2000-06-18,2000,170,63.15
2000-06-19,2000,171,64.42
2000-06-20,2000,172,62.47
2000-06-21,2000,173,66.22
2000-06-22,2000,174,64.32
2000-06-23,2000,175,63.04
2000-06-24,2000,176,66.1
2000-06-25,2000,177,61.83
