Date,gdp_per_capita,gdp_per_capita_MA30
2000-01-22,22178,
2000-01-22,22286,
2000-01-22,22404,
2000-01-22,22516,
2000-01-22,22624,
2000-01-22,22723,
2000-01-22,22831,
2000-01-22,23052,
2000-01-23,23822,
2000-01-23,23268,
2000-01-23,23484,
2000-01-23,23709,
2000-01-23,23601,
2000-01-23,24038,
2000-01-23,24146,
2000-01-23,24146,
2000-01-23,24136,
2000-01-23,23930,
2000-01-24,24099,
2000-01-24,24127,
2000-01-24,24070,
2000-01-24,24117,
2000-01-24,24085,
2000-01-24,24052,
2000-01-24,24019,
2000-01-24,23972,
2000-01-24,24038,
2000-01-24,23995,
2000-01-25,23709,
2000-01-25,23751,23564.266666666666
2000-01-25,23775,23617.5
2000-01-25,23798,23667.9
2000-01-25,23817,23715.0
2000-01-25,23836,23759.0
2000-01-25,23883,23800.966666666667
2000-01-25,23906,23840.4
2000-01-25,23925,23876.866666666665
2000-01-25,23948,23906.733333333334
2000-01-25,23859,23907.966666666667
2000-01-26,23620,23919.7
2000-01-26,23577,23922.8
2000-01-26,23531,23916.866666666665
2000-01-26,23667,23919.066666666666
2000-01-26,23488,23900.733333333334
2000-01-26,23286,23872.066666666666
2000-01-26,23357,23845.766666666666
2000-01-26,23362,23819.966666666667
2000-01-26,23423,23803.066666666666
2000-01-26,23254,23774.9
2000-01-27,24864,23799.466666666667
2000-01-27,25390,23843.466666666667
2000-01-27,25235,23880.733333333334
2000-01-27,25075,23913.733333333334
2000-01-27,23991,23911.7
2000-01-27,23831,23905.433333333334
2000-01-27,23671,23895.4
2000-01-27,23516,23878.0
2000-01-27,24239,23886.133333333335
2000-01-27,24549,23914.133333333335
2000-01-28,23183,23895.2
2000-01-28,23718,23893.3
2000-01-28,23357,23878.6
2000-01-28,23535,23869.2
2000-01-28,24362,23886.733333333334
2000-01-28,24958,23922.566666666666
2000-01-28,25136,23963.566666666666
2000-01-28,25315,24009.9
2000-01-28,24005,24011.8
2000-01-28,24718,24040.433333333334
2000-01-29,22939,24017.733333333334
2000-01-29,22826,23992.7
2000-01-29,22831,23969.366666666665
2000-01-29,22887,23943.366666666665
2000-01-29,23005,23927.266666666666
2000-01-29,22995,23917.566666666666
2000-01-29,23061,23907.7
2000-01-29,23202,23902.366666666665
2000-01-29,23131,23892.633333333335
2000-01-29,23272,23893.233333333334
2000-01-30,23582,23850.5
2000-01-30,23667,23793.066666666666
2000-01-30,23413,23732.333333333332
2000-01-30,23493,23679.6
2000-01-30,23343,23658.0
2000-01-30,23859,23658.933333333334
2000-01-30,23732,23660.966666666667
2000-01-30,23915,23674.266666666666
2000-01-30,23798,23659.566666666666
2000-01-30,23981,23640.633333333335
2000-01-31,24160,23673.2
2000-01-31,24188,23688.866666666665
2000-01-31,24211,23717.333333333332
2000-01-31,24235,23740.666666666668
2000-01-31,24216,23735.8
2000-01-31,24197,23710.433333333334
2000-01-31,24169,23678.2
2000-01-31,24131,23638.733333333334
2000-01-31,24094,23641.7
2000-01-31,24042,23619.166666666668
2000-01-31,24122,23658.6
2000-02-01,24019,23698.366666666665
2000-02-01,23840,23732.0
2000-02-01,24070,23771.433333333334
2000-02-01,23901,23801.3
2000-02-01,23962,23833.533333333333
2000-02-01,23779,23857.466666666667
2000-02-01,23596,23870.6
2000-02-01,23521,23883.6
2000-02-01,23718,23898.466666666667
2000-02-01,23657,23900.966666666667
2000-02-02,23343,23890.166666666668
2000-02-02,23451,23891.433333333334
2000-02-02,23376,23887.533333333333
2000-02-02,23338,23887.366666666665
2000-02-02,23300,23868.733333333334
2000-02-02,23404,23857.8
2000-02-02,23469,23842.933333333334
2000-02-02,23535,23834.166666666668
2000-02-02,23648,23823.066666666666
2000-02-02,23775,23810.233333333334
2000-02-03,24441,23818.666666666668
2000-02-03,23995,23811.466666666667
2000-02-03,24563,23822.4
2000-02-03,24512,23832.266666666666
2000-02-03,24352,23837.433333333334
2000-02-03,24174,23837.6
2000-02-03,24085,23836.066666666666
2000-02-03,23901,23829.633333333335
2000-02-03,24610,23848.566666666666
2000-02-03,24263,23853.266666666666
2000-02-04,24653,23874.4
2000-02-04,23967,23878.633333333335
2000-02-04,24671,23898.666666666668
2000-02-04,24122,23906.033333333333
2000-02-04,23831,23901.666666666668
2000-02-04,24277,23918.266666666666
2000-02-04,24451,23946.766666666666
2000-02-04,24526,23980.266666666666
2000-02-04,24606,24009.866666666665
2000-02-04,24371,24033.666666666668
2000-02-05,23671,24044.6
2000-02-05,24127,24067.133333333335
2000-02-05,23850,24082.933333333334
2000-02-05,23751,24096.7
2000-02-05,23662,24108.766666666666
2000-02-05,24592,24148.366666666665
2000-02-05,23948,24164.333333333332
2000-02-05,24310,24190.166666666668
2000-02-05,24498,24218.5
2000-02-05,23756,24217.866666666665
2000-02-06,24967,24235.4
2000-02-06,24690,24258.566666666666
2000-02-06,24779,24265.766666666666
2000-02-06,24873,24277.8
2000-02-06,25019,24300.033333333333
2000-02-06,25033,24328.666666666668
2000-02-06,24986,24358.7
2000-02-06,24939,24393.3
2000-02-06,24883,24402.4
2000-02-06,25000,24426.966666666667
2000-02-06,24826,24432.733333333334
2000-02-07,24653,24455.6
2000-02-07,24582,24452.633333333335
2000-02-07,24770,24474.233333333334
2000-02-07,24714,24503.666666666668
2000-02-07,24484,24510.566666666666
2000-02-07,24258,24504.133333333335
2000-02-07,24310,24496.933333333334
2000-02-07,24188,24483.0
2000-02-07,24390,24483.633333333335
2000-02-07,24211,24501.633333333335
2000-02-08,24723,24521.5
2000-02-08,24704,24549.966666666667
2000-02-08,24662,24580.333333333332
2000-02-08,24610,24611.933333333334
2000-02-08,24667,24614.433333333334
2000-02-08,24432,24630.566666666666
2000-02-08,24338,24631.5
2000-02-08,24282,24624.3
2000-02-08,24230,24640.1
2000-02-08,24526,24625.4
2000-02-09,24446,24617.266666666666
2000-02-09,24225,24598.8
2000-02-09,24610,24590.033333333333
2000-02-09,24549,24574.366666666665
2000-02-09,24333,24551.033333333333
2000-02-09,24521,24535.533333333333
2000-02-09,24160,24509.566666666666
2000-02-09,24127,24484.366666666665
2000-02-09,24254,24459.5
2000-02-09,24390,24444.966666666667
2000-02-10,25667,24478.766666666666
2000-02-10,25798,24519.3
2000-02-10,25915,24557.466666666667
2000-02-10,25873,24596.1
2000-02-10,25737,24637.866666666665
2000-02-10,25601,24682.633333333335
2000-02-10,25150,24710.633333333335
2000-02-10,24878,24733.633333333335
2000-02-10,24662,24742.7
2000-02-10,25418,24782.933333333334
2000-02-11,24700,24782.166666666668
2000-02-11,25263,24800.8
2000-02-11,25507,24828.966666666667
2000-02-11,25019,24842.6
2000-02-11,24826,24847.9
2000-02-11,24221,24840.866666666665
2000-02-11,24582,24849.0
2000-02-11,24338,24850.866666666665
2000-02-11,24225,24850.7
2000-02-11,24460,24848.5
2000-02-12,24399,24846.933333333334
2000-02-12,24258,24848.033333333333
2000-02-12,24291,24837.4
2000-02-12,24329,24830.066666666666
2000-02-12,24352,24830.7
2000-02-12,24376,24825.866666666665
2000-02-12,24423,24834.633333333335
2000-02-12,24446,24845.266666666666
2000-02-12,24469,24852.433333333334
2000-02-12,24479,24855.4
2000-02-12,24493,24816.266666666666
2000-02-13,24258,24764.933333333334
2000-02-13,24507,24718.0
2000-02-13,24484,24671.7
2000-02-13,24408,24627.4
2000-02-13,23685,24563.533333333333
2000-02-13,23986,24524.733333333334
2000-02-13,24183,24501.566666666666
2000-02-13,23836,24474.033333333333
2000-02-13,24108,24430.366666666665
2000-02-13,24333,24418.133333333335
2000-02-14,23277,24351.933333333334
2000-02-14,23347,24279.933333333334
2000-02-14,23315,24223.133333333335
2000-02-14,23277,24171.5
2000-02-14,23249,24139.1
2000-02-14,23404,24099.833333333332
2000-02-14,23352,24066.966666666667
2000-02-14,23427,24040.366666666665
2000-02-14,23502,24008.433333333334
2000-02-14,23577,23981.033333333333
