Year,DayOfYear,Value
2000,14,63.13
2000,15,63.15
2000,16,63.7
2000,17,67.86
2000,18,64.51
2000,19,67.16
2000,20,64.81
2000,21,65.06
2000,22,66.99
2000,23,65.22
2000,24,66.3
2000,25,63.44
2000,26,60.9
2000,27,64.28
2000,28,63.22
2000,29,62.83
2000,30,65.27
2000,31,67.57
2000,32,63.81
2000,33,63.93
2000,34,61.2
2000,35,61.14
2000,36,61.32
2000,37,66.79
2000,38,60.15
2000,39,55.58
2000,40,56.84
2000,41,60.89
2000,42,64.57
2000,43,62.09
2000,44,62.44
2000,45,64.92
2000,46,68.69
2000,47,63.63
2000,48,66.47
2000,49,65.64
2000,50,67.18
2000,51,67.87
2000,52,65.69
2000,53,63.92
2000,54,64.46
2000,55,67.97
2000,56,62.39
2000,57,70.45
2000,58,63.6
2000,59,62.8
2000,60,60.02
2000,61,60.46
2000,62,65.2
2000,63,64.61
2000,64,61.53
2000,65,63.73
2000,66,63.93
2000,67,65.2
2000,68,64.07
2000,69,66.55
2000,70,66.95
2000,71,61.73
2000,72,62.0
2000,73,66.16
2000,74,68.64
2000,75,66.25
2000,76,63.98
2000,77,60.82
2000,78,64.03
2000,79,61.65
2000,80,63.99
2000,81,67.04
2000,82,68.7
2000,83,69.43
2000,84,62.94
2000,85,64.37
2000,86,67.38
2000,87,65.97
2000,88,65.09
2000,89,66.93
2000,90,64.78
2000,91,65.28
2000,92,65.16
2000,93,64.32
2000,94,60.52
2000,95,57.79
2000,96,62.53
2000,97,59.24
2000,98,64.29
2000,99,63.49
2000,100,63.52
2000,101,65.09
2000,102,64.06
2000,103,58.51
2000,104,62.83
2000,105,64.15
2000,106,69.65
2000,107,70.12
2000,108,63.62
2000,109,65.25
2000,110,65.85
2000,111,63.05
2000,112,61.26
2000,113,59.13
2000,114,59.94
2000,115,56.36
2000,116,63.38
2000,117,64.32
2000,118,62.61
2000,119,59.39
2000,120,65.42
2000,121,66.11
2000,122,69.32
2000,123,68.41
2000,124,62.46
2000,125,66.62
2000,126,68.67
2000,127,66.44
2000,128,66.62
2000,129,65.88
2000,130,62.57
2000,131,64.29
2000,132,64.32
2000,133,67.56
2000,134,65.08
2000,135,63.65
2000,136,61.58
2000,137,63.93
2000,138,66.4
2000,139,65.45
2000,140,64.56
2000,141,62.96
2000,142,64.89
2000,143,67.04
2000,144,64.28
2000,145,65.28
2000,146,65.72
2000,147,61.14
2000,148,63.19
2000,149,60.73
2000,150,67.2
2000,151,68.59
2000,152,66.38
2000,153,65.14
2000,154,64.09
2000,155,64.04
2000,156,65.88
2000,157,65.74
2000,158,62.66
2000,159,66.47
2000,160,63.02
2000,161,63.7
2000,162,66.25
2000,163,65.08
2000,164,65.64
2000,165,61.4
2000,166,64.34
2000,167,62.86
2000,168,65.05
2000,169,63.26
2000,170,65.23
2000,171,62.0
2000,172,64.37
2000,173,66.79
2000,174,62.39
2000,175,64.43
2000,176,65.01
2000,177,59.96
2000,178,63.87
2000,179,66.85
2000,180,64.9
2000,181,65.67
2000,182,66.96
2000,183,68.12
2000,184,67.35
2000,185,65.55
2000,186,62.38
2000,187,63.82
2000,188,65.58
2000,189,67.79
2000,190,64.57
2000,191,62.39
2000,192,62.8
2000,193,64.48
2000,194,67.24
2000,195,65.06
2000,196,55.72
2000,197,63.87
2000,198,68.59
2000,199,64.59
2000,200,62.82
2000,201,61.45
2000,202,64.59
2000,203,64.04
2000,204,62.16
2000,205,63.93
2000,206,64.76
2000,207,61.83
2000,208,63.65
2000,209,62.8
2000,210,63.62
2000,211,64.43
2000,212,65.56
2000,213,63.0
2000,214,62.97
2000,215,66.55
2000,216,67.13
2000,217,62.47
2000,218,64.62
2000,219,65.0
2000,220,65.36
2000,221,66.73
2000,222,61.95
2000,223,60.81
2000,224,66.16
2000,225,64.95
2000,226,67.18
2000,227,65.16
2000,228,65.12
2000,229,63.81
2000,230,64.75
2000,231,64.35
2000,232,60.46
2000,233,61.4
2000,234,68.17
2000,235,66.19
2000,236,64.43
2000,237,63.93
2000,238,59.76
2000,239,67.49
2000,240,69.32
2000,241,67.56
2000,242,67.86
2000,243,66.9
2000,244,65.47
2000,245,67.68
2000,246,65.55
2000,247,62.24
2000,248,68.37
2000,249,67.45
2000,250,65.47
2000,251,63.87
2000,252,61.78
2000,253,64.4
2000,254,65.2
2000,255,67.24
2000,256,63.82
2000,257,63.46
2000,258,63.15
2000,259,65.67
2000,260,65.34
2000,261,66.03
2000,262,65.17
2000,263,62.58
2000,264,57.7
2000,265,63.48
2000,266,63.59
2000,267,64.21
2000,268,66.13
2000,269,62.64
2000,270,65.16
2000,271,64.35
2000,272,60.52
2000,273,65.49
2000,274,64.39
2000,275,62.75
2000,276,62.63
2000,277,65.25
2000,278,62.8
2000,279,66.73
2000,280,68.33
2000,281,63.66
2000,282,59.65
2000,283,60.93
2000,284,61.98
2000,285,62.28
2000,286,66.74
2000,287,65.41
2000,288,66.4
2000,289,64.26
2000,290,65.39
2000,291,64.28
2000,292,66.0
2000,293,65.92
2000,294,66.07
2000,295,64.56
2000,296,60.41
2000,297,62.83
2000,298,62.75
2000,299,65.83
2000,300,65.64
2000,301,64.53
2000,302,64.86
2000,303,67.73
2000,304,63.19
2000,305,66.57
2000,306,65.27
2000,307,64.39
2000,308,68.66
2000,309,67.65
2000,310,66.6
2000,311,66.73
2000,312,65.3
2000,313,68.69
2000,314,64.87
2000,315,62.83
2000,316,63.33
2000,317,65.08
2000,318,61.72
2000,319,64.76
2000,320,65.03
2000,321,66.71
2000,322,65.17
2000,323,65.25
2000,324,64.48
2000,325,62.96
2000,326,66.36
2000,327,66.11
2000,328,63.52
2000,329,65.33
2000,330,63.52
2000,331,65.34
2000,332,64.2
2000,333,64.62
2000,334,68.69
2000,335,64.23
2000,336,64.4
2000,337,69.66
2000,338,66.96
2000,339,59.36
2000,340,64.39
2000,341,61.42
2000,342,62.38
2000,343,63.9
2000,344,63.55
2000,345,67.51
2000,346,63.33
2000,347,64.51
2000,348,67.56
2000,349,65.3
2000,350,62.08
2000,351,60.4
2000,352,60.67
2000,353,62.14
2000,354,68.72
2001,15,66.62
2001,16,64.12
2001,17,58.31
2001,18,63.0
2001,19,59.17
2001,20,62.16
2001,21,64.98
2001,22,61.58
2001,23,64.67
2001,24,66.27
2001,25,64.54
2001,26,63.55
2001,27,60.04
2001,28,55.47
2001,29,58.14
2001,30,61.36
2001,31,59.85
2001,32,61.12
2001,33,62.68
2001,34,63.05
2001,35,61.98
2001,36,61.01
2001,37,60.63
2001,38,60.71
2001,39,62.19
2001,40,62.75
2001,41,63.11
2001,42,62.09
2001,43,58.36
2001,44,64.97
2001,45,65.34
2001,46,62.46
2001,47,62.49
2001,48,65.33
2001,49,64.06
2001,50,63.24
2001,51,60.08
2001,52,56.69
2001,53,63.29
2001,54,59.3
2001,55,62.44
2001,56,61.64
2001,57,67.27
2001,58,63.21
2001,59,60.7
2001,60,66.68
2001,61,64.06
2001,62,61.56
2001,63,62.09
2001,64,63.26
