Date,debt_gdp_ratio,debt_gdp_ratio_MA30
2000-01-15,42.84,
2000-01-15,43.36,
2000-01-15,43.83,
2000-01-15,44.34,
2000-01-15,44.81,
2000-01-15,45.23,
2000-01-15,45.94,
2000-01-15,46.83,
2000-01-15,47.86,
2000-01-16,50.63,
2000-01-16,48.66,
2000-01-16,49.18,
2000-01-16,50.16,
2000-01-16,49.69,
2000-01-16,50.26,
2000-01-16,50.54,
2000-01-16,49.93,
2000-01-16,49.65,
2000-01-16,50.73,
2000-01-17,49.13,
2000-01-17,49.46,
2000-01-17,49.27,
2000-01-17,48.8,
2000-01-17,48.94,
2000-01-17,48.52,
2000-01-17,48.62,
2000-01-17,48.52,
2000-01-17,48.62,
2000-01-17,48.57,
2000-01-18,48.52,48.048
2000-01-18,48.47,48.235666666666674
2000-01-18,48.43,48.404666666666664
2000-01-18,48.47,48.559333333333335
2000-01-18,48.47,48.697
2000-01-18,48.57,48.822333333333326
2000-01-18,48.62,48.93533333333333
2000-01-18,48.62,49.02466666666667
2000-01-18,49.27,49.105999999999995
2000-01-18,50.45,49.19233333333333
2000-01-19,54.01,49.30499999999999
2000-01-19,55.23,49.524
2000-01-19,51.67,49.607
2000-01-19,52.84,49.69633333333333
2000-01-19,56.69,49.92966666666667
2000-01-19,63.4,50.36766666666667
2000-01-19,61.38,50.729
2000-01-19,65.8,51.258
2000-01-19,59.04,51.571
2000-01-19,64.62,52.034
2000-01-20,59.32,52.373666666666665
2000-01-20,54.39,52.538000000000004
2000-01-20,56.03,52.763333333333335
2000-01-20,57.68,53.05933333333334
2000-01-20,65.7,53.618
2000-01-20,64.72,54.158
2000-01-20,62.93,54.635
2000-01-20,66.6,55.23766666666666
2000-01-20,66.97,55.849333333333334
2000-01-20,61.15,56.26866666666667
2000-01-21,52.75,56.409666666666666
2000-01-21,47.91,56.39099999999999
2000-01-21,51.1,56.480000000000004
2000-01-21,49.41,56.51133333333334
2000-01-21,46.41,56.44266666666667
2000-01-21,44.01,56.29066666666667
2000-01-21,43.26,56.111999999999995
2000-01-21,42.51,55.90833333333333
2000-01-21,42.84,55.694
2000-01-21,44.95,55.510666666666665
2000-01-22,48.66,55.33233333333333
2000-01-22,43.59,54.94433333333333
2000-01-22,44.39,54.70166666666667
2000-01-22,45.56,54.458999999999996
2000-01-22,47.11,54.13966666666667
2000-01-22,53.26,53.80166666666666
2000-01-22,50.73,53.44666666666667
2000-01-22,51.57,52.97233333333334
2000-01-22,52.42,52.75166666666667
2000-01-22,49.88,52.26033333333333
2000-01-23,54.91,52.11333333333334
2000-01-23,55.14,52.13833333333333
2000-01-23,54.06,52.07266666666667
2000-01-23,54.81,51.977
2000-01-23,55.05,51.622
2000-01-23,53.08,51.234
2000-01-23,54.62,50.957
2000-01-23,52.28,50.47966666666667
2000-01-23,51.48,49.96333333333334
2000-01-23,53.83,49.71933333333333
2000-01-24,45.0,49.461
2000-01-24,44.3,49.34066666666667
2000-01-24,43.59,49.090333333333334
2000-01-24,43.59,48.89633333333334
2000-01-24,44.39,48.829
2000-01-24,45.19,48.86833333333333
2000-01-24,47.58,49.01233333333334
2000-01-24,49.18,49.23466666666666
2000-01-24,50.68,49.495999999999995
2000-01-24,46.03,49.532000000000004
2000-01-25,46.08,49.446000000000005
2000-01-25,49.84,49.654333333333334
2000-01-25,47.39,49.75433333333333
2000-01-25,48.71,49.85933333333333
2000-01-25,53.87,50.084666666666664
2000-01-25,52.89,50.072333333333326
2000-01-25,54.91,50.211666666666666
2000-01-25,51.85,50.221
2000-01-25,50.87,50.169333333333334
2000-01-26,58.19,50.446333333333335
2000-01-26,55.8,50.476
2000-01-26,56.5,50.52133333333334
2000-01-26,57.21,50.626333333333335
2000-01-26,57.82,50.72666666666667
2000-01-26,57.54,50.809666666666665
2000-01-26,58.71,50.99733333333334
2000-01-26,58.33,51.120999999999995
2000-01-26,57.96,51.31033333333333
2000-01-26,58.52,51.544999999999995
2000-01-27,54.3,51.56066666666666
2000-01-27,56.83,51.955000000000005
2000-01-27,56.13,52.349333333333334
2000-01-27,55.38,52.742333333333335
2000-01-27,53.22,53.06333333333334
2000-01-27,51.1,53.287
2000-01-27,47.54,53.36533333333333
2000-01-27,52.14,53.51733333333333
2000-01-27,49.98,53.544000000000004
2000-01-27,48.9,53.48466666666666
2000-01-28,40.92,53.31433333333334
2000-01-28,46.08,53.31433333333333
2000-01-28,44.62,53.14033333333334
2000-01-28,42.14,52.965333333333334
2000-01-28,43.36,52.787000000000006
2000-01-28,38.52,52.275333333333336
2000-01-28,36.22,51.71966666666667
2000-01-28,35.23,51.06366666666667
2000-01-28,37.3,50.57866666666667
2000-01-28,39.74,50.20766666666667
2000-01-29,34.48,49.41733333333333
2000-01-29,34.3,48.70066666666666
2000-01-29,33.59,47.937
2000-01-29,33.08,47.132666666666665
2000-01-29,33.45,46.32033333333333
2000-01-29,37.91,45.666000000000004
2000-01-29,36.55,44.92733333333333
2000-01-29,39.93,44.314
2000-01-29,41.95,43.78033333333334
2000-01-29,35.52,43.01366666666667
2000-01-30,49.08,42.839666666666666
2000-01-30,49.18,42.584666666666664
2000-01-30,49.32,42.35766666666667
2000-01-30,48.76,42.13699999999999
2000-01-30,47.77,41.95533333333333
2000-01-30,46.74,41.809999999999995
2000-01-30,44.72,41.716
2000-01-30,43.69,41.434333333333335
2000-01-30,48.94,41.39966666666667
2000-01-30,45.75,41.29466666666667
2000-01-31,47.49,41.51366666666666
2000-01-31,47.11,41.548
2000-01-31,47.86,41.65599999999999
2000-01-31,48.57,41.870333333333335
2000-01-31,48.19,42.03133333333333
2000-01-31,44.95,42.245666666666665
2000-01-31,43.92,42.50233333333333
2000-01-31,46.17,42.867
2000-01-31,46.74,43.181666666666665
2000-01-31,45.56,43.37566666666667
2000-02-01,38.24,43.501
2000-02-01,42.79,43.784
2000-02-01,41.62,44.05166666666666
2000-02-01,40.49,44.29866666666666
2000-02-01,39.37,44.496
2000-02-01,36.78,44.458333333333336
2000-02-01,35.14,44.41133333333334
2000-02-01,33.45,44.19533333333333
2000-02-01,32.28,43.873
2000-02-01,31.38,43.735
2000-02-02,37.11,43.336
2000-02-02,32.46,42.778666666666666
2000-02-02,33.87,42.26366666666667
2000-02-02,35.33,41.816
2000-02-02,31.06,41.259
2000-02-02,39.93,41.032000000000004
2000-02-02,45.19,41.04766666666667
2000-02-02,46.78,41.150666666666666
2000-02-02,48.43,41.13366666666666
2000-02-02,42.75,41.03366666666667
2000-02-03,55.33,41.294999999999995
2000-02-03,51.62,41.44533333333333
2000-02-03,53.26,41.62533333333333
2000-02-03,54.86,41.835
2000-02-03,50.02,41.896
2000-02-03,56.36,42.27633333333333
2000-02-03,55.99,42.678666666666665
2000-02-03,55.28,42.98233333333333
2000-02-03,56.13,43.29533333333333
2000-02-03,55.7,43.63333333333333
2000-02-04,53.03,44.126333333333335
2000-02-04,50.31,44.376999999999995
2000-02-04,54.53,44.80733333333333
2000-02-04,53.78,45.25033333333333
2000-02-04,51.76,45.66333333333333
2000-02-04,48.8,46.064
2000-02-04,47.86,46.48799999999999
2000-02-04,47.11,46.94333333333334
2000-02-04,46.41,47.41433333333334
2000-02-04,45.66,47.89033333333334
2000-02-05,45.61,48.17366666666667
2000-02-05,45.99,48.62466666666667
2000-02-05,48.05,49.09733333333333
2000-02-05,47.3,49.49633333333334
2000-02-05,46.55,50.01266666666667
2000-02-05,49.88,50.34433333333333
2000-02-05,50.45,50.519666666666666
2000-02-05,51.01,50.660666666666664
2000-02-05,49.32,50.69033333333333
2000-02-05,48.71,50.888999999999996
2000-02-06,52.46,50.79333333333333
2000-02-06,53.22,50.84666666666667
2000-02-06,51.57,50.790333333333336
2000-02-06,52.09,50.698
