Date,fdi_inflows_usd,fdi_inflows_usd_MA30
2000-01-18,42756,
2000-01-18,42244,
2000-01-18,41699,
2000-01-19,32885,
2000-01-19,33782,
2000-01-19,34679,
2000-01-19,35577,
2000-01-19,37532,
2000-01-19,36474,
2000-01-19,39583,
2000-01-19,40096,
2000-01-19,40609,
2000-01-19,41122,
2000-01-19,38590,
2000-01-20,27949,
2000-01-20,29071,
2000-01-20,28397,
2000-01-20,27788,
2000-01-20,28333,
2000-01-20,28846,
2000-01-20,29615,
2000-01-20,30288,
2000-01-20,31122,
2000-01-20,31987,
2000-01-21,36955,
2000-01-21,36346,
2000-01-21,35769,
2000-01-21,35160,
2000-01-21,34519,
2000-01-21,33910,34789.433333333334
2000-01-21,32885,34460.4
2000-01-21,31667,34107.833333333336
2000-01-21,30449,33732.833333333336
2000-01-21,29647,33624.9
2000-01-22,37051,33733.86666666667
2000-01-22,37019,33811.86666666667
2000-01-22,36987,33858.86666666667
2000-01-22,36955,33839.63333333333
2000-01-22,37019,33857.8
2000-01-22,37115,33775.53333333333
2000-01-22,37179,33678.3
2000-01-22,37244,33566.13333333333
2000-01-22,37308,33439.0
2000-01-22,37051,33387.7
2000-01-23,37949,33721.03333333333
2000-01-23,39167,34057.566666666666
2000-01-23,38782,34403.73333333333
2000-01-23,38526,34761.666666666664
2000-01-23,38237,35091.8
2000-01-23,37436,35378.13333333333
2000-01-23,37212,35631.36666666667
2000-01-23,37179,35861.066666666666
2000-01-23,37115,36060.833333333336
2000-01-23,37692,36251.0
2000-01-24,39487,36335.4
2000-01-24,38942,36421.933333333334
2000-01-24,40833,36590.73333333333
2000-01-24,37179,36658.03333333333
2000-01-24,38077,36776.63333333333
2000-01-24,39936,36977.5
2000-01-24,40769,37240.3
2000-01-24,40513,37535.166666666664
2000-01-24,40128,37857.8
2000-01-24,39647,38191.13333333333
2000-01-24,40385,38302.26666666667
2000-01-25,41218,38442.23333333333
2000-01-25,36410,38423.0
2000-01-25,35962,38389.9
2000-01-25,35513,38339.7
2000-01-25,35737,38293.76666666667
2000-01-25,36346,38266.0
2000-01-25,36955,38256.36666666667
2000-01-25,37596,38265.96666666667
2000-01-25,38782,38323.666666666664
2000-01-25,40000,38392.03333333333
2000-01-26,42596,38506.333333333336
2000-01-26,43013,38647.36666666667
2000-01-26,42276,38772.36666666667
2000-01-26,43462,38946.53333333333
2000-01-26,43814,39159.13333333333
2000-01-26,44071,39387.76666666667
2000-01-26,43718,39605.73333333333
2000-01-26,43109,39805.53333333333
2000-01-26,42500,39965.8
2000-01-26,41859,40044.86666666667
2000-01-27,40160,40085.46666666667
2000-01-27,40673,40080.13333333333
2000-01-27,40897,40204.066666666666
2000-01-27,40929,40299.13333333333
2000-01-27,40962,40333.333333333336
2000-01-27,41122,40345.1
2000-01-27,41346,40372.86666666667
2000-01-27,41571,40420.96666666667
2000-01-27,41795,40492.566666666666
2000-01-27,42051,40548.1
2000-01-28,33590,40293.833333333336
2000-01-28,34103,40216.933333333334
2000-01-28,34615,40172.03333333333
2000-01-28,35513,40172.03333333333
2000-01-28,36506,40197.666666666664
2000-01-28,38109,40256.433333333334
2000-01-28,38622,40312.0
2000-01-28,39135,40363.3
2000-01-28,39647,40392.13333333333
2000-01-28,37500,40308.8
2000-01-29,35321,40066.3
2000-01-29,37276,39875.066666666666
2000-01-29,36891,39695.566666666666
2000-01-29,36506,39463.7
2000-01-29,36058,39205.166666666664
2000-01-29,33878,38865.4
2000-01-29,37372,38653.86666666667
2000-01-29,33462,38332.3
2000-01-29,33109,38019.26666666667
2000-01-29,33077,37726.53333333333
2000-01-29,34583,37540.63333333333
2000-01-30,34263,37326.96666666667
2000-01-30,34359,37109.03333333333
2000-01-30,35224,36918.86666666667
2000-01-30,34744,36711.6
2000-01-30,35096,36510.73333333333
2000-01-30,36250,36340.86666666667
2000-01-30,35673,36144.26666666667
2000-01-30,36763,35976.53333333333
2000-01-30,37051,35809.86666666667
2000-01-30,34679,35846.166666666664
2000-01-31,40385,36055.566666666666
2000-01-31,40705,36258.566666666666
2000-01-31,40545,36426.3
2000-01-31,40064,36544.9
2000-01-31,39583,36594.03333333333
2000-01-31,38301,36583.333333333336
2000-01-31,37340,36523.5
2000-01-31,36378,36414.53333333333
2000-01-31,35705,36354.7
2000-01-31,39103,36480.76666666667
2000-02-01,36795,36464.73333333333
2000-02-01,36923,36465.8
2000-02-01,37179,36488.23333333333
2000-02-01,37468,36535.23333333333
2000-02-01,37756,36664.5
2000-02-01,38365,36697.6
2000-02-01,38910,36879.2
2000-02-01,39487,37091.8
2000-02-01,40064,37324.7
2000-02-01,38045,37440.1
