Date,gdp_per_capita,gdp_per_capita_MA30
2000-01-05,26756,
2000-01-05,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-06,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-07,26756,
2000-01-08,26756,
2000-01-08,26756,
2000-01-08,26756,
2000-01-08,26756,
2000-01-08,26756,
2000-01-08,26756,
2000-01-08,26756,
2000-01-08,26756,26756.0
2000-01-08,26756,26756.0
2000-01-08,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-09,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-10,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-11,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-12,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-13,26756,26756.0
2000-01-14,26756,26756.0
2000-01-14,26756,26756.0
2000-01-14,26756,26756.0
2000-01-14,26756,26756.0
2000-01-14,26756,26756.0
2000-01-14,26756,26756.0
2000-01-18,25897,26727.366666666665
2000-01-18,25850,26697.166666666668
2000-01-18,25795,26665.133333333335
2000-01-19,24803,26600.033333333333
2000-01-19,24932,26539.233333333334
2000-01-19,25056,26482.566666666666
2000-01-19,25184,26430.166666666668
2000-01-19,25308,26381.9
2000-01-19,25406,26336.9
2000-01-19,25504,26295.166666666668
2000-01-19,25603,26256.733333333334
2000-01-19,25654,26220.0
2000-01-19,25701,26184.833333333332
2000-01-19,25748,26151.233333333334
