Date,renewable_energy_pct,income_inequality_gini,renewable_energy_pct_MA30,income_inequality_gini_MA30
2000-01-05,25.0,50.26,,
2000-01-06,25.0,50.26,,
2000-01-07,25.0,50.26,,
2000-01-08,25.0,50.26,,
2000-01-09,25.0,50.26,,
2000-01-10,25.0,50.26,,
2000-01-11,25.0,50.26,,
2000-01-12,25.0,50.26,,
2000-01-13,25.0,50.26,,
2000-01-14,25.0,50.26,,
2000-01-18,11.44,34.2,,
2000-01-19,12.42,34.12,,
2000-01-20,13.01,29.89,,
2000-01-21,9.17,30.83,,
2000-01-22,13.44,37.02,,
2000-01-23,9.79,44.46,,
2000-01-24,4.98,38.27,,
2000-01-25,10.46,38.27,,
2000-01-26,13.01,35.53,,
2000-01-27,12.3,34.12,,
2000-01-28,12.42,38.7,,
2000-01-29,14.22,36.63,,
2000-01-30,11.13,39.02,,
2000-01-31,13.51,38.39,,
2000-02-01,11.87,42.19,,
2000-02-02,4.15,37.53,,
2000-02-03,9.28,40.43,,
2000-02-04,12.03,42.54,,
2000-02-05,10.22,39.1,,
2000-02-06,8.5,36.59,15.578333333333335,41.681000000000004
2000-02-07,12.97,38.27,15.177333333333333,41.281333333333336
2000-02-08,18.33,34.28,14.955,40.748666666666665
2000-02-09,13.63,41.25,14.575999999999999,40.44833333333334
2000-02-10,9.01,37.61,14.043000000000001,40.026666666666664
2000-02-11,7.87,37.22,13.472000000000001,39.592
2000-02-12,10.3,40.9,12.982,39.28
2000-02-13,15.24,30.24,12.656666666666666,38.61266666666667
2000-02-14,7.29,31.69,12.066333333333334,37.99366666666667
2000-02-15,8.93,32.55,11.530666666666667,37.403333333333336
2000-02-16,13.24,35.92,11.138666666666667,36.925333333333334
2000-02-17,12.5,40.54,11.174000000000001,37.13666666666667
2000-02-18,15.59,40.86,11.279666666666666,37.36133333333333
2000-02-19,15.12,34.04,11.35,37.49966666666667
2000-02-20,12.77,40.35,11.469999999999999,37.81700000000001
2000-02-21,14.49,35.77,11.504999999999999,37.775333333333336
2000-02-22,12.77,40.62,11.604333333333333,37.647333333333336
2000-02-23,13.44,36.71,11.886333333333333,37.595333333333336
2000-02-24,12.42,33.73,11.951666666666666,37.443999999999996
2000-02-25,14.3,34.94,11.994666666666665,37.42433333333334
2000-02-26,15.55,36.9,12.103000000000002,37.517
2000-02-27,11.05,35.1,12.057333333333334,37.397000000000006
2000-02-28,9.91,32.51,11.913666666666666,37.25966666666667
2000-02-29,6.35,33.18,11.754333333333333,37.06499999999999
2000-03-01,7.13,37.72,11.541666666666666,37.04266666666667
2000-03-02,10.58,35.69,11.498666666666667,36.826
2000-03-03,12.1,31.73,11.763666666666667,36.632666666666665
2000-03-04,6.23,38.59,11.661999999999999,36.57133333333333
2000-03-05,9.21,38.19,11.568000000000001,36.42633333333333
2000-03-06,13.87,34.59,11.689666666666666,36.275999999999996
2000-03-07,13.36,34.67,11.851666666666665,36.211999999999996
2000-03-08,9.95,45.36,11.751000000000001,36.44833333333334
2000-03-09,14.73,43.37,11.631,36.751333333333335
2000-03-10,14.06,36.51,11.645333333333333,36.593333333333334
2000-03-11,12.97,34.32,11.777333333333333,36.483666666666664
2000-03-12,11.71,36.08,11.905333333333333,36.44566666666667
2000-03-13,11.32,37.84,11.939333333333334,36.343666666666664
2000-03-14,15.16,35.14,11.936666666666667,36.507
2000-03-15,14.73,36.86,12.184666666666667,36.67933333333333
2000-03-16,9.83,38.66,12.214666666666666,36.883
2000-03-17,8.89,35.84,12.069666666666667,36.88033333333333
2000-03-18,14.06,35.18,12.121666666666666,36.70166666666667
2000-03-19,16.96,39.25,12.167333333333334,36.648
2000-03-20,14.81,38.39,12.157,36.793
2000-03-21,14.69,40.82,12.221,36.80866666666667
2000-03-22,10.73,37.69,12.095666666666666,36.87266666666666
2000-03-23,12.14,32.91,12.074666666666667,36.61566666666667
2000-03-24,15.83,33.89,12.154333333333335,36.52166666666667
2000-03-25,15.16,38.39,12.245666666666667,36.677
2000-03-26,7.13,40.23,12.006666666666666,36.85333333333333
2000-03-27,10.81,38.66,11.848666666666666,36.912000000000006
2000-03-28,15.16,35.1,11.985666666666667,36.912
2000-03-29,14.57,45.83,12.141,37.355999999999995
2000-03-30,14.18,48.03,12.402,37.851
2000-03-31,15.87,38.27,12.693333333333333,37.86933333333334
2000-04-01,13.2,44.46,12.780666666666667,38.16166666666666
2000-04-02,12.38,33.73,12.79,38.22833333333333
2000-04-03,8.42,39.72,12.863000000000001,38.266
2000-04-04,6.27,44.54,12.764999999999999,38.477666666666664
2000-04-05,8.89,34.98,12.598999999999998,38.49066666666667
2000-04-06,15.9,38.82,12.683666666666669,38.629000000000005
2000-04-07,11.79,36.86,12.745,38.345666666666666
2000-04-08,9.32,40.98,12.564666666666666,38.266
2000-04-09,13.95,41.64,12.561000000000002,38.437
2000-04-10,10.93,37.33,12.492999999999999,38.537333333333336
2000-04-11,10.07,38.94,12.438333333333334,38.632666666666665
2000-04-12,9.52,38.55,12.378333333333334,38.656333333333336
2000-04-13,12.34,35.45,12.284333333333333,38.666666666666664
2000-04-14,14.49,36.27,12.276333333333332,38.647000000000006
2000-04-15,11.71,38.35,12.339,38.63666666666666
2000-04-16,10.5,36.0,12.392666666666667,38.642
2000-04-17,13.01,35.33,12.357666666666667,38.647
2000-04-18,13.79,32.36,12.252,38.41733333333333
2000-04-19,13.71,40.31,12.215333333333335,38.48133333333333
2000-04-20,6.54,37.33,11.943666666666667,38.364999999999995
2000-04-21,9.17,42.19,11.891666666666667,38.515
2000-04-22,15.79,49.52,12.013333333333334,39.068666666666665
2000-04-23,11.79,41.88,11.878666666666666,39.335
2000-04-24,10.89,36.47,11.736333333333334,39.271
2000-04-25,13.99,40.98,11.965,39.296
2000-04-26,12.34,34.83,12.016,39.16833333333333
2000-04-27,13.2,34.9,11.950666666666667,39.16166666666666
