Date,exports_usd,imports_usd,exports_usd_MA30,imports_usd_MA30
2000-01-28,706388.21,686732.19,706388.21,686732.19
2000-01-29,706388.21,686732.19,706388.21,686732.19
2000-01-30,706388.21,686732.19,706388.21,686732.19
2000-01-31,706388.21,686732.19,706388.21,686732.19
2000-02-01,706388.21,686732.19,706388.21,686732.19
2000-02-02,706388.21,686732.19,706388.21,686732.19
2000-02-03,706388.21,686732.19,706388.21,686732.19
2000-02-04,706388.21,686732.19,706388.21,686732.19
2000-02-05,706388.21,686732.19,706388.21,686732.19
2000-02-09,518734.64,495086.0,687622.8529999999,667567.5709999999
2000-02-10,542746.26,489557.7390909091,674452.2536363637,651384.8590082644
2000-02-11,554417.02,502317.4,664449.3175,638962.5707575757
2000-02-12,583147.1963636364,522252.62363636366,658195.3081818181,629984.8825174825
2000-02-13,525798.5254545455,505053.60727272724,648738.39512987,621061.22
2000-02-14,482002.45700000005,497766.36,637622.665921212,612841.5626666666
2000-02-15,508650.6983333333,499329.91,629561.9179469697,605747.084375
2000-02-16,565613.1354545455,522838.9536363637,625800.22485918,600870.1355080213
2000-02-17,578746.928,557348.6709090909,623186.1528114477,598452.2763636364
2000-02-18,536855.0357142857,497850.1227272727,618642.409806334,593157.4261722488
2000-02-19,551960.0181818182,531131.3363636364,615308.2902251083,590056.1216818182
2000-02-20,590713.6481818182,540400.9381818182,614137.1167944754,587691.5891341991
2000-02-21,617656.9136363636,467137.5927272727,614297.1075600157,582211.8620247934
2000-02-22,588200.8036363636,445834.2645454546,613162.4856502918,576282.4012648221
2000-02-23,575245.7009090909,527334.1527272728,611582.6196194084,574242.8909090909
2000-02-24,545981.0471428571,519600.17818181816,608958.5567203463,572057.1824
2000-02-25,503839.06500000006,588228.7254545455,604915.4993464869,572679.1648251748
2000-02-26,486291.0427272727,595571.8118181818,600522.0009531826,573527.0406397306
2000-02-27,524877.15,482940.5854545455,597820.399133426,570291.8100974025
2000-02-28,520018.9863636364,438491.1763636364,595137.5917965368,565746.9606583072
2000-02-29,538974.202,495281.43818181823,593265.4788033188,563398.1099090909
2000-03-01,546152.5581818181,534090.9090909091,587924.2904093794,558310.0672121212
2000-03-02,614446.0590909091,472414.56272727274,584859.5520457431,551166.1463030303
2000-03-03,548246.5945454546,458230.9572727273,579588.164863925,543549.4385454545
2000-03-04,514853.69636363635,466802.5463636363,573203.6810760462,536218.4504242424
2000-03-05,535263.5695454546,537134.2418181818,567499.526394228,531231.8521515152
2000-03-06,555673.4427272727,520940.3618181819,562475.7008184703,525705.4578787879
2000-03-07,568209.7381818182,485760.5545454545,557869.7517578644,519006.40336363635
2000-03-08,619611.3481818181,494890.5518181818,554977.1896972583,512611.6820909091
2000-03-09,554109.8945454546,515747.1518181818,549901.2458487734,506912.18081818183
2000-03-10,540205.4963636365,471046.45909090905,550616.9410608946,506110.86278787884
2000-03-11,559973.1972727273,490842.08272727276,551191.1723033189,506153.6742424242
2000-03-12,568516.8636363635,477970.7381818182,551661.1670911977,505342.1188484849
2000-03-13,547827.7854545455,466327.89909090905,550483.853394228,503477.9613636363
2000-03-14,489465.60199999996,477242.01399999997,549272.7559457432,502550.9082545454
2000-03-15,533700.0227272727,513066.7872727273,550996.0081366522,503060.9224969697
2000-03-16,563463.2563636363,484280.7690909091,552823.0934043289,502559.2844666667
