Date,business_confidence_index,manufacturing_pmi,business_confidence_index_MA30,manufacturing_pmi_MA30
2000-01-18,48.73,51.31,,
2000-01-19,49.37,51.27,,
2000-01-20,47.29,52.18,,
2000-01-21,46.08,54.44,,
2000-01-22,46.41,51.9,,
2000-01-23,46.09,54.25,,
2000-01-24,48.48,53.14,,
2000-01-25,48.59,54.18,,
2000-01-26,51.1,50.76,,
2000-01-27,51.42,50.49,,
2000-01-28,49.81,48.53,,
2000-01-29,48.03,48.84,,
2000-01-30,48.75,51.11,,
2000-01-31,51.06,52.04,,
2000-02-01,50.51,49.67,,
2000-02-02,51.86,49.62,,
2000-02-03,49.94,52.72,,
2000-02-04,50.85,51.49,,
2000-02-05,48.53,50.74,,
2000-02-06,48.44,52.13,,
2000-02-07,50.99,52.43,,
2000-02-08,51.04,48.32,,
2000-02-09,47.86,49.87,,
2000-02-10,48.43,49.64,,
2000-02-11,51.27,52.49,,
2000-02-12,50.83,52.79,,
2000-02-13,52.11,51.76,,
2000-02-14,51.51,50.94,,
2000-02-15,52.54,50.35,,
2000-02-16,48.73,49.55,49.555,51.29833333333333
2000-02-17,51.13,49.16,49.635,51.22666666666667
2000-02-18,51.93,47.82,49.720333333333336,51.11166666666667
2000-02-19,52.86,49.39,49.90599999999999,51.01866666666667
2000-02-20,53.98,51.51,50.169333333333334,50.921
2000-02-21,52.02,52.61,50.35633333333333,50.94466666666667
2000-02-22,53.39,52.11,50.599666666666664,50.873333333333335
2000-02-23,50.92,50.56,50.681,50.78733333333333
2000-02-24,48.6,50.31,50.681333333333335,50.65833333333333
2000-02-25,49.9,52.34,50.64133333333333,50.711
2000-02-26,50.49,53.18,50.61033333333333,50.800666666666665
2000-02-27,53.66,52.2,50.73866666666667,50.923
2000-02-28,50.78,52.74,50.83033333333333,51.053000000000004
2000-02-29,52.4,51.11,50.952,51.053
2000-03-01,53.29,51.88,51.02633333333333,51.04766666666667
2000-03-02,54.89,53.5,51.172333333333334,51.17533333333334
2000-03-03,50.53,50.37,51.12800000000001,51.20033333333333
2000-03-04,49.39,50.12,51.10966666666666,51.11366666666666
2000-03-05,50.15,52.68,51.086333333333336,51.15333333333333
2000-03-06,51.93,50.21,51.199666666666666,51.135666666666665
2000-03-07,51.44,49.55,51.29966666666667,51.04966666666667
