Date,fdi_inflows_usd,fdi_inflows_usd_MA30
2000-01-18,22881.05,
2000-01-19,33290.6,
2000-01-20,30418.09,
2000-01-21,23381.77,
2000-01-22,34581.91,
2000-01-23,34766.38,
2000-01-24,32684.47,
2000-01-25,28072.65,
2000-01-26,24383.19,
2000-01-27,28072.65,
2000-01-28,31814.81,
2000-01-29,33685.9,
2000-01-30,27413.82,
2000-01-31,31261.4,
2000-02-01,31683.05,
2000-02-02,25121.08,
2000-02-03,24594.02,
2000-02-04,28942.31,
2000-02-05,33027.07,
2000-02-06,28915.95,
2000-02-07,41275.64,
2000-02-08,42909.54,
2000-02-09,35293.45,
2000-02-10,36242.17,
2000-02-11,32157.41,
2000-02-12,37296.3,
2000-02-13,38086.89,
2000-02-14,33290.6,
2000-02-15,35398.86,
2000-02-16,35240.74,31872.792333333335
2000-02-17,38376.78,32389.316666666666
2000-02-18,32289.17,32355.935666666664
2000-02-19,29311.25,32319.041
2000-02-20,28968.66,32505.270666666667
2000-02-21,30892.45,32382.288666666664
2000-02-22,28968.66,32189.031333333332
2000-02-23,25384.62,31945.702999999998
2000-02-24,28863.25,31972.05633333333
2000-02-25,29706.55,32149.501666666667
2000-02-26,27993.59,32146.86633333333
2000-02-27,29943.73,32084.497
2000-02-28,24383.19,31774.40666666667
2000-02-29,32579.06,31946.58133333333
2000-03-01,26965.81,31803.395000000004
2000-03-02,22169.52,31486.277333333335
2000-03-03,26544.16,31533.713333333333
2000-03-04,32157.41,31785.826333333334
2000-03-05,33738.6,31945.702666666664
2000-03-06,32157.41,31916.714
2000-03-07,29574.79,31938.675333333333
2000-03-08,28441.6,31510.874000000003
2000-03-09,21958.69,30812.512333333332
2000-03-10,31656.7,30691.287333333334
2000-03-11,37454.42,30731.695666666667
2000-03-12,35082.62,30829.202666666664
2000-03-13,38455.84,30867.854000000003
2000-03-14,29100.43,30568.305333333334
2000-03-15,26623.22,30346.05933333333
2000-03-16,28151.71,30104.487666666668
2000-03-17,35240.74,30104.487666666668
2000-03-18,24514.96,29642.427000000003
2000-03-19,31867.52,29628.372
2000-03-20,27914.53,29581.81466666667
2000-03-21,30180.91,29622.222999999998
2000-03-22,29469.37,29574.787
2000-03-23,32341.88,29687.227666666666
2000-03-24,31340.46,29885.755666666668
2000-03-25,35161.68,30095.70333333333
2000-03-26,27123.93,30009.615999999998
2000-03-27,28547.01,30028.063333333335
2000-03-28,34924.5,30194.089
2000-03-29,40379.63,30727.303666666667
2000-03-30,36373.93,30853.799333333332
2000-03-31,31050.57,30989.958
2000-04-01,34660.97,31406.33966666667
2000-04-02,32552.71,31606.624666666667
2000-04-03,33396.01,31647.911333333333
2000-04-04,31920.23,31587.299
2000-04-05,28678.77,31471.34433333333
2000-04-06,25042.02,31320.252
2000-04-07,32552.71,31457.288999999997
2000-04-08,32236.47,31799.881666666668
2000-04-09,32684.47,31834.14066666667
2000-04-10,28599.72,31538.984
2000-04-11,36901.0,31599.596666666668
2000-04-12,29021.37,31285.114333333335
2000-04-13,23803.42,31108.547333333336
2000-04-14,30154.56,31226.25866666667
2000-04-15,34845.44,31449.382999999998
2000-04-16,36927.35,31505.603333333333
2000-04-17,36426.64,31902.659333333333
2000-04-18,30918.8,31871.03533333333
2000-04-19,35451.57,32122.27
2000-04-20,30207.26,32123.148333333334
2000-04-21,28257.12,32082.74
2000-04-22,26649.57,31892.996333333333
2000-04-23,34292.02,31991.381666666664
2000-04-24,27809.12,31746.296333333335
2000-04-25,33659.54,31964.15
2000-04-26,25305.56,31856.101666666666
2000-04-27,29021.37,31659.330666666665
2000-04-28,33975.78,31445.869
2000-04-29,35056.27,31401.947
2000-04-30,32131.05,31437.962999999996
2000-05-01,32631.77,31370.322999999997
2000-05-02,30813.39,31312.345666666668
2000-05-03,26333.33,31076.923000000003
2000-05-04,28204.42,30953.06266666667
2000-05-05,28362.54,30942.521666666667
2000-05-06,24409.54,30921.439000000002
2000-05-07,35003.56,31003.134000000002
2000-05-08,28467.95,30877.516666666666
2000-05-09,20957.26,30486.609666666664
2000-05-10,26886.75,30429.510666666665
2000-05-11,36532.05,30417.212333333333
2000-05-12,32078.35,30519.111666666668
2000-05-13,32394.59,30805.483999999997
2000-05-14,32104.7,30870.488666666668
2000-05-15,32368.23,30787.914999999997
2000-05-16,34898.15,30720.275
2000-05-17,34292.02,30649.121
2000-05-18,38772.08,30910.897
2000-05-19,34792.74,30888.935999999998
2000-05-20,31683.05,30938.129
2000-05-21,30918.8,31026.851666666666
2000-05-22,26570.51,31024.216333333334
2000-05-23,30049.15,30882.787333333334
2000-05-24,37138.18,31193.756
2000-05-25,29363.96,31050.57
2000-05-26,34555.56,31358.903333333332
2000-05-27,35319.8,31568.851000000002
2000-05-28,29838.32,31430.935666666668
2000-05-29,30655.27,31284.235666666664
2000-05-30,35767.81,31405.461000000003
2000-05-31,39483.62,31633.856000000003
2000-06-01,36953.7,31838.533
2000-06-02,32051.99,32029.155000000002
2000-06-03,42329.77,32500.0
2000-06-04,36163.11,32760.018999999997
2000-06-05,32500.0,33029.701
2000-06-06,33475.07,32978.75133333333
2000-06-07,34555.56,33181.67166666667
2000-06-08,38218.66,33757.051666666666
2000-06-09,34344.73,34005.651
2000-06-10,28309.83,33731.577000000005
2000-06-11,35609.69,33849.28833333334
2000-06-12,37797.01,34029.369
2000-06-13,43436.61,34407.09933333333
