Date,gdp_per_capita,gdp_per_capita_MA30
2000-01-18,23381.77,
2000-01-19,25320.87,
2000-01-20,24725.43,
2000-01-21,23420.94,
2000-01-22,23953.7,
2000-01-23,23750.0,
2000-01-24,24216.17,
2000-01-25,24486.47,
2000-01-26,24020.3,
2000-01-27,23538.46,
2000-01-28,23279.91,
2000-01-29,22950.85,
2000-01-30,23452.28,
2000-01-31,23969.37,
2000-02-01,24263.18,
2000-02-02,22915.6,
2000-02-03,23593.3,
2000-02-04,24470.8,
2000-02-05,24513.89,
2000-02-06,23714.74,
2000-02-07,23534.54,
2000-02-08,24176.99,
2000-02-09,23048.79,
2000-02-10,24506.05,
2000-02-11,24478.63,
2000-02-12,24145.66,
2000-02-13,23957.62,
2000-02-14,24694.09,
2000-02-15,23205.48,
2000-02-16,23526.71,23907.086333333333
2000-02-17,24776.35,23953.57233333333
2000-02-18,24690.17,23932.549
2000-02-19,23769.59,23900.68766666667
2000-02-20,23436.61,23901.21
2000-02-21,23855.77,23897.945666666667
2000-02-22,23276.0,23882.145666666667
2000-02-23,22676.64,23830.827999999998
2000-02-24,22406.34,23761.49033333333
2000-02-25,22660.97,23716.179333333333
2000-02-26,23095.8,23701.424
2000-02-27,24145.66,23730.282333333333
2000-02-28,23797.01,23758.487666666668
2000-02-29,22453.35,23725.19
2000-03-01,24897.79,23756.137333333332
2000-03-02,25089.74,23783.689333333336
2000-03-03,23354.34,23798.314
2000-03-04,24028.13,23812.808333333334
2000-03-05,24560.9,23815.811666666665
2000-03-06,24807.69,23825.604999999996
2000-03-07,24506.05,23851.982
2000-03-08,24176.99,23873.397
2000-03-09,23891.03,23863.865
2000-03-10,24263.18,23904.344666666664
2000-03-11,23750.0,23879.142999999996
2000-03-12,23174.15,23835.66033333333
2000-03-13,23213.32,23804.582333333336
2000-03-14,24533.48,23823.77766666667
2000-03-15,24470.8,23816.334666666666
2000-03-16,24247.51,23851.069
2000-03-17,23495.37,23850.02433333333
2000-03-18,24227.92,23831.743333333336
2000-03-19,23961.54,23807.45566666667
2000-03-20,23883.19,23811.242333333335
2000-03-21,24063.39,23832.135000000002
2000-03-22,23930.2,23834.615999999998
2000-03-23,24216.17,23865.955
2000-03-24,23663.82,23898.860999999997
2000-03-25,24553.06,23970.418333333335
2000-03-26,24682.34,24037.797333333332
2000-03-27,23260.33,24043.28166666667
2000-03-28,25767.45,24097.341333333334
2000-03-29,25030.98,24138.473666666665
2000-03-30,25132.83,24227.789666666667
2000-03-31,24278.85,24207.158333333333
2000-04-01,24698.01,24194.10066666667
2000-04-02,23475.78,24198.148666666664
2000-04-03,24188.75,24203.502666666664
2000-04-04,24286.68,24194.362
2000-04-05,24090.81,24170.466000000004
2000-04-06,22801.99,24113.664
2000-04-07,23401.35,24087.809333333335
2000-04-08,23757.83,24083.369333333332
2000-04-09,23620.73,24061.954333333335
2000-04-10,23695.16,24060.126333333334
2000-04-11,24682.34,24110.39933333333
2000-04-12,24380.7,24149.311999999998
2000-04-13,23272.08,24107.265333333333
2000-04-14,23303.42,24068.35266666667
2000-04-15,24286.68,24069.658333333333
2000-04-16,24110.4,24090.159333333333
2000-04-17,23894.94,24079.06
2000-04-18,23272.08,24056.077999999998
2000-04-19,24357.19,24071.878
2000-04-20,24631.41,24090.811999999998
2000-04-21,24176.99,24099.038333333334
2000-04-22,25038.82,24126.460000000003
2000-04-23,25340.46,24182.348
2000-04-24,25211.18,24204.285333333337
2000-04-25,24016.38,24182.08666666667
2000-04-26,22970.44,24172.423666666666
2000-04-27,23232.91,24087.939000000002
2000-04-28,24709.76,24077.23166666667
2000-04-29,23828.35,24033.749
2000-04-30,24239.67,24032.442999999996
2000-05-01,24200.5,24015.85933333333
2000-05-02,24842.95,24061.431666666667
2000-05-03,23981.13,24054.511000000002
2000-05-04,23467.95,24027.219999999998
2000-05-05,23460.11,24006.196666666663
2000-05-06,22214.39,23986.609999999997
2000-05-07,23432.69,23987.654666666665
2000-05-08,23221.15,23969.765333333333
2000-05-09,23518.87,23966.370000000003
2000-05-10,23988.96,23976.163333333334
2000-05-11,24635.33,23974.596333333335
2000-05-12,23558.05,23947.174666666666
2000-05-13,24165.24,23976.946666666667
2000-05-14,24290.6,24009.852666666666
2000-05-15,24314.1,24010.766666666666
2000-05-16,24122.15,24011.158333333333
2000-05-17,23898.86,24011.288999999997
2000-05-18,24431.62,24049.940333333332
2000-05-19,23295.58,24014.553333333337
2000-05-20,24259.26,24002.148333333334
2000-05-21,24682.34,24018.993333333336
2000-05-22,23522.79,23968.459
2000-05-23,23977.21,23923.017333333333
2000-05-24,23366.1,23861.514666666666
2000-05-25,22375.0,23806.802
2000-05-26,23542.38,23825.866666666665
2000-05-27,23115.38,23821.949
2000-05-28,23836.18,23792.829666666665
2000-05-29,23608.97,23785.517
2000-05-30,22821.58,23738.247333333336
2000-05-31,23456.2,23713.43733333334
2000-06-01,24592.24,23705.080333333335
2000-06-02,24886.04,23735.244
2000-06-03,24627.49,23773.895333333334
2000-06-04,24408.12,23805.495666666666
2000-06-05,22500.36,23815.028000000002
2000-06-06,22696.23,23790.479333333333
2000-06-07,22911.68,23780.163666666664
2000-06-08,23655.98,23784.733999999997
2000-06-09,23358.26,23763.710666666666
2000-06-10,23577.64,23728.454333333335
2000-06-11,25125.0,23780.685999999998
2000-06-12,24803.77,23801.970333333335
2000-06-13,24835.11,23820.120666666666
2000-06-14,23518.87,23793.613
2000-06-15,22645.3,23744.38466666667
2000-06-16,24094.73,23750.913666666667
2000-06-17,23174.15,23708.998000000003
2000-06-18,24627.49,23753.395
2000-06-19,24079.06,23747.38833333333
2000-06-20,24118.23,23728.58466666667
2000-06-21,22747.15,23702.729999999996
2000-06-22,23616.81,23690.716666666667
2000-06-23,24337.61,23723.100333333332
2000-06-24,23538.46,23761.88233333333
2000-06-25,24263.18,23785.909
2000-06-26,24321.94,23826.127666666664
2000-06-27,23883.19,23827.694666666666
2000-06-28,24090.81,23843.755999999998
2000-06-29,23181.98,23855.769333333337
2000-06-30,23938.03,23871.83033333333
2000-07-01,23941.95,23850.154
2000-07-02,24396.37,23833.83166666667
2000-07-03,23315.17,23790.087666666666
2000-07-04,23675.57,23765.669333333335
2000-07-05,24647.08,23837.226666666666
2000-07-06,24451.21,23895.726
2000-07-07,23918.45,23929.285
2000-07-08,24482.55,23956.837333333333
2000-07-09,24345.44,23989.743333333336
2000-07-10,25316.95,24047.720333333335
2000-07-11,24474.72,24026.044333333335
2000-07-12,24443.38,24014.031333333336
2000-07-13,25477.56,24035.446333333333
2000-07-14,23162.39,24023.56366666667
2000-07-15,21779.56,23994.705666666665
2000-07-16,23158.48,23963.497333333336
2000-07-17,23009.62,23958.013
2000-07-18,23499.29,23920.406333333332
2000-07-19,22551.28,23869.480333333333
2000-07-20,23518.87,23849.501666666663
2000-07-21,23836.18,23885.80266666667
2000-07-22,23522.79,23882.668666666665
2000-07-23,23550.21,23856.422000000002
2000-07-24,23471.87,23854.202333333335
2000-07-25,23718.66,23836.051666666663
2000-07-26,24564.81,23844.147333333334
2000-07-27,24231.84,23855.768999999997
2000-07-28,24129.99,23857.075
2000-07-29,24220.09,23891.678666666667
2000-07-30,24729.34,23918.055666666667
2000-07-31,24741.1,23944.694
2000-08-01,24267.09,23940.384666666665
2000-08-02,22813.75,23923.670666666665
2000-08-03,23855.77,23929.677333333333
2000-08-04,22672.72,23863.86533333333
2000-08-05,23667.74,23837.74966666667
2000-08-06,23558.05,23825.73633333333
2000-08-07,23742.17,23801.057000000004
2000-08-08,23487.54,23772.460333333336
2000-08-09,23393.52,23708.346
2000-08-10,23483.62,23675.30933333333
2000-08-11,24133.9,23664.993333333332
2000-08-12,24208.33,23622.685666666668
2000-08-13,24670.58,23672.958666666666
2000-08-14,24321.94,23757.704666666665
2000-08-15,23405.27,23765.930999999997
2000-08-16,23119.3,23769.587
2000-08-17,22590.46,23739.292666666668
2000-08-18,23475.78,23770.109333333334
2000-08-19,23189.81,23759.140666666666
2000-08-20,23138.89,23735.897666666664
2000-08-21,23323.01,23729.238333333335
2000-08-22,23973.29,23743.341
2000-08-23,24173.08,23766.714666666663
2000-08-24,23981.13,23775.463666666667
2000-08-25,23123.22,23727.41066666667
2000-08-26,23483.62,23702.470000000005
2000-08-27,23538.46,23682.752333333334
2000-08-28,23624.64,23662.904
2000-08-29,24298.43,23648.54033333333
2000-08-30,24235.75,23631.695333333333
2000-08-31,23851.85,23617.854
2000-09-01,23550.21,23642.40266666667
2000-09-02,24063.39,23649.323333333337
2000-09-03,24008.55,23693.851
2000-09-04,23671.65,23693.981333333333
2000-09-05,23158.48,23680.662333333334
2000-09-06,24263.18,23698.029333333332
2000-09-07,25125.0,23752.611333333338
2000-09-08,23722.58,23763.58
2000-09-09,23655.98,23769.325333333334
2000-09-10,23295.58,23741.381333333335
2000-09-11,23906.7,23731.326999999997
2000-09-12,23424.86,23689.803
2000-09-13,23761.75,23671.13
2000-09-14,23401.35,23670.999333333333
2000-09-15,22974.36,23666.168
2000-09-16,23781.34,23705.864
2000-09-17,23734.33,23714.482333333333
2000-09-18,23452.28,23723.231333333337
2000-09-19,23507.12,23735.505666666668
2000-09-20,24075.14,23760.576666666668
2000-09-21,23816.6,23755.353666666666
2000-09-22,24153.49,23754.700666666668
2000-09-23,24831.2,23783.036333333337
2000-09-24,24478.63,23828.216666666667
2000-09-25,23593.3,23831.872666666666
2000-09-26,23158.48,23819.206666666665
2000-09-27,24502.14,23848.456666666665
2000-09-28,23941.95,23836.574000000004
2000-09-29,23714.74,23819.207000000002
2000-09-30,23232.91,23798.575666666668
2000-10-01,24161.32,23818.946
2000-10-02,24580.48,23836.182333333334
2000-10-03,24357.19,23847.803666666667
2000-10-04,24153.49,23863.864999999998
2000-10-05,23695.16,23881.754333333334
2000-10-06,24251.42,23881.362333333334
2000-10-07,22751.07,23802.231333333333
2000-10-08,22492.52,23761.229333333333
2000-10-09,23213.32,23746.474000000002
2000-10-10,21944.09,23701.424333333332
2000-10-11,22966.52,23670.085000000003
2000-10-12,23981.13,23688.627333333334
2000-10-13,23620.73,23683.92666666667
2000-10-14,22923.43,23667.996
2000-10-15,24392.45,23715.265666666666
2000-10-16,24635.33,23743.732
2000-10-17,23048.79,23720.880666666668
2000-10-18,22950.85,23704.166333333334
2000-10-19,23495.37,23703.774666666668
2000-10-20,24839.03,23729.237666666668
2000-10-21,22907.76,23698.943000000003
2000-10-22,23013.53,23660.944333333333
2000-10-23,23189.81,23606.231333333333
2000-10-24,23632.48,23578.026333333335
2000-10-25,24427.71,23605.84
2000-10-26,23495.37,23617.06966666667
2000-10-27,23444.44,23581.813000000002
2000-10-28,23926.28,23581.290666666664
2000-10-29,23029.2,23558.439333333332
2000-10-30,23730.41,23575.022666666668
2000-10-31,22457.26,23518.220666666668
2000-11-01,24929.13,23529.842333333334
2000-11-02,23558.05,23503.204333333335
2000-11-03,23597.22,23484.662
2000-11-04,23922.36,23492.235333333334
2000-11-05,24016.38,23484.40066666667
2000-11-06,23499.29,23509.341333333334
2000-11-07,24427.71,23573.84766666667
2000-11-08,23268.16,23575.675666666662
2000-11-09,24733.26,23668.647999999997
2000-11-10,22950.85,23668.125666666663
2000-11-11,23138.89,23640.050999999996
2000-11-12,23005.7,23619.55
2000-11-13,23605.06,23642.271
2000-11-14,23863.6,23624.642666666663
2000-11-15,23044.87,23571.627333333334
2000-11-16,23221.15,23577.372666666666
2000-11-17,23675.57,23601.530000000002
2000-11-18,23804.84,23611.845666666668
2000-11-19,23828.35,23578.156333333332
2000-11-20,23166.31,23586.774666666668
2000-11-21,23095.8,23589.517
2000-11-22,23119.3,23587.166666666668
2000-11-23,23965.46,23598.266
2000-11-24,23797.01,23577.24266666667
2000-11-25,23424.86,23574.89233333333
2000-11-26,22664.89,23548.907333333333
2000-11-27,22245.73,23492.889
2000-11-28,22864.67,23487.404666666665
2000-11-29,24071.23,23498.765333333333
2000-11-30,24039.89,23551.519666666667
2000-12-01,24529.56,23538.200666666668
2000-12-02,23068.38,23521.878333333334
2000-12-03,23495.37,23518.483333333334
2000-12-04,22825.5,23481.92133333333
2000-12-05,23319.09,23458.678333333333
2000-12-06,22786.32,23434.912666666667
2000-12-07,22355.41,23365.836
2000-12-08,22555.2,23342.070666666667
2000-12-09,22641.38,23272.341333333334
2000-12-10,23009.62,23274.300333333333
2000-12-11,22320.16,23247.009333333335
2000-12-12,23240.74,23254.843999999997
2000-12-13,24129.99,23272.341666666667
2000-12-14,24674.5,23299.371666666666
2000-12-15,24635.33,23352.387000000002
2001-01-05,26100.0,23448.34866666667
2001-01-06,26100.0,23529.163
2001-01-07,26100.0,23605.668333333335
2001-01-08,26100.0,23681.390000000003
2001-01-09,26100.0,23779.179666666667
2001-01-10,26100.0,23879.31966666667
2001-01-11,26100.0,23978.676333333333
2001-01-12,26100.0,24049.827666666668
2001-01-13,26100.0,24126.594
2001-01-14,26100.0,24215.765333333336
2001-01-18,24372.86,24272.697666666667
2001-01-19,23981.13,24330.544333333335
2001-01-20,22343.66,24313.177333333333
2001-01-21,23272.08,24286.539
2001-01-22,23487.54,24268.127333333334
2001-01-23,22657.05,24205.710333333333
2001-01-24,24102.56,24240.183000000005
2001-01-25,24678.42,24279.618000000002
2001-01-26,24220.09,24326.104333333336
2001-01-27,23691.24,24338.509333333335
2001-01-28,23616.81,24366.192333333332
2001-01-29,24051.64,24422.733333333334
2001-01-30,24404.2,24484.366666666665
2001-01-31,23836.18,24524.193333333336
2001-02-01,23585.47,24543.388333333332
2001-02-02,23832.26,24593.791666666668
2001-02-03,23522.79,24603.193333333336
2001-02-04,23648.15,24587.132
2001-02-05,23734.33,24555.793
2001-02-06,23679.49,24523.931666666664
2001-02-07,23526.71,24438.155333333332
2001-02-08,23558.05,24353.423666666666
2001-02-09,23648.15,24271.695333333333
2001-02-10,23820.51,24195.712333333333
2001-02-11,23938.03,24123.646666666664
2001-02-12,22833.33,24014.757666666665
2001-02-13,22492.52,23894.508333333335
2001-02-14,24020.3,23825.184999999998
2001-02-15,24306.27,23765.393999999997
2001-02-16,22970.44,23661.075333333334
2001-02-17,23495.37,23631.825666666668
2001-02-18,23738.25,23623.729666666666
2001-02-19,22378.92,23624.905000000002
2001-02-20,23816.6,23643.055666666663
2001-02-21,23659.9,23648.800999999996
2001-02-22,23769.59,23685.88566666667
2001-02-23,23914.53,23679.618
2001-02-24,23456.2,23638.877333333334
2001-02-25,23945.87,23629.736666666668
2001-02-26,23558.05,23625.297
2001-02-27,23922.36,23635.482
2001-02-28,23953.7,23632.217333333334
2001-03-01,24709.76,23642.40266666667
2001-03-02,24412.04,23661.597999999998
2001-03-03,23891.03,23671.783333333333
2001-03-04,23131.05,23648.409666666666
2001-03-05,23209.4,23637.963333333333
2001-03-06,23413.11,23630.128666666667
2001-03-07,23855.77,23634.17666666667
2001-03-08,24431.62,23659.24766666667
2001-03-09,24408.12,23688.628000000004
2001-03-10,23471.87,23685.755333333334
2001-03-11,22304.49,23640.966666666667
2001-03-12,22849.0,23608.583
2001-03-13,23961.54,23609.36666666666
2001-03-14,24165.24,23653.76366666667
2001-03-15,23992.88,23703.77566666667
2001-03-16,23730.41,23694.112666666668
2001-03-17,23945.87,23682.09933333333
2001-03-18,24184.83,23722.579
2001-03-19,24086.89,23742.296333333335
2001-03-20,24039.89,23752.351
2001-03-21,23730.41,23797.40066666667
2001-03-22,23844.02,23798.31466666667
2001-03-23,23608.97,23796.617000000002
2001-03-24,23166.31,23776.507666666665
2001-03-25,24173.08,23785.126
2001-03-26,23558.05,23788.521
2001-03-27,23616.81,23777.552333333333
2001-03-28,22292.74,23735.375333333333
2001-03-29,23608.97,23724.929000000004
2001-03-30,24721.51,23750.522666666664
2001-03-31,24462.96,23742.296
2001-04-01,24173.08,23734.33066666667
2001-04-02,23597.22,23724.537
2001-04-03,23099.72,23723.49266666667
2001-04-04,23777.42,23742.426666666663
2001-04-05,23346.51,23740.206666666665
2001-04-06,24815.53,23772.198666666667
2001-04-07,24415.95,23771.67633333333
2001-04-08,23514.96,23741.904333333332
2001-04-09,23644.23,23747.649666666668
2001-04-10,24153.49,23809.283
2001-04-11,24412.04,23861.384333333335
2001-04-12,23718.66,23853.288333333334
2001-04-13,23781.34,23840.491666666665
2001-04-14,24126.07,23844.93133333333
2001-04-15,23295.58,23830.436999999998
2001-04-16,22833.33,23793.352333333336
2001-04-17,23174.15,23759.663
2001-04-18,23440.53,23738.117666666665
2001-04-19,23526.71,23721.01166666667
2001-04-20,23797.01,23723.23166666667
2001-04-21,24243.59,23736.550666666666
2001-04-22,23503.21,23733.025333333335
2001-04-23,23561.97,23746.213999999996
2001-04-24,23941.95,23738.50966666667
2001-04-25,23992.88,23753.004
2001-04-26,23260.33,23741.121333333333
2001-04-27,23389.6,23777.683333333334
2001-04-28,23338.68,23768.673666666666
2001-04-29,23131.05,23715.658333333333
2001-04-30,23985.04,23699.727666666666
2001-05-01,24149.57,23698.944000000003
2001-05-02,23812.68,23706.126
2001-05-03,24024.22,23736.942666666662
2001-05-04,23326.92,23721.926
2001-05-05,24388.53,23756.66
2001-05-06,24384.62,23742.296333333335
2001-05-07,24662.75,23750.523
2001-05-08,24329.77,23777.683333333334
2001-05-09,24580.48,23808.891666666666
2001-05-10,24396.37,23816.987666666668
2001-05-11,24082.98,23806.018999999997
2001-05-12,24004.63,23815.551333333333
2001-05-13,23753.92,23814.637333333332
2001-05-14,22735.4,23768.281666666666
2001-05-15,24419.87,23805.757999999998
2001-05-16,23522.79,23828.739999999998
2001-05-17,23558.05,23841.536666666667
2001-05-18,24035.97,23861.38466666667
2001-05-19,23667.74,23866.085666666666
2001-05-20,23726.5,23863.73533333333
2001-05-21,23362.18,23834.355
2001-05-22,24122.15,23854.986333333338
2001-05-23,24004.63,23869.741666666665
2001-05-24,23734.33,23862.821
2001-05-25,24345.44,23874.572999999997
2001-05-26,23612.89,23886.325
2001-05-27,23522.79,23890.76466666667
2001-05-28,23906.7,23909.698666666667
2001-05-29,23099.72,23908.654333333332
2001-05-30,23354.34,23887.631
2001-05-31,23887.11,23878.88233333333
2001-06-01,23456.2,23866.999666666667
2001-06-02,23887.11,23862.429333333333
2001-06-03,23851.85,23879.927000000003
2001-06-04,24494.3,23883.452666666664
2001-06-05,23334.76,23848.457333333332
2001-06-06,22974.36,23792.177666666666
2001-06-07,23761.75,23773.243666666665
2001-06-08,23977.21,23753.13466666667
2001-06-09,23773.5,23732.372333333336
2001-06-10,24443.38,23744.38566666667
2001-06-11,24051.64,23745.952666666664
2001-06-12,23593.3,23740.598666666665
2001-06-13,23115.38,23753.26466666667
2001-06-14,22833.33,23700.38
2001-06-15,23550.21,23701.294
2001-06-16,22519.94,23666.690333333332
2001-06-17,24443.38,23680.270666666667
2001-06-18,24443.38,23706.125333333333
2001-06-19,23444.44,23696.723333333335
2001-06-20,22570.87,23670.346333333335
2001-06-21,23503.21,23649.715
2001-06-22,22754.99,23608.060333333335
2001-06-23,23244.66,23591.738
2001-06-24,22978.28,23546.166
2001-06-25,25269.94,23601.401
2001-06-26,23750.0,23608.974666666665
2001-06-27,23859.69,23607.407666666666
2001-06-28,23518.87,23621.37933333333
2001-06-29,24145.66,23647.756666666664
2001-06-30,23554.13,23636.657333333333
2001-07-01,23945.87,23652.979666666666
2001-07-02,23742.17,23648.148333333334
2001-07-03,23941.95,23651.151666666665
2001-07-04,24466.88,23650.237666666668
2001-07-05,23941.95,23670.477333333336
2001-07-06,23671.65,23693.720333333335
2001-07-07,24122.15,23705.733666666667
2001-07-08,23620.73,23693.851
2001-07-09,22962.61,23666.82133333333
2001-07-10,23389.6,23631.695333333333
2001-07-11,23530.63,23614.328333333335
2001-07-12,22711.89,23584.947999999997
2001-07-13,23746.08,23605.971333333335
2001-07-14,23319.09,23622.163333333334
2001-07-15,22919.52,23601.140333333333
2001-07-16,23420.94,23631.173666666666
2001-07-17,23648.15,23604.666
2001-07-18,23319.09,23567.18966666667
2001-07-19,23722.58,23576.461
2001-07-20,23718.66,23614.720666666668
2001-07-21,23812.68,23625.036333333333
2001-07-22,23248.58,23641.489333333335
2001-07-23,24126.07,23670.869666666666
2001-07-24,24137.82,23709.521
2001-07-25,22327.99,23611.456000000002
2001-07-26,22845.09,23581.292333333335
2001-07-27,24184.83,23592.130333333334
2001-07-28,23949.79,23606.494333333336
2001-07-29,23585.47,23587.821333333333
2001-07-30,23370.01,23581.684
2001-07-31,22414.17,23530.627333333334
2001-08-01,22218.3,23479.831666666665
2001-08-02,22743.23,23439.874333333333
2001-08-03,22206.55,23364.530000000002
2001-08-04,23287.75,23342.72333333333
2001-08-05,22774.57,23312.820666666667
2001-08-06,22927.35,23272.994000000002
2001-08-07,23279.91,23261.633333333335
2001-08-08,23608.97,23283.17866666667
2001-08-09,24176.99,23309.425
2001-08-10,24560.9,23343.767333333333
2001-08-11,23479.7,23369.361
2001-08-12,22704.06,23334.626999999997
2001-08-13,23338.68,23335.280000000002
2001-08-14,23299.5,23347.946
2001-08-15,24000.71,23367.271666666667
2001-08-16,23659.9,23367.663333333334
2001-08-17,23475.78,23372.886333333332
2001-08-18,22993.95,23348.598666666665
2001-08-19,23181.98,23330.70933333333
2001-08-20,24059.47,23338.935666666668
2001-08-21,24365.03,23376.150666666665
2001-08-22,22657.05,23327.183333333334
2001-08-23,23585.47,23308.771666666667
2001-08-24,24071.23,23366.879666666664
2001-08-25,23742.17,23396.782333333333
2001-08-26,23385.68,23370.144000000004
2001-08-27,23499.29,23355.12733333333
2001-08-28,23561.97,23354.344
2001-08-29,23558.05,23360.612
2001-08-30,23381.77,23392.86533333333
2001-08-31,22766.74,23411.146666666667
2001-09-01,22504.27,23403.181333333334
2001-09-02,23201.57,23436.348666666665
2001-09-03,23005.7,23426.947
2001-09-04,22946.94,23432.692666666666
2001-09-05,24106.48,23471.996999999996
2001-09-06,24611.82,23516.394000000004
2001-09-07,24133.9,23533.891666666666
2001-09-08,24212.25,23535.067
2001-09-09,22758.9,23475.000333333333
2001-09-10,23170.23,23464.684666666668
2001-09-11,23213.32,23481.66
2001-09-12,23887.11,23499.941
2001-09-13,23295.58,23499.810333333335
2001-09-14,22139.96,23437.785333333337
2001-09-15,22731.48,23406.838
2001-09-16,24075.14,23426.816666666666
2001-09-17,23730.41,23451.365333333335
2001-09-18,23338.68,23456.588666666667
2001-09-19,23593.3,23441.049666666666
2001-09-20,23569.8,23414.542
2001-09-21,23914.53,23456.458
2001-09-22,23232.91,23444.706000000002
2001-09-23,22958.69,23407.621333333333
2001-09-24,23804.84,23409.710333333336
2001-09-25,23675.57,23419.373333333333
2001-09-26,22735.4,23393.910333333337
2001-09-27,23142.81,23379.93833333333
2001-09-28,23691.24,23384.378000000004
2001-09-29,23491.45,23388.034
2001-09-30,23565.88,23414.672000000002
2001-10-01,24506.05,23481.397999999997
2001-10-02,23675.57,23497.198
2001-10-03,23965.46,23529.19
2001-10-04,23072.29,23533.368333333336
2001-10-05,24082.98,23532.585000000003
2001-10-06,23985.04,23511.692333333332
2001-10-07,24674.5,23529.712333333333
2001-10-08,23526.71,23506.860999999997
2001-10-09,23957.62,23546.818333333333
2001-10-10,23820.51,23568.494333333332
2001-10-11,22672.72,23550.47433333333
2001-10-12,22629.63,23508.558333333334
2001-10-13,22104.7,23468.862333333334
2001-10-14,23162.39,23502.943333333336
2001-10-15,22629.63,23499.548333333332
2001-10-16,22617.88,23450.972999999998
2001-10-17,22163.46,23398.74133333333
2001-10-18,22527.78,23371.711333333336
2001-10-19,23013.53,23352.385666666665
2001-10-20,23256.41,23341.939333333336
2001-10-21,23832.26,23339.197
2001-10-22,23648.15,23353.038333333334
2001-10-23,23350.43,23366.096333333335
2001-10-24,22931.27,23336.977333333332
2001-10-25,24129.99,23352.124666666667
2001-10-26,24133.9,23398.74133333333
2001-10-27,23397.44,23407.229
2001-10-28,24368.95,23429.819333333333
2001-10-29,25089.74,23483.095666666668
2001-10-30,23424.86,23478.395
2001-10-31,23052.71,23429.950333333334
2001-11-01,23287.75,23417.022999999997
2001-11-02,22892.09,23381.244000000002
2001-11-03,22762.82,23370.928333333333
2001-11-04,23679.49,23357.478666666666
2001-11-05,22919.52,23321.961333333333
2001-11-06,23420.94,23280.176
2001-11-07,24055.56,23297.804333333333
2001-11-08,22653.13,23254.321333333333
2001-11-09,22986.11,23226.507999999998
2001-11-10,23992.88,23270.513333333332
2001-11-11,23526.71,23300.416
2001-11-12,22594.37,23316.73833333333
2001-11-13,24306.27,23354.86766666667
2001-11-14,23945.87,23398.742333333335
2001-11-15,23162.39,23416.892666666667
2001-11-16,21775.64,23403.965333333334
2001-11-17,22704.06,23409.841333333334
2001-11-18,22845.09,23404.22666666667
2001-11-19,22997.86,23395.608333333334
2001-11-20,23013.53,23368.317333333332
2001-11-21,23158.48,23351.995
2001-11-22,23444.44,23355.128666666667
2001-11-23,23444.44,23372.234333333334
2001-11-24,23663.82,23356.695333333333
2001-11-25,24474.72,23368.056
2001-11-26,23699.07,23378.110333333334
2001-11-27,23671.65,23354.867000000002
2001-11-28,23123.22,23289.316333333332
2001-11-29,22406.34,23255.365666666665
2001-11-30,23973.29,23286.05166666667
2001-12-01,23671.65,23298.848333333335
2001-12-02,22982.19,23301.851666666666
2001-12-03,23307.34,23320.002333333334
2001-12-04,24051.64,23332.407333333333
2001-12-05,23158.48,23340.37266666667
2001-12-06,22570.87,23312.037
2001-12-07,25023.15,23344.289999999997
2001-12-08,24415.95,23403.050666666666
2001-12-09,23264.25,23412.322
2001-12-10,23507.12,23396.13
2001-12-11,23134.97,23383.072
2001-12-12,23174.15,23402.398
2001-12-13,22453.35,23340.634000000002
2001-12-14,23804.84,23335.933
2001-12-15,23891.03,23360.221
2002-01-18,24094.73,23437.523999999998
2002-01-19,24521.72,23498.112666666668
2002-01-20,25058.4,23571.889666666666
2002-01-21,23573.72,23591.085000000003
2002-01-22,23205.48,23597.483333333334
2002-01-23,24000.71,23625.557666666668
2002-01-24,24137.82,23648.670333333335
2002-01-25,24737.18,23691.761666666665
2002-01-26,23652.07,23691.370000000003
2002-01-27,24020.3,23676.222666666665
2002-01-28,24079.06,23688.889000000003
2002-01-29,23785.26,23692.676
2002-01-30,23671.65,23710.957
2002-01-31,23597.22,23750.653000000002
2002-02-01,24004.63,23751.697666666667
2002-02-02,23276.0,23738.509333333335
2002-02-03,23021.37,23739.815333333336
2002-02-04,24310.19,23773.243666666665
2002-02-05,24545.23,23789.696666666667
2002-02-06,24216.17,23824.952999999998
2002-02-07,24188.75,23878.88233333333
2002-02-08,25258.19,23886.717
2002-02-09,24835.11,23900.689
2002-02-10,23464.03,23907.34833333333
2002-02-11,22946.94,23888.675666666666
2002-02-12,24145.66,23922.36533333333
2002-02-13,24662.75,23971.98533333333
2002-02-14,24459.05,24038.842
2002-02-15,24365.03,24057.515000000003
2002-02-16,23573.72,24046.938000000002
2002-02-17,25289.53,24086.76466666667
2002-02-18,24654.91,24091.20433333333
2002-02-19,24560.9,24074.621
2002-02-20,24470.8,24104.523666666664
2002-02-21,24098.65,24134.296
2002-02-22,23804.84,24127.767
2002-02-23,23652.07,24111.57533333333
2002-02-24,23706.91,24077.233
2002-02-25,24192.66,24095.252666666664
2002-02-26,24556.98,24113.142
2002-02-27,24658.83,24132.467666666664
2002-02-28,24878.21,24168.89933333333
2002-03-01,24893.87,24209.640000000003
2002-03-02,23918.45,24220.347666666665
2002-03-03,23875.36,24216.038666666664
2002-03-04,24431.62,24254.55933333333
2002-03-05,24067.31,24289.424
2002-03-06,24925.21,24309.924666666666
2002-03-07,25077.99,24327.683333333334
2002-03-08,24690.17,24343.483333333334
2002-03-09,23612.89,24324.288
2002-03-10,23315.17,24259.520666666667
2002-03-11,23695.16,24221.522333333334
