Date,inflation_rate,unemployment_rate,inflation_rate_MA30,unemployment_rate_MA30
2000-01-18,2.63,7.58,,
2000-01-19,3.26,7.68,,
2000-01-20,2.99,6.53,,
2000-01-21,2.16,6.04,,
2000-01-22,3.06,5.59,,
2000-01-23,3.46,7.26,,
2000-01-24,3.43,6.13,,
2000-01-25,2.8,7.17,,
2000-01-26,3.05,7.6,,
2000-01-27,2.98,7.24,,
2000-01-28,2.47,6.85,,
2000-01-29,4.43,6.3,,
2000-01-30,3.98,5.66,,
2000-01-31,3.13,6.89,,
2000-02-01,2.37,6.45,,
2000-02-02,1.52,6.12,,
2000-02-03,3.27,7.35,,
2000-02-04,3.95,7.1,,
2000-02-05,4.15,6.15,,
2000-02-06,3.13,6.76,,
2000-02-07,2.38,7.33,,
2000-02-08,2.99,7.4,,
2000-02-09,3.91,8.12,,
2000-02-10,4.29,8.26,,
2000-02-11,3.4,6.03,,
2000-02-12,3.37,6.21,,
2000-02-13,3.75,8.27,,
2000-02-14,2.04,5.75,,
2000-02-15,2.23,6.89,,
2000-02-16,2.79,7.39,3.1123333333333334,6.87
2000-02-17,2.97,7.37,3.123666666666667,6.8629999999999995
2000-02-18,1.9,6.21,3.078333333333333,6.814000000000001
2000-02-19,2.81,6.7,3.0723333333333334,6.8196666666666665
2000-02-20,2.86,7.35,3.0956666666666663,6.863333333333332
2000-02-21,2.14,5.48,3.065,6.8596666666666675
2000-02-22,3.17,6.07,3.055333333333333,6.819999999999999
2000-02-23,4.01,6.6,3.074666666666667,6.835666666666667
2000-02-24,4.5,6.43,3.131333333333333,6.811000000000001
2000-02-25,4.35,7.23,3.1746666666666665,6.798666666666666
2000-02-26,4.18,7.04,3.214666666666667,6.792
2000-02-27,2.12,6.24,3.203,6.7716666666666665
2000-02-28,2.87,7.29,3.1510000000000002,6.804666666666666
2000-02-29,3.67,6.82,3.1406666666666667,6.843333333333334
2000-03-01,3.17,6.19,3.1420000000000003,6.819999999999999
2000-03-02,3.06,6.02,3.165,6.805666666666666
2000-03-03,3.73,7.91,3.2386666666666666,6.865333333333333
2000-03-04,4.11,6.53,3.2666666666666666,6.837999999999999
