Date,interest_rate,exchange_rate,interest_rate_MA30,exchange_rate_MA30
2000-01-18,3.72,1.46,,
2000-01-19,4.76,1.45,,
2000-01-20,5.29,1.38,,
2000-01-21,4.84,1.4,,
2000-01-22,4.9,1.49,,
2000-01-23,5.07,1.46,,
2000-01-24,5.43,1.33,,
2000-01-25,4.76,1.44,,
2000-01-26,6.25,1.43,,
2000-01-27,6.8,1.32,,
2000-01-28,4.44,1.47,,
2000-01-29,6.26,1.58,,
2000-01-30,5.44,1.51,,
2000-01-31,5.05,1.37,,
2000-02-01,4.42,1.41,,
2000-02-02,3.12,1.54,,
2000-02-03,4.83,1.58,,
2000-02-04,6.06,1.38,,
2000-02-05,5.29,1.42,,
2000-02-06,4.91,1.4,,
2000-02-07,4.24,1.42,,
2000-02-08,5.65,1.45,,
2000-02-09,6.08,1.42,,
2000-02-10,5.22,1.41,,
2000-02-11,4.78,1.41,,
2000-02-12,4.4,1.38,,
2000-02-13,4.75,1.46,,
2000-02-14,3.28,1.38,,
2000-02-15,3.87,1.47,,
2000-02-16,5.08,1.42,4.966333333333334,1.4346666666666665
2000-02-17,4.15,1.52,4.980666666666667,1.4366666666666668
2000-02-18,4.04,1.64,4.956666666666667,1.443
2000-02-19,5.3,1.54,4.956999999999999,1.4483333333333335
2000-02-20,4.61,1.32,4.949333333333333,1.4456666666666669
2000-02-21,4.88,1.5,4.948666666666667,1.4460000000000002
2000-02-22,3.89,1.67,4.9093333333333335,1.4529999999999998
2000-02-23,5.85,1.36,4.923333333333334,1.454
2000-02-24,5.98,1.34,4.9639999999999995,1.4506666666666668
2000-02-25,4.2,1.32,4.895666666666667,1.447
2000-02-26,5.52,1.42,4.853,1.4503333333333335
2000-02-27,4.58,1.35,4.857666666666668,1.446333333333333
2000-02-28,4.51,1.29,4.799333333333333,1.4366666666666668
2000-02-29,5.36,1.55,4.796666666666667,1.438
2000-03-01,4.83,1.54,4.789333333333333,1.4436666666666664
2000-03-02,4.83,1.49,4.803,1.4463333333333332
2000-03-03,6.49,1.44,4.915333333333333,1.443
2000-03-04,6.63,1.46,4.975333333333334,1.439
2000-03-05,5.45,1.41,4.955,1.44
2000-03-06,6.92,1.36,5.009333333333333,1.438
2000-03-07,5.83,1.41,5.040000000000001,1.4383333333333332
2000-03-08,3.19,1.55,5.005,1.4426666666666665
2000-03-09,3.3,1.55,4.926666666666667,1.4460000000000002
2000-03-10,5.55,1.3,4.909,1.442
2000-03-11,6.06,1.46,4.936999999999999,1.4436666666666667
2000-03-12,5.08,1.46,4.947,1.4453333333333334
2000-03-13,4.91,1.47,4.964,1.4483333333333333
2000-03-14,5.1,1.46,4.975666666666667,1.4483333333333335
2000-03-15,3.87,1.57,4.995333333333334,1.4546666666666668
2000-03-16,4.16,1.61,5.005,1.4593333333333334
2000-03-17,4.65,1.5,4.990666666666667,1.462
2000-03-18,5.92,1.31,5.049666666666666,1.4549999999999998
2000-03-19,5.06,1.53,5.083666666666667,1.4513333333333336
2000-03-20,5.0,1.41,5.073666666666667,1.4469999999999998
2000-03-21,5.33,1.49,5.097666666666667,1.4526666666666666
2000-03-22,3.66,1.43,5.057,1.4503333333333333
2000-03-23,4.2,1.46,5.067333333333333,1.4433333333333336
2000-03-24,5.19,1.56,5.045333333333333,1.45
2000-03-25,4.35,1.53,4.9910000000000005,1.4563333333333333
2000-03-26,4.8,1.42,5.010999999999999,1.4596666666666667
2000-03-27,6.39,1.53,5.040000000000001,1.4633333333333334
2000-03-28,3.92,1.38,5.018,1.4643333333333333
2000-03-29,4.06,1.41,5.003,1.4683333333333333
2000-03-30,4.12,1.4,4.961666666666667,1.4633333333333334
2000-03-31,5.88,1.34,4.996666666666667,1.4566666666666668
2000-04-01,6.08,1.38,5.038333333333332,1.4529999999999998
2000-04-02,6.46,1.32,5.037333333333334,1.449
2000-04-03,5.75,1.39,5.007999999999999,1.4466666666666665
2000-04-04,4.15,1.4,4.964666666666667,1.4463333333333332
2000-04-05,4.28,1.46,4.876666666666667,1.4496666666666664
2000-04-06,4.76,1.44,4.840999999999999,1.4506666666666668
2000-04-07,4.86,1.42,4.8966666666666665,1.4463333333333332
2000-04-08,5.9,1.46,4.983333333333333,1.4433333333333331
2000-04-09,6.0,1.51,4.998333333333334,1.4503333333333333
2000-04-10,5.08,1.46,4.9656666666666665,1.4503333333333333
2000-04-11,4.75,1.61,4.954666666666666,1.4553333333333331
2000-04-12,3.93,1.48,4.922,1.4556666666666667
2000-04-13,4.04,1.55,4.886666666666667,1.4586666666666666
2000-04-14,6.11,1.45,4.961333333333333,1.4546666666666668
2000-04-15,5.43,1.4,5.003666666666667,1.4476666666666667
2000-04-16,5.65,1.39,5.037,1.444
2000-04-17,4.2,1.31,4.979666666666668,1.444
2000-04-18,3.27,1.39,4.92,1.4393333333333334
2000-04-19,4.38,1.34,4.899333333333334,1.437
2000-04-20,4.44,1.34,4.869666666666666,1.432
2000-04-21,5.12,1.35,4.918333333333334,1.4293333333333331
2000-04-22,3.27,1.51,4.887333333333333,1.431
2000-04-23,3.56,1.33,4.833,1.4233333333333333
2000-04-24,4.81,1.35,4.848333333333333,1.4173333333333333
2000-04-25,4.62,1.36,4.842333333333333,1.4153333333333333
2000-04-26,4.78,1.51,4.788666666666667,1.4146666666666665
2000-04-27,5.21,1.55,4.831666666666666,1.4203333333333334
2000-04-28,5.11,1.52,4.866666666666666,1.424
2000-04-29,3.6,1.3,4.849333333333333,1.4206666666666667
2000-04-30,4.68,1.22,4.809333333333333,1.4166666666666667
2000-05-01,3.72,1.34,4.730666666666666,1.4153333333333333
2000-05-02,5.07,1.38,4.684333333333333,1.4173333333333333
2000-05-03,5.29,1.41,4.6690000000000005,1.418
2000-05-04,4.15,1.49,4.669,1.421
2000-05-05,3.25,1.47,4.634666666666666,1.4213333333333333
2000-05-06,4.05,1.45,4.611000000000001,1.4216666666666666
2000-05-07,3.64,1.37,4.570333333333333,1.4200000000000002
2000-05-08,4.04,1.43,4.508333333333334,1.419
2000-05-09,6.09,1.3,4.511333333333334,1.4120000000000001
2000-05-10,2.93,1.31,4.439666666666667,1.407
2000-05-11,4.45,1.29,4.429666666666667,1.3963333333333334
2000-05-12,5.32,1.33,4.476,1.3913333333333333
2000-05-13,5.77,1.29,4.533666666666667,1.3826666666666667
2000-05-14,3.69,1.28,4.453,1.377
2000-05-15,4.11,1.35,4.409,1.3753333333333333
2000-05-16,4.2,1.29,4.360666666666666,1.372
2000-05-17,5.63,1.34,4.408333333333333,1.373
2000-05-18,4.75,1.47,4.457666666666666,1.3756666666666666
2000-05-19,3.84,1.48,4.439666666666667,1.3803333333333334
2000-05-20,4.03,1.43,4.426,1.3833333333333333
2000-05-21,4.12,1.46,4.392666666666667,1.3870000000000002
2000-05-22,5.04,1.37,4.451666666666666,1.3823333333333332
2000-05-23,4.76,1.45,4.491666666666666,1.3863333333333334
2000-05-24,5.24,1.48,4.506,1.3906666666666667
2000-05-25,4.67,1.55,4.507666666666667,1.3969999999999998
2000-05-26,5.97,1.57,4.5473333333333334,1.399
2000-05-27,5.22,1.36,4.547666666666667,1.3926666666666665
2000-05-28,3.96,1.46,4.509333333333333,1.3906666666666667
2000-05-29,3.84,1.48,4.517333333333332,1.396666666666667
2000-05-30,4.31,1.38,4.504999999999999,1.402
2000-05-31,4.59,1.49,4.534,1.407
2000-06-01,4.76,1.38,4.523666666666667,1.407
