Date,consumption_pct_gdp,consumption_pct_gdp_MA30
2000-01-05,76.84,
2000-01-06,76.84,
2000-01-07,76.84,
2000-01-08,76.84,
2000-01-09,76.84,
2000-01-10,76.84,
2000-01-11,76.84,
2000-01-12,76.84,
2000-01-13,76.84,
2000-01-14,76.84,
2000-01-18,70.0,
2000-01-19,70.0,
2000-01-20,70.0,
2000-01-21,70.0,
2000-01-22,70.0,
2000-01-23,70.0,
2000-01-24,70.0,
2000-01-25,70.0,
2000-01-26,70.0,
2000-01-27,70.0,
2000-01-28,70.0,
2000-01-29,70.0,
2000-01-30,70.0,
2000-01-31,70.0,
2000-02-01,70.0,
2000-02-02,70.0,
2000-02-03,70.0,
2000-02-04,70.0,
2000-02-05,70.0,
2000-02-06,70.0,72.28
2000-02-07,70.0,72.05199999999999
2000-02-08,70.0,71.82400000000001
2000-02-09,70.0,71.596
2000-02-10,70.0,71.368
2000-02-11,70.0,71.14000000000001
2000-02-12,70.0,70.912
2000-02-13,70.0,70.684
2000-02-14,70.0,70.45599999999999
2000-02-15,70.0,70.22800000000001
2000-02-16,70.0,70.0
2000-02-17,70.0,70.0
2000-02-18,70.0,70.0
2000-02-19,70.0,70.0
2000-02-20,70.0,70.0
2000-02-21,70.0,70.0
2000-02-22,70.0,70.0
2000-02-23,70.0,70.0
2000-02-24,70.0,70.0
2000-02-25,70.0,70.0
2000-02-26,70.0,70.0
2000-02-27,70.0,70.0
2000-02-28,70.0,70.0
2000-02-29,70.0,70.0
2000-03-01,70.0,70.0
2000-03-02,70.0,70.0
2000-03-03,70.0,70.0
2000-03-04,70.0,70.0
2000-03-05,70.0,70.0
2000-03-06,70.0,70.0
2000-03-07,70.0,70.0
2000-03-08,70.0,70.0
2000-03-09,70.0,70.0
2000-03-10,70.0,70.0
2000-03-11,70.0,70.0
2000-03-12,70.0,70.0
2000-03-13,70.0,70.0
2000-03-14,70.0,70.0
2000-03-15,70.0,70.0
2000-03-16,70.0,70.0
2000-03-17,70.0,70.0
2000-03-18,70.0,70.0
2000-03-19,70.0,70.0
2000-03-20,70.0,70.0
2000-03-21,70.0,70.0
2000-03-22,70.0,70.0
2000-03-23,70.0,70.0
2000-03-24,70.0,70.0
2000-03-25,70.0,70.0
2000-03-26,70.0,70.0
2000-03-27,70.0,70.0
2000-03-28,70.0,70.0
2000-03-29,70.0,70.0
2000-03-30,70.0,70.0
2000-03-31,70.0,70.0
2000-04-01,70.0,70.0
2000-04-02,70.0,70.0
2000-04-03,70.0,70.0
2000-04-04,70.0,70.0
2000-04-05,70.0,70.0
2000-04-06,70.0,70.0
2000-04-07,70.0,70.0
2000-04-08,70.0,70.0
2000-04-09,70.0,70.0
2000-04-10,70.0,70.0
