Date,internet_penetration,internet_penetration_MA30
2000-01-18,46.56,
2000-01-19,55.19,
2000-01-20,52.75,
2000-01-21,50.08,
2000-01-22,49.86,
2000-01-23,48.56,
2000-01-24,51.44,
2000-01-25,49.19,
2000-01-26,42.39,
2000-01-27,44.5,
2000-01-28,50.28,
2000-01-29,49.75,
2000-01-30,54.31,
2000-01-31,47.58,
2000-02-01,46.53,
2000-02-02,40.58,
2000-02-03,43.53,
2000-02-04,43.42,
2000-02-05,48.06,
2000-02-06,44.03,
2000-02-07,42.69,
2000-02-08,44.78,
2000-02-09,41.47,
2000-02-10,42.33,
2000-02-11,53.83,
2000-02-12,49.33,
2000-02-13,38.92,
2000-02-14,36.94,
2000-02-15,46.81,
2000-02-16,50.03,46.85733333333334
2000-02-17,46.75,46.86366666666667
2000-02-18,47.5,46.60733333333334
2000-02-19,45.31,46.35933333333333
2000-02-20,44.67,46.179
2000-02-21,39.72,45.841
2000-02-22,48.11,45.826
2000-02-23,49.08,45.74733333333333
2000-02-24,45.58,45.627
2000-02-25,41.11,45.58433333333333
2000-02-26,46.83,45.662000000000006
2000-02-27,48.03,45.587
2000-02-28,42.97,45.361
2000-02-29,45.03,45.05166666666667
2000-03-01,42.97,44.898
2000-03-02,50.75,45.038666666666664
2000-03-03,53.17,45.458333333333336
2000-03-04,47.25,45.58233333333333
2000-03-05,44.19,45.608
2000-03-06,52.69,45.76233333333334
2000-03-07,56.69,46.184333333333335
2000-03-08,49.56,46.413333333333334
2000-03-09,46.47,46.46966666666667
2000-03-10,44.25,46.562333333333335
2000-03-11,39.31,46.46166666666667
2000-03-12,37.25,45.909
2000-03-13,49.25,45.906333333333336
2000-03-14,54.89,46.43866666666666
2000-03-15,45.42,46.72133333333333
2000-03-16,45.11,46.66466666666667
2000-03-17,51.67,46.71933333333333
2000-03-18,52.81,46.92133333333333
2000-03-19,53.5,47.12133333333333
2000-03-20,51.17,47.31666666666667
2000-03-21,58.47,47.776666666666664
2000-03-22,54.94,48.284
2000-03-23,54.47,48.496
2000-03-24,52.03,48.59433333333334
2000-03-25,51.19,48.781333333333336
2000-03-26,44.75,48.90266666666666
2000-03-27,42.92,48.772333333333336
2000-03-28,44.19,48.64433333333333
2000-03-29,55.89,49.075
2000-03-30,48.69,49.196999999999996
2000-03-31,43.19,49.20433333333334
2000-04-01,46.28,49.05533333333334
2000-04-02,49.11,48.92
2000-04-03,49.75,49.00333333333334
2000-04-04,46.89,49.093333333333334
2000-04-05,44.19,48.809999999999995
2000-04-06,42.08,48.323
2000-04-07,45.56,48.18966666666666
2000-04-08,43.89,48.10366666666666
2000-04-09,50.83,48.32299999999999
2000-04-10,38.11,48.283
2000-04-11,38.19,48.31433333333333
2000-04-12,45.94,48.20399999999999
2000-04-13,43.47,47.82333333333334
2000-04-14,42.75,47.73433333333333
2000-04-15,43.81,47.691
2000-04-16,50.97,47.66766666666667
2000-04-17,48.56,47.526
2000-04-18,51.31,47.453
2000-04-19,54.22,47.55466666666667
2000-04-20,49.58,47.25833333333333
2000-04-21,45.11,46.93066666666666
2000-04-22,40.53,46.466
2000-04-23,44.83,46.226
2000-04-24,49.44,46.167666666666676
2000-04-25,49.61,46.32966666666667
2000-04-26,52.94,46.66366666666667
2000-04-27,51.17,46.89633333333333
2000-04-28,54.44,46.848
2000-04-29,46.14,46.763000000000005
2000-04-30,45.92,46.854
2000-05-01,44.44,46.79266666666667
2000-05-02,45.92,46.68633333333333
2000-05-03,53.31,46.80499999999999
2000-05-04,56.39,47.12166666666667
2000-05-05,47.92,47.245999999999995
2000-05-06,42.22,47.25066666666667
2000-05-07,41.44,47.11333333333334
2000-05-08,55.14,47.48833333333334
2000-05-09,53.36,47.57266666666667
2000-05-10,45.39,47.815333333333335
2000-05-11,42.67,47.96466666666666
2000-05-12,45.22,47.940666666666665
2000-05-13,57.58,48.410999999999994
2000-05-14,47.39,48.565666666666665
2000-05-15,45.06,48.60733333333334
2000-05-16,47.28,48.48433333333333
2000-05-17,49.25,48.50733333333333
2000-05-18,45.81,48.324
2000-05-19,42.81,47.943666666666665
2000-05-20,44.25,47.766
2000-05-21,47.56,47.84766666666667
2000-05-22,57.56,48.415333333333336
2000-05-23,45.39,48.434
2000-05-24,49.64,48.44066666666666
2000-05-25,45.11,48.29066666666667
2000-05-26,41.75,47.91766666666667
2000-05-27,46.83,47.773
2000-05-28,46.94,47.523
2000-05-29,54.0,47.785
2000-05-30,58.17,48.19333333333334
2000-05-31,56.25,48.587
2000-06-01,46.72,48.61366666666667
2000-06-02,44.42,48.31733333333333
2000-06-03,48.0,48.03766666666666
