Date,poverty_rate,poverty_rate_MA30
2000-01-18,30.37,
2000-01-19,27.56,
2000-01-20,30.88,
2000-01-21,27.54,
2000-01-22,26.85,
2000-01-23,26.31,
2000-01-24,26.47,
2000-01-25,25.16,
2000-01-26,29.62,
2000-01-27,28.01,
2000-01-28,26.33,
2000-01-29,28.0,
2000-01-30,23.91,
2000-01-31,23.15,
2000-02-01,27.51,
2000-02-02,26.32,
2000-02-03,26.78,
2000-02-04,26.33,
2000-02-05,25.58,
2000-02-06,23.96,
2000-02-07,22.48,
2000-02-08,20.51,
2000-02-09,25.52,
2000-02-10,23.95,
2000-02-11,23.04,
2000-02-12,27.86,
2000-02-13,28.84,
2000-02-14,26.95,
2000-02-15,22.32,
2000-02-16,23.91,26.067333333333334
2000-02-17,29.46,26.037
2000-02-18,24.89,25.948
2000-02-19,23.56,25.704
2000-02-20,25.41,25.633
2000-02-21,24.99,25.571
2000-02-22,22.97,25.459666666666667
2000-02-23,23.01,25.34433333333333
2000-02-24,26.68,25.395
2000-02-25,26.16,25.279666666666667
2000-02-26,24.07,25.148333333333333
2000-02-27,19.86,24.932666666666666
2000-02-28,24.19,24.805666666666664
2000-02-29,25.24,24.85
2000-03-01,28.42,25.025666666666666
2000-03-02,29.9,25.105333333333338
2000-03-03,26.31,25.105
2000-03-04,27.48,25.128333333333334
2000-03-05,26.63,25.138333333333332
2000-03-06,26.14,25.157
2000-03-07,23.69,25.148000000000003
2000-03-08,21.99,25.131666666666668
2000-03-09,25.97,25.313666666666666
2000-03-10,23.37,25.242
2000-03-11,23.29,25.220000000000002
2000-03-12,26.32,25.329333333333334
2000-03-13,25.31,25.244333333333334
2000-03-14,26.75,25.174666666666667
2000-03-15,28.32,25.220333333333333
2000-03-16,28.11,25.413333333333334
2000-03-17,24.09,25.419333333333334
2000-03-18,23.52,25.221333333333334
2000-03-19,23.05,25.16
2000-03-20,28.65,25.329666666666665
2000-03-21,28.81,25.442999999999998
2000-03-22,26.69,25.499666666666663
2000-03-23,25.57,25.586333333333336
2000-03-24,26.93,25.717
2000-03-25,23.84,25.622333333333334
2000-03-26,25.06,25.58566666666667
2000-03-27,27.61,25.703666666666667
2000-03-28,27.56,25.96033333333333
2000-03-29,24.21,25.961000000000002
2000-03-30,23.85,25.91466666666667
2000-03-31,26.04,25.835333333333335
2000-04-01,26.56,25.723999999999997
2000-04-02,24.23,25.654666666666667
2000-04-03,23.62,25.526
2000-04-04,27.88,25.567666666666664
2000-04-05,25.23,25.537333333333333
2000-04-06,23.19,25.520666666666664
2000-04-07,25.18,25.627
2000-04-08,23.2,25.53466666666667
2000-04-09,22.44,25.503666666666668
2000-04-10,24.83,25.555
2000-04-11,23.35,25.456000000000003
2000-04-12,24.38,25.425
2000-04-13,25.93,25.397666666666666
2000-04-14,26.66,25.342333333333332
2000-04-15,23.93,25.203
2000-04-16,23.94,25.197999999999997
2000-04-17,25.36,25.259333333333334
2000-04-18,23.59,25.277333333333335
2000-04-19,21.07,25.02466666666667
2000-04-20,23.71,24.854666666666667
2000-04-21,22.32,24.709000000000003
2000-04-22,23.27,24.632333333333335
2000-04-23,27.53,24.652333333333335
2000-04-24,25.38,24.703666666666667
2000-04-25,23.4,24.64833333333333
2000-04-26,22.55,24.479666666666667
2000-04-27,25.5,24.411
2000-04-28,27.43,24.51833333333333
2000-04-29,28.49,24.673000000000002
2000-04-30,25.51,24.65533333333333
2000-05-01,23.93,24.56766666666667
2000-05-02,27.86,24.688666666666666
2000-05-03,25.21,24.741666666666667
2000-05-04,24.87,24.641333333333332
2000-05-05,25.07,24.636000000000003
2000-05-06,24.64,24.684333333333335
2000-05-07,27.21,24.752
2000-05-08,26.75,24.87033333333333
2000-05-09,22.29,24.865333333333336
2000-05-10,24.93,24.868666666666666
2000-05-11,28.69,25.04666666666667
2000-05-12,25.35,25.079
2000-05-13,24.69,25.037666666666667
2000-05-14,22.85,24.910666666666668
2000-05-15,25.22,24.953666666666667
2000-05-16,23.56,24.941
2000-05-17,25.56,24.94766666666667
2000-05-18,24.99,24.99433333333333
2000-05-19,25.31,25.13566666666667
2000-05-20,23.99,25.145
2000-05-21,23.3,25.177666666666664
2000-05-22,24.58,25.221333333333334
2000-05-23,28.27,25.246
2000-05-24,24.86,25.228666666666665
2000-05-25,25.89,25.311666666666667
2000-05-26,28.84,25.521333333333335
2000-05-27,24.9,25.50133333333333
2000-05-28,28.68,25.543
2000-05-29,25.98,25.459333333333333
2000-05-30,23.11,25.37933333333333
2000-05-31,23.17,25.353999999999996
2000-06-01,25.93,25.28966666666667
2000-06-02,25.7,25.306
2000-06-03,25.26,25.319000000000003
2000-06-04,29.65,25.471666666666668
2000-06-05,26.57,25.535999999999998
2000-06-06,24.67,25.451333333333334
2000-06-07,25.71,25.416666666666668
2000-06-08,26.57,25.55933333333333
2000-06-09,24.73,25.552666666666667
2000-06-10,24.99,25.429333333333332
2000-06-11,26.95,25.482666666666663
