country_code,region,income_group,trade_balance_status,political_stability,economic_sector_dominant,currency_type,policy_framework,season,crisis_event,governance_quality,climate_impact_level,trade_bloc,financial_access,migration_trend,date,year,quarter,gdp_per_capita,inflation_rate,unemployment_rate,interest_rate,exchange_rate,exports_usd,imports_usd,debt_gdp_ratio,investment_pct_gdp,consumption_pct_gdp,population_million,urbanization_pct,internet_penetration,energy_consumption_mwh,renewable_energy_pct,income_inequality_gini,education_index,healthcare_index,poverty_rate,fdi_inflows_usd,business_confidence_index,manufacturing_pmi,economic_day_status
C04,Europe,Lower-Middle,Surplus,Stable,Agriculture,Fiat,Mixed,Q1,None,,Medium,,,,2000-01-01,2000,1,8969.776988877791,,5.950339378953249,,2.1647083963211067,,,60.14254353701165,,73.49361577555601,31.865528004514463,56.48201072241338,,,17.163840397405494,,,,,,,,Low
,,,,Stable,,,Keynesian,,None,,Low,ASEAN,,Outflow,2000-01-02,2000,1,9938.903510338036,,,,2.0210789811368066,,262431.65881149634,,,,32.0996256114549,,,,,,0.5717519940421574,,,,,,High
C04,Europe,Lower-Middle,,Stable,Agriculture,Fiat,Socialist,Q1,None,High,Medium,ASEAN,,Outflow,2000-01-03,2000,1,,,,,2.19342496043785,,,,,,31.713446277786613,52.73861295664794,,1279.705792191584,20.62886358127762,,,0.6823472467711289,,,,48.12763940135154,Medium
C04,,Lower-Middle,Deficit,Stable,,Fiat,Mixed,,None,High,Low,ASEAN,Low,Neutral,,2000,1,10627.18289434356,,,,,,,,,77.99956499403199,31.53194887294216,57.76043428730711,50.26377841923667,,9.256919516698298,,,,,,,48.11532625347053,Medium
C04,Europe,Lower-Middle,Surplus,Stable,,Fiat,,Q1,,High,,ASEAN,,Inflow,2000-01-05,2000,1,10601.43520228133,,,,,,,,,75.31748613609274,32.100780536577226,,,,,,,,,,,,Low
C04,Europe,Lower-Middle,,Stable,Agriculture,Fiat,,Q1,None,High,High,ASEAN,High,Neutral,,2000,1,,,,,2.0433638134348366,,,,,70.84580417431364,,,,,11.087364817907632,,,,,,,49.86486540279715,Medium
C04,Europe,Lower-Middle,,,Agriculture,Fiat,Socialist,Q1,None,High,,ASEAN,,,2000-01-07,2000,1,8519.685708557416,,,,,,,61.98856834681822,,,,,,,,,,,,,,,Medium
,,Lower-Middle,,,Agriculture,Fiat,,,None,,,ASEAN,,,2000-01-08,2000,1,,,5.0097702160767295,4.741542455577234,2.1311314433265767,,199277.2666781385,,,,,,,,,,,,,,,49.65974441582859,Low
C04,,Lower-Middle,Deficit,Stable,Agriculture,,,,None,High,Low,,Medium,,,2000,1,10489.597419473055,,,,,,269690.1304889212,,,,,,,,,,,0.6512309141601911,,15751.622096939998,,48.53840755215827,Low
C04,,Lower-Middle,,,,Fiat,,Q1,None,High,High,,,Inflow,2000-01-10,2000,1,10280.50963986322,,,,,,,,10.0,,,,,,,,,0.6587111828697629,,,,,Low
C04,Europe,,Deficit,Stable,Agriculture,Fiat,Socialist,Q1,,High,Low,ASEAN,Low,Inflow,,2000,1,10529.66565231373,,,,2.210370429731164,,,,,,,,,1291.348220874568,,,,,,,48.47185491882846,,Medium
C04,Europe,Lower-Middle,,Stable,Agriculture,Fiat,,Q1,None,High,Low,ASEAN,Medium,,2000-01-12,2000,1,,2.514449542895193,3.662652612337828,,,,267891.7477458773,,,73.83842890552067,31.74951741370491,55.20996228998349,,,,,0.5762056592224809,,25.191857511373748,19233.839539617256,,48.30816765432873,Medium
,Europe,Lower-Middle,Deficit,Stable,,Fiat,,Q1,,,,ASEAN,Low,Outflow,2000-01-13,2000,1,,2.371217496699337,5.070204189663617,,,,,55.921423131613615,,,,,49.44335715334729,,,52.14050603689684,,,,21459.67327262157,,,Medium
C04,Europe,Lower-Middle,,,Agriculture,Fiat,Neoliberal,,None,High,Low,ASEAN,,Inflow,2000-01-14,2000,1,,2.3833358475463458,,,,,,,,,,54.3501949220231,,,17.775089567932056,,,0.67268181461271,,,,51.485349372495484,Medium
C04,Europe,Lower-Middle,Deficit,Moderate,,Fiat,,,None,High,,ASEAN,Low,,2000-01-15,2000,1,,,,,,,,,,74.19457533407764,,,,,,,,0.670917000159576,,,49.10994957836108,,Medium
C04,,Lower-Middle,Neutral,Moderate,,Fiat,Socialist,Q1,None,High,Medium,,,,,2000,1,,,,,2.075804690253815,357079.5098344362,302580.5452426703,,,,,,,,19.297375795258887,35.348184439844864,,,27.317357523456533,,50.79954358426141,49.34575220223105,Low
,,Lower-Middle,,,Agriculture,Fiat,,Q1,None,High,Low,ASEAN,Medium,Inflow,2000-01-17,2000,1,11058.096706877486,,,4.298298069320744,,,,,,,31.564049545567173,,,,,,0.5748120440448803,,26.10167381731145,15885.557742244517,,,High
C04,,,Deficit,,Agriculture,,Neoliberal,Q1,None,,,ASEAN,Low,,2000-01-18,2000,1,,2.521322521653971,,3.253514731903211,,,301962.48080765,,,,,,,1241.6435881383186,12.62653693533982,,,0.6758635940837848,,,,50.61413402809318,Low
