Date,debt_gdp_ratio,debt_gdp_ratio_MA30
2000-01-18,75.6,
2000-01-19,61.85,
2000-01-20,66.3,
2000-01-21,60.36,
2000-01-22,51.56,
2000-01-23,58.15,
2000-01-24,64.42,
2000-01-25,56.26,
2000-01-26,40.98,
2000-01-27,53.59,
2000-01-28,62.1,
2000-01-29,55.16,
2000-01-30,52.95,
2000-01-31,62.67,
2000-02-01,48.39,
2000-02-02,46.47,
2000-02-03,54.73,
2000-02-04,56.3,
2000-02-05,60.85,
2000-02-06,45.26,
2000-02-07,52.56,
2000-02-08,65.13,
2000-02-09,70.75,
2000-02-10,67.98,
2000-02-11,62.56,
2000-02-12,58.61,
2000-02-13,55.66,
2000-02-14,51.35,
2000-02-15,58.36,
2000-02-16,62.24,57.97166666666667
2000-02-17,56.69,57.34133333333333
2000-02-18,60.64,57.301
2000-02-19,56.51,56.974666666666664
2000-02-20,58.75,56.92100000000001
2000-02-21,55.87,57.06466666666666
2000-02-22,59.72,57.117
2000-02-23,57.97,56.902
2000-02-24,55.33,56.871
2000-02-25,60.61,57.525333333333336
2000-02-26,61.99,57.80533333333334
2000-02-27,56.01,57.602333333333334
2000-02-28,61.57,57.816
2000-02-29,61.67,58.10666666666667
2000-03-01,62.17,58.09
2000-03-02,55.3,58.32033333333334
2000-03-03,59.96,58.77
2000-03-04,58.22,58.88633333333334
2000-03-05,61.85,59.071333333333335
2000-03-06,57.47,58.958666666666666
2000-03-07,53.06,59.218666666666664
2000-03-08,63.77,59.592333333333336
2000-03-09,58.04,59.355999999999995
2000-03-10,53.48,58.78033333333333
2000-03-11,63.99,58.64733333333333
2000-03-12,65.34,58.739999999999995
2000-03-13,55.44,58.63433333333333
2000-03-14,58.9,58.742333333333335
2000-03-15,66.98,59.263333333333335
2000-03-16,69.65,59.63966666666666
2000-03-17,68.16,59.836999999999996
2000-03-18,70.54,60.29866666666667
2000-03-19,51.24,59.98533333333333
2000-03-20,46.32,59.64566666666666
2000-03-21,52.81,59.44766666666667
2000-03-22,61.53,59.63633333333334
2000-03-23,58.58,59.598333333333336
2000-03-24,57.08,59.568666666666665
2000-03-25,57.97,59.656666666666666
2000-03-26,53.52,59.42033333333333
2000-03-27,50.88,59.05
2000-03-28,49.6,58.83633333333333
2000-03-29,61.1,58.82066666666667
2000-03-30,66.41,58.97866666666666
2000-03-31,57.26,58.81499999999999
2000-04-01,53.34,58.74966666666667
2000-04-02,64.42,58.898333333333326
2000-04-03,54.41,58.77133333333334
2000-04-04,59.36,58.68833333333334
2000-04-05,64.06,58.908
2000-04-06,53.55,58.92433333333334
2000-04-07,65.09,58.968333333333334
2000-04-08,63.92,59.16433333333334
2000-04-09,57.51,59.29866666666667
2000-04-10,57.15,59.07066666666667
2000-04-11,56.23,58.76700000000001
2000-04-12,56.83,58.81333333333334
2000-04-13,55.26,58.692
2000-04-14,51.95,58.191
2000-04-15,62.24,57.944
2000-04-16,56.15,57.54366666666667
2000-04-17,55.3,57.03566666666667
2000-04-18,64.52,57.47833333333334
2000-04-19,56.3,57.81100000000001
2000-04-20,55.87,57.913
2000-04-21,52.2,57.602
2000-04-22,60.89,57.679
2000-04-23,61.99,57.84266666666667
2000-04-24,65.59,58.09666666666667
2000-04-25,68.4,58.59266666666667
2000-04-26,68.23,59.17100000000001
2000-04-27,61.82,59.57833333333334
2000-04-28,62.42,59.62233333333333
2000-04-29,65.2,59.582
2000-04-30,54.27,59.48233333333334
2000-05-01,61.5,59.75433333333333
2000-05-02,63.49,59.723333333333336
2000-05-03,65.2,60.083
2000-05-04,55.37,59.95
2000-05-05,51.52,59.532000000000004
2000-05-06,60.75,59.772000000000006
2000-05-07,68.76,59.894333333333336
2000-05-08,66.7,59.987
2000-05-09,71.75,60.46166666666667
2000-05-10,59.39,60.53633333333333
2000-05-11,52.2,60.402
2000-05-12,55.01,60.34133333333333
2000-05-13,61.1,60.535999999999994
2000-05-14,58.01,60.73799999999999
2000-05-15,57.29,60.573
2000-05-16,51.81,60.428333333333335
2000-05-17,59.54,60.56966666666667
2000-05-18,60.57,60.437999999999995
2000-05-19,60.78,60.587333333333326
2000-05-20,54.52,60.54233333333333
2000-05-21,59.75,60.794
2000-05-22,66.94,60.995666666666665
2000-05-23,56.72,60.82
2000-05-24,66.3,60.843666666666664
2000-05-25,71.18,60.93633333333333
2000-05-26,56.01,60.529
2000-05-27,69.65,60.79
2000-05-28,72.82,61.13666666666667
2000-05-29,52.24,60.70466666666667
2000-05-30,54.12,60.699666666666666
2000-05-31,55.94,60.51433333333333
2000-06-01,66.8,60.62466666666667
2000-06-02,70.19,60.791000000000004
2000-06-03,62.28,61.02133333333333
2000-06-04,54.8,61.13066666666666
2000-06-05,57.47,61.02133333333333
2000-06-06,65.16,60.90133333333333
2000-06-07,65.56,60.86333333333333
2000-06-08,58.93,60.436
2000-06-09,63.53,60.574
2000-06-10,57.15,60.739000000000004
2000-06-11,65.34,61.083333333333336
2000-06-12,60.64,61.068000000000005
2000-06-13,64.59,61.287333333333336
2000-06-14,59.18,61.35033333333333
2000-06-15,58.9,61.586666666666666
2000-06-16,61.42,61.64933333333333
2000-06-17,65.59,61.81666666666667
2000-06-18,61.6,61.84400000000001
2000-06-19,65.7,62.21666666666667
2000-06-20,56.76,62.117000000000004
2000-06-21,58.86,61.84766666666667
2000-06-22,59.32,61.934333333333335
2000-06-23,66.45,61.93933333333334
2000-06-24,69.44,61.88133333333334
2000-06-25,70.15,62.352666666666664
2000-06-26,59.79,62.024
2000-06-27,45.79,61.123000000000005
2000-06-28,45.43,60.895999999999994
2000-06-29,43.37,60.537666666666674
2000-06-30,53.66,60.46166666666667
2000-07-01,56.33,60.11266666666667
2000-07-02,53.63,59.56066666666666
2000-07-03,64.7,59.641333333333336
2000-07-04,64.56,59.96666666666667
2000-07-05,62.6,60.13766666666667
2000-07-06,61.25,60.007333333333335
2000-07-07,60.78,59.848
2000-07-08,59.25,59.858666666666664
2000-07-09,55.55,59.592666666666666
2000-07-10,55.51,59.538
2000-07-11,55.62,59.214000000000006
2000-07-12,53.91,58.98966666666666
2000-07-13,56.4,58.71666666666667
2000-07-14,54.37,58.55633333333333
2000-07-15,63.24,58.701
2000-07-16,65.02,58.821
2000-07-17,57.19,58.541000000000004
2000-07-18,59.79,58.480666666666664
2000-07-19,60.75,58.31566666666666
2000-07-20,65.52,58.60766666666666
2000-07-21,70.9,59.009
2000-07-22,62.46,59.11366666666667
2000-07-23,51.99,58.63166666666667
2000-07-24,52.95,58.082
2000-07-25,48.03,57.34466666666667
2000-07-26,56.97,57.25066666666667
2000-07-27,47.32,57.30166666666666
2000-07-28,55.98,57.653333333333336
2000-07-29,61.14,58.245666666666665
2000-07-30,64.67,58.61266666666666
2000-07-31,67.44,58.983
2000-08-01,57.22,59.10266666666667
2000-08-02,60.57,58.965
2000-08-03,57.4,58.72633333333333
2000-08-04,56.37,58.51866666666667
2000-08-05,59.25,58.452
2000-08-06,68.62,58.71333333333334
2000-08-07,64.06,58.873666666666665
2000-08-08,65.09,59.19166666666667
2000-08-09,59.32,59.318666666666665
2000-08-10,49.92,59.12866666666666
2000-08-11,53.66,59.120333333333335
2000-08-12,56.3,59.117
2000-08-13,57.47,59.220333333333336
2000-08-14,61.57,59.16466666666667
2000-08-15,51.52,58.714666666666666
2000-08-16,55.16,58.647000000000006
2000-08-17,68.33,58.931666666666665
2000-08-18,57.86,58.83533333333334
2000-08-19,60.36,58.663333333333334
2000-08-20,60.5,58.31666666666667
2000-08-21,49.71,57.891666666666666
2000-08-22,52.27,57.900999999999996
2000-08-23,62.03,58.20366666666666
2000-08-24,59.72,58.593333333333334
2000-08-25,58.01,58.628
2000-08-26,73.57,59.503
2000-08-27,56.76,59.528999999999996
2000-08-28,58.01,59.42466666666667
2000-08-29,55.73,59.126666666666665
2000-08-30,53.63,58.666333333333334
2000-08-31,54.2,58.565666666666665
2000-09-01,56.97,58.44566666666666
2000-09-02,53.59,58.318666666666665
2000-09-03,61.99,58.506
2000-09-04,67.48,58.78033333333334
2000-09-05,70.15,58.831333333333326
2000-09-06,65.34,58.874
2000-09-07,55.83,58.565333333333335
2000-09-08,65.48,58.77066666666667
2000-09-09,63.1,59.21
2000-09-10,54.91,59.251666666666665
2000-09-11,59.11,59.34533333333333
2000-09-12,62.35,59.508
2000-09-13,64.1,59.592333333333336
2000-09-14,57.29,59.784666666666666
2000-09-15,50.17,59.61833333333333
2000-09-16,73.53,59.791666666666664
2000-09-17,68.62,60.150333333333336
2000-09-18,61.67,60.193999999999996
2000-09-19,54.55,59.99566666666667
2000-09-20,56.15,60.21033333333333
2000-09-21,55.69,60.324333333333335
2000-09-22,64.52,60.407333333333334
2000-09-23,63.45,60.531666666666666
2000-09-24,71.15,60.96966666666666
2000-09-25,66.55,60.735666666666674
2000-09-26,58.25,60.78533333333334
2000-09-27,53.73,60.64266666666667
2000-09-28,65.56,60.970333333333336
2000-09-29,72.22,61.59
2000-09-30,59.82,61.77733333333333
2000-10-01,56.01,61.745333333333335
2000-10-02,53.45,61.74066666666667
2000-10-03,56.01,61.541333333333334
2000-10-04,60.36,61.303999999999995
2000-10-05,63.28,61.075
2000-10-06,68.76,61.18899999999999
2000-10-07,59.43,61.309
2000-10-08,66.62,61.347
2000-10-09,62.56,61.329
2000-10-10,63.06,61.60066666666667
2000-10-11,52.34,61.375
2000-10-12,46.22,60.837333333333326
2000-10-13,57.61,60.621
2000-10-14,56.19,60.58433333333334
2000-10-15,63.53,61.02966666666667
2000-10-16,64.91,60.742333333333335
2000-10-17,77.13,61.025999999999996
2000-10-18,62.31,61.047333333333334
2000-10-19,60.14,61.233666666666664
2000-10-20,68.76,61.654
2000-10-21,57.04,61.699
2000-10-22,50.53,61.23266666666667
2000-10-23,59.39,61.09733333333334
2000-10-24,61.78,60.785000000000004
2000-10-25,65.7,60.75666666666666
2000-10-26,65.98,61.014333333333326
2000-10-27,61.03,61.257666666666665
2000-10-28,53.16,60.84433333333333
2000-10-29,41.94,59.835
2000-10-30,50.85,59.535999999999994
2000-10-31,59.32,59.64633333333334
2000-11-01,64.99,60.031
2000-11-02,62.28,60.24
2000-11-03,58.11,60.165
2000-11-04,61.6,60.10900000000001
2000-11-05,62.24,59.891666666666666
2000-11-06,61.42,59.958
2000-11-07,54.66,59.559333333333335
2000-11-08,60.78,59.5
2000-11-09,62.96,59.49666666666667
2000-11-10,56.4,59.63199999999999
2000-11-11,55.33,59.93566666666667
2000-11-12,61.14,60.05333333333333
2000-11-13,65.84,60.375
2000-11-14,64.31,60.400999999999996
2000-11-15,61.64,60.292
2000-11-16,53.7,59.510999999999996
2000-11-17,70.9,59.797333333333334
2000-11-18,65.59,59.979
2000-11-19,55.51,59.53733333333333
2000-11-20,64.7,59.79266666666667
2000-11-21,63.17,60.214000000000006
2000-11-22,53.55,60.01933333333333
2000-11-23,55.87,59.822333333333326
2000-11-24,60.64,59.653666666666666
2000-11-25,58.18,59.393666666666675
2000-11-26,60.78,59.38533333333333
2000-11-27,53.84,59.408
2000-11-28,50.46,59.692
2000-11-29,59.22,59.971000000000004
2000-11-30,60.68,60.016333333333336
2000-12-01,61.82,59.910666666666664
2000-12-02,66.48,60.050666666666665
2000-12-03,62.78,60.20633333333333
2000-12-04,50.56,59.83833333333333
2000-12-05,56.05,59.63199999999999
2000-12-06,57.65,59.50633333333334
2000-12-07,64.52,59.835
2000-12-08,54.05,59.61066666666667
2000-12-09,57.97,59.44433333333333
2000-12-10,53.3,59.341
2000-12-11,46.65,59.05166666666666
2000-12-12,57.08,58.916333333333334
2000-12-13,57.86,58.650333333333336
2000-12-14,54.2,58.31333333333334
2001-01-05,82.97,59.02433333333333
2001-01-06,82.97,60.0
2001-01-07,82.97,60.40233333333333
2001-01-08,82.97,60.98166666666667
2001-01-09,82.97,61.897000000000006
2001-01-10,82.97,62.506
2001-01-11,82.97,63.166000000000004
2001-01-12,82.97,64.14666666666668
2001-01-13,82.97,65.05
2001-01-14,82.97,65.79433333333333
2001-01-18,53.63,65.64266666666667
2001-01-19,62.49,65.69966666666667
2001-01-20,65.27,66.08066666666667
2001-01-21,72.5,66.81533333333333
2001-01-22,65.31,67.01833333333333
2001-01-23,55.55,66.84733333333332
2001-01-24,65.56,66.972
2001-01-25,66.98,66.98866666666666
2001-01-26,66.8,67.12266666666667
2001-01-27,70.68,67.79333333333334
2001-01-28,62.81,68.01866666666668
2001-01-29,65.63,68.28466666666667
2001-01-30,56.33,68.01166666666667
2001-01-31,67.34,68.45466666666667
2001-02-01,67.73,68.78
2001-02-02,63.95,69.135
2001-02-03,65.09,69.74966666666666
2001-02-04,62.31,69.924
2001-02-05,54.44,69.80999999999999
2001-02-06,54.44,69.818
2001-02-07,56.83,68.94666666666667
2001-02-08,57.86,68.10966666666667
2001-02-09,62.39,67.42366666666666
2001-02-10,55.87,66.52033333333333
2001-02-11,60.36,65.76666666666667
2001-02-12,60.07,65.00333333333333
2001-02-13,63.1,64.341
2001-02-14,67.23,63.81633333333334
2001-02-15,67.73,63.30833333333333
2001-02-16,60.04,62.544000000000004
2001-02-17,57.4,62.669666666666664
2001-02-18,53.52,62.370666666666665
2001-02-19,50.21,61.86866666666666
2001-02-20,59.68,61.44133333333333
2001-02-21,54.59,61.083999999999996
2001-02-22,60.89,61.26200000000001
2001-02-23,66.05,61.278333333333336
2001-02-24,61.96,61.111000000000004
2001-02-25,64.7,61.041000000000004
2001-02-26,65.52,60.86900000000001
2001-02-27,69.76,61.10066666666667
2001-02-28,70.22,61.25366666666667
2001-03-01,59.47,61.358333333333334
2001-03-02,56.9,61.01033333333333
2001-03-03,49.6,60.40599999999999
2001-03-04,48.96,59.90633333333333
2001-03-05,58.47,59.68566666666666
2001-03-06,44.19,59.08166666666667
2001-03-07,60.11,59.27066666666666
2001-03-08,66.34,59.66733333333333
2001-03-09,63.53,59.89066666666667
2001-03-10,52.7,59.71866666666667
2001-03-11,61.85,59.70066666666666
2001-03-12,64.45,59.98666666666667
2001-03-13,50.67,59.66366666666667
2001-03-14,58.36,59.60666666666667
2001-03-15,67.37,59.748999999999995
2001-03-16,62.81,59.60166666666667
2001-03-17,49.28,58.98666666666667
2001-03-18,53.41,58.76566666666666
2001-03-19,64.34,58.997
2001-03-20,62.78,59.30566666666667
2001-03-21,62.07,59.701
2001-03-22,65.34,59.88966666666667
2001-03-23,66.73,60.29433333333334
2001-03-24,65.41,60.445
2001-03-25,59.18,60.216
2001-03-26,59.61,60.13766666666666
2001-03-27,57.22,59.88833333333333
2001-03-28,59.57,59.68999999999999
2001-03-29,59.29,59.341
2001-03-30,68.94,59.298333333333325
2001-03-31,62.39,59.39566666666667
2001-04-01,63.03,59.6
2001-04-02,56.44,59.828
2001-04-03,58.93,60.16033333333334
2001-04-04,62.99,60.311
2001-04-05,61.1,60.87466666666667
2001-04-06,57.47,60.78666666666667
2001-04-07,61.6,60.62866666666666
2001-04-08,70.72,60.86833333333333
2001-04-09,59.93,61.10933333333333
2001-04-10,53.09,60.81733333333333
2001-04-11,56.55,60.553999999999995
2001-04-12,66.13,61.06933333333333
2001-04-13,70.33,61.468333333333334
2001-04-14,61.46,61.27133333333333
2001-04-15,58.11,61.11466666666666
2001-04-16,64.88,61.63466666666667
2001-04-17,63.95,61.986000000000004
2001-04-18,73.21,62.281666666666666
2001-04-19,60.93,62.22
2001-04-20,59.54,62.13566666666667
2001-04-21,58.01,61.891333333333336
2001-04-22,52.09,61.40333333333333
2001-04-23,56.87,61.11866666666666
2001-04-24,61.96,61.21133333333333
2001-04-25,62.99,61.324
2001-04-26,61.0,61.45
2001-04-27,60.85,61.492666666666665
2001-04-28,62.99,61.616
2001-04-29,59.54,61.302666666666674
2001-04-30,61.64,61.27766666666666
2001-05-01,65.13,61.34766666666667
2001-05-02,61.46,61.515
2001-05-03,56.79,61.443666666666665
2001-05-04,55.33,61.18833333333334
2001-05-05,61.14,61.18966666666667
2001-05-06,65.24,61.44866666666667
2001-05-07,58.75,61.35366666666667
2001-05-08,59.89,60.992666666666665
2001-05-09,68.65,61.28333333333333
2001-05-10,60.53,61.531333333333336
2001-05-11,56.23,61.52066666666667
2001-05-12,61.28,61.359
2001-05-13,61.57,61.067
2001-05-14,59.43,60.99933333333333
2001-05-15,64.38,61.208333333333336
2001-05-16,69.58,61.365
2001-05-17,67.34,61.477999999999994
2001-05-18,55.41,60.88466666666667
2001-05-19,60.89,60.88333333333333
2001-05-20,64.88,61.06133333333334
2001-05-21,64.27,61.269999999999996
2001-05-22,59.07,61.50266666666666
2001-05-23,58.54,61.55833333333333
2001-05-24,53.34,61.271
2001-05-25,58.11,61.108333333333334
2001-05-26,53.52,60.859
2001-05-27,59.11,60.801
2001-05-28,53.63,60.489
2001-05-29,55.55,60.355999999999995
2001-05-30,53.06,60.07000000000001
2001-05-31,56.44,59.78033333333333
2001-06-01,60.85,59.76
2001-06-02,69.19,60.173333333333325
2001-06-03,68.76,60.621
2001-06-04,66.87,60.812
2001-06-05,70.86,60.99933333333333
2001-06-06,66.66,61.263
2001-06-07,58.93,61.231
2001-06-08,60.68,60.965333333333334
2001-06-09,59.89,60.943999999999996
2001-06-10,54.23,60.87733333333333
2001-06-11,50.67,60.52366666666667
2001-06-12,61.46,60.52
2001-06-13,62.53,60.623333333333335
2001-06-14,52.17,60.21633333333333
2001-06-15,58.18,59.83633333333333
2001-06-16,60.04,59.592999999999996
2001-06-17,57.44,59.660666666666664
2001-06-18,64.84,59.79233333333333
2001-06-19,65.16,59.80166666666666
2001-06-20,66.87,59.888333333333335
2001-06-21,69.51,60.23633333333334
2001-06-22,67.09,60.52133333333334
2001-06-23,56.83,60.63766666666666
2001-06-24,54.41,60.51433333333333
2001-06-25,59.89,60.72666666666667
2001-06-26,61.6,60.809666666666665
2001-06-27,63.7,61.14533333333334
2001-06-28,67.8,61.55366666666667
2001-06-29,60.07,61.78733333333333
2001-06-30,58.65,61.861000000000004
2001-07-01,60.89,61.86233333333333
2001-07-02,58.82,61.516666666666666
2001-07-03,63.35,61.33633333333333
2001-07-04,69.47,61.423
2001-07-05,71.54,61.44566666666666
2001-07-06,70.22,61.56433333333334
2001-07-07,54.2,61.406666666666666
2001-07-08,63.53,61.501666666666665
2001-07-09,63.88,61.63466666666667
2001-07-10,59.32,61.80433333333334
2001-07-11,61.32,62.15933333333333
2001-07-12,67.09,62.346999999999994
2001-07-13,64.49,62.41233333333333
2001-07-14,67.16,62.912000000000006
2001-07-15,64.99,63.139
2001-07-16,62.64,63.22566666666667
2001-07-17,60.75,63.336
2001-07-18,62.24,63.24933333333333
2001-07-19,53.91,62.87433333333333
2001-07-20,61.46,62.694
2001-07-21,52.63,62.13133333333333
2001-07-22,56.58,61.781
2001-07-23,59.43,61.867666666666665
2001-07-24,57.36,61.966
2001-07-25,60.75,61.994666666666674
2001-07-26,58.58,61.894
2001-07-27,55.8,61.63066666666666
2001-07-28,72.07,61.773
2001-07-29,65.91,61.967666666666666
2001-07-30,63.13,62.117
2001-07-31,62.74,62.17866666666667
2001-08-01,72.43,62.63233333333333
2001-08-02,61.75,62.57899999999999
2001-08-03,62.46,62.34533333333333
2001-08-04,72.78,62.38666666666666
2001-08-05,68.01,62.313
2001-08-06,57.97,62.43866666666666
2001-08-07,56.79,62.214000000000006
2001-08-08,61.07,62.120333333333335
2001-08-09,58.5,62.092999999999996
2001-08-10,57.61,61.96933333333333
2001-08-11,55.16,61.57166666666667
2001-08-12,53.66,61.210666666666675
2001-08-13,56.33,60.849666666666664
2001-08-14,71.57,61.068999999999996
2001-08-15,64.34,61.12566666666667
2001-08-16,51.81,60.82766666666667
2001-08-17,59.86,60.748333333333335
2001-08-18,65.27,61.126999999999995
2001-08-19,67.59,61.33133333333333
2001-08-20,64.77,61.736000000000004
2001-08-21,61.1,61.88666666666666
2001-08-22,54.27,61.714666666666666
2001-08-23,59.72,61.79333333333333
2001-08-24,70.83,62.12933333333333
2001-08-25,70.72,62.534
2001-08-26,65.8,62.867333333333335
2001-08-27,65.38,62.64433333333333
2001-08-28,70.26,62.78933333333334
2001-08-29,60.14,62.68966666666667
2001-08-30,61.96,62.663666666666664
2001-08-31,68.05,62.51766666666667
2001-09-01,63.1,62.56266666666667
2001-09-02,65.2,62.654
2001-09-03,66.34,62.43933333333334
2001-09-04,60.18,62.17833333333333
2001-09-05,55.9,62.10933333333334
2001-09-06,71.0,62.583
2001-09-07,70.97,62.913
2001-09-08,67.3,63.20633333333333
2001-09-09,63.03,63.38700000000001
2001-09-10,61.5,63.598333333333336
2001-09-11,63.53,63.92733333333333
2001-09-12,73.64,64.50433333333334
2001-09-13,60.0,64.11866666666667
2001-09-14,62.1,64.044
2001-09-15,69.4,64.63033333333333
2001-09-16,52.13,64.37266666666667
2001-09-17,56.51,64.08066666666667
2001-09-18,63.88,63.957
2001-09-19,63.13,63.90233333333333
2001-09-20,69.05,64.16733333333333
2001-09-21,70.47,64.70733333333334
2001-09-22,69.12,65.02066666666667
2001-09-23,69.58,64.979
2001-09-24,57.4,64.53500000000001
2001-09-25,60.64,64.363
2001-09-26,58.65,64.13866666666667
2001-09-27,59.64,63.784666666666666
2001-09-28,55.8,63.63999999999999
2001-09-29,60.11,63.57833333333334
2001-09-30,61.39,63.35633333333333
2001-10-01,60.57,63.272000000000006
2001-10-02,62.96,63.19733333333333
2001-10-03,60.39,62.999
2001-10-04,63.42,63.107
2001-10-05,76.52,63.794333333333334
2001-10-06,73.96,63.893
2001-10-07,64.1,63.664
2001-10-08,62.07,63.48966666666666
2001-10-09,61.28,63.431333333333335
2001-10-10,71.0,63.748000000000005
2001-10-11,68.3,63.907000000000004
2001-10-12,64.02,63.586333333333336
2001-10-13,63.35,63.698
2001-10-14,58.79,63.587666666666664
2001-10-15,62.78,63.367
2001-10-16,57.19,63.535666666666664
2001-10-17,61.35,63.697
2001-10-18,68.12,63.83833333333333
2001-10-19,63.99,63.867
2001-10-20,55.69,63.42166666666667
2001-10-21,59.04,63.04066666666667
2001-10-22,63.56,62.85533333333333
2001-10-23,70.43,62.88366666666666
2001-10-24,61.78,63.029666666666664
2001-10-25,64.81,63.16866666666667
2001-10-26,69.05,63.51533333333334
2001-10-27,57.69,63.45033333333333
2001-10-28,59.25,63.565333333333335
2001-10-29,73.85,64.02333333333334
2001-10-30,66.37,64.18933333333332
2001-10-31,57.93,64.10133333333333
2001-11-01,58.11,63.93966666666666
2001-11-02,50.06,63.595333333333336
2001-11-03,50.85,63.17633333333333
2001-11-04,62.6,62.712333333333326
2001-11-05,67.83,62.508
2001-11-06,54.12,62.175333333333334
2001-11-07,62.92,62.20366666666667
2001-11-08,66.27,62.37
2001-11-09,54.84,61.831333333333326
2001-11-10,56.47,61.437
2001-11-11,63.49,61.419333333333334
2001-11-12,67.62,61.561666666666675
2001-11-13,61.99,61.66833333333334
2001-11-14,62.88,61.67166666666667
2001-11-15,69.12,62.06933333333334
2001-11-16,69.83,62.352
2001-11-17,61.53,62.132333333333335
2001-11-18,54.23,61.807
2001-11-19,59.72,61.94133333333333
2001-11-20,55.98,61.839333333333336
2001-11-21,56.55,61.60566666666667
2001-11-22,56.37,61.13700000000001
2001-11-23,61.14,61.11566666666667
2001-11-24,55.09,60.791666666666664
2001-11-25,59.82,60.484
2001-11-26,53.77,60.35333333333334
2001-11-27,51.81,60.105333333333334
2001-11-28,67.98,59.909666666666666
2001-11-29,71.68,60.08666666666667
2001-11-30,55.01,59.989333333333335
2001-12-01,73.85,60.514
2001-12-02,69.58,61.16466666666666
2001-12-03,73.0,61.903
2001-12-04,63.67,61.93866666666667
2001-12-05,67.59,61.93066666666667
2001-12-06,62.67,62.21566666666667
2001-12-07,64.52,62.269
2001-12-08,76.88,62.62266666666667
2001-12-09,57.04,62.696000000000005
2001-12-10,54.23,62.62133333333334
2001-12-11,63.42,62.61900000000001
2001-12-12,62.07,62.434
2001-12-13,51.1,62.071
2001-12-14,54.3,61.785
2001-12-15,56.55,61.366
2002-01-18,55.73,60.895999999999994
2002-01-19,59.18,60.81766666666667
2002-01-20,59.29,60.98633333333333
2002-01-21,55.66,60.851
2002-01-22,55.33,60.82933333333333
2002-01-23,59.43,60.925333333333334
2002-01-24,61.85,61.10799999999999
2002-01-25,67.19,61.309666666666665
2002-01-26,61.03,61.507666666666665
2002-01-27,59.64,61.501666666666665
2002-01-28,60.32,61.72
2002-01-29,63.81,62.12
2002-01-30,59.47,61.83633333333333
2002-01-31,61.07,61.48266666666667
2002-02-01,58.68,61.605
2002-02-02,50.49,60.82633333333333
2002-02-03,54.27,60.316
2002-02-04,62.92,59.980000000000004
2002-02-05,64.77,60.016666666666666
2002-02-06,50.81,59.457333333333324
2002-02-07,53.98,59.16766666666667
