Date,exports_usd,imports_usd,exports_usd_MA30,imports_usd_MA30
2000-01-18,358290.6,397264.96,,
2000-01-19,388831.91,372421.65,,
2000-01-20,352592.59,359430.2,,
2000-01-21,399544.16,394985.75,,
2000-01-22,393390.31,403418.8,,
2000-01-23,418233.62,364444.44,,
2000-01-24,433960.11,329572.65,,
2000-01-25,448319.09,339373.22,,
2000-01-26,428945.87,368091.17,,
2000-01-27,370826.21,382678.06,,
2000-01-28,378119.66,392478.63,,
2000-01-29,417777.78,403646.72,,
2000-01-30,397037.04,419829.06,,
2000-01-31,365356.13,397720.8,,
2000-02-01,465185.19,438062.68,,
2000-02-02,403874.64,383133.9,,
2000-02-03,366039.89,407749.29,,
2000-02-04,403874.64,393162.39,,
2000-02-05,416866.1,415954.42,,
2000-02-06,470427.35,398176.64,,
2000-02-07,364900.28,389515.67,,
2000-02-08,409572.65,410484.33,,
2000-02-09,371282.05,389971.51,,
2000-02-10,450598.29,340284.9,,
2000-02-11,415042.74,345071.23,,
2000-02-12,393162.39,381310.54,,
2000-02-13,357151.0,409572.65,,
2000-02-14,349629.63,397948.72,,
2000-02-15,366267.81,382450.14,,
2000-02-16,405014.25,369230.77,398670.466,385914.5296666667
2000-02-17,454017.09,358290.6,401861.34900000005,384615.3843333333
2000-02-18,415726.5,388603.99,402757.83533333335,385154.7956666667
2000-02-19,367179.49,370826.21,403244.0653333334,385534.6626666666
2000-02-20,361481.48,363076.92,401975.30933333334,384471.035
2000-02-21,374700.85,384501.42,401352.3273333333,383840.4556666667
2000-02-22,413903.13,389515.67,401207.9776666667,384676.1633333333
2000-02-23,417094.02,381082.62,400645.77466666664,386393.16233333334
2000-02-24,397264.96,360797.72,398943.9703333333,387107.3123333333
2000-02-25,407521.37,394985.75,398229.82033333334,388003.7983333333
2000-02-26,401595.44,392934.47,399255.46133333334,388345.6786666667
2000-02-27,455840.46,406837.61,401846.15466666664,388824.3113333333
2000-02-28,418917.38,426210.83,401884.14133333333,389576.4483333333
2000-02-29,438746.44,412991.45,403274.4546666667,389348.528
2000-03-01,454700.85,380170.94,406252.61199999996,388763.53266666667
