Date,fdi_inflows_usd,fdi_inflows_usd_MA30
2000-01-18,12763.53,
2000-01-19,17973.65,
2000-01-20,23158.83,
2000-01-21,20765.67,
2000-01-22,25701.57,
2000-01-23,21039.89,
2000-01-24,23532.76,
2000-01-25,23258.55,
2000-01-26,27072.65,
2000-01-27,22759.97,
2000-01-28,26574.07,
2000-01-29,22012.11,
2000-01-30,21688.03,
2000-01-31,15231.48,
2000-02-01,25153.13,
2000-02-02,22934.47,
2000-02-03,19693.73,
2000-02-04,23532.76,
2000-02-05,16203.7,
2000-02-06,23831.91,
2000-02-07,14583.33,
2000-02-08,15954.42,
2000-02-09,19245.01,
2000-02-10,20715.81,
2000-02-11,21563.39,
2000-02-12,23532.76,
2000-02-13,16203.7,
2000-02-14,18771.37,
2000-02-15,20142.45,
2000-02-16,17873.93,20782.287666666667
2000-02-17,19294.87,20999.999
2000-02-18,18821.23,21028.251666666663
2000-02-19,20715.81,20946.817666666666
2000-02-20,20092.59,20924.381666666664
2000-02-21,25452.28,20916.072
2000-02-22,24380.34,21027.42033333333
2000-02-23,18871.08,20872.031
2000-02-24,17774.22,20689.220000000005
2000-02-25,15779.91,20312.79533333333
2000-02-26,15530.63,20071.817333333332
2000-02-27,19718.66,19843.303666666667
2000-02-28,21638.18,19830.839333333333
2000-02-29,24953.7,19939.695
2000-03-01,26399.57,20311.964666666663
2000-03-02,17400.28,20053.536333333333
2000-03-03,17051.28,19857.43
2000-03-04,25153.13,20039.41
2000-03-05,22909.54,20018.636000000002
2000-03-06,14034.9,19946.342666666664
2000-03-07,20416.67,19832.501333333334
2000-03-08,19095.44,19982.904999999995
2000-03-09,21912.39,20181.504
2000-03-10,21613.25,20260.445333333333
2000-03-11,22809.83,20330.246
2000-03-12,27621.08,20532.168999999998
2000-03-13,25202.99,20587.84333333333
2000-03-14,15505.7,20564.576666666668
2000-03-15,17998.58,20538.817
2000-03-16,19294.87,20510.564333333336
2000-03-17,13536.32,20365.977333333332
2000-03-18,19195.16,20362.653666666665
2000-03-19,22984.33,20501.42366666667
2000-03-20,21937.32,20542.140666666666
2000-03-21,19967.95,20537.985999999997
2000-03-22,16278.49,20232.192999999996
2000-03-23,23782.05,20212.25
2000-03-24,19643.87,20238.00966666667
2000-03-25,16801.99,20205.602
2000-03-26,19618.95,20333.570000000003
2000-03-27,20641.03,20503.916666666668
2000-03-28,20466.52,20528.845333333335
2000-03-29,18247.86,20415.834666666666
2000-03-30,23358.26,20362.653333333332
2000-03-31,23532.76,20267.093
2000-04-01,25576.92,20539.647666666668
2000-04-02,21264.25,20680.08
2000-04-03,27970.09,20773.978666666666
2000-04-04,24330.48,20821.34333333333
2000-04-05,24255.7,21162.03666666667
2000-04-06,21812.68,21208.570333333333
2000-04-07,22311.25,21315.764000000003
2000-04-08,20840.46,21280.033
2000-04-09,18970.8,21191.951333333334
2000-04-10,21538.46,21149.57233333333
2000-04-11,24081.2,21031.576333333334
2000-04-12,22236.47,20932.692333333332
2000-04-13,20591.17,21102.208
2000-04-14,21538.46,21220.204
2000-04-15,16851.85,21138.77
2000-04-16,20192.31,21360.636333333336
2000-04-17,17126.07,21291.666666666668
2000-04-18,19095.44,21162.037
2000-04-19,24704.42,21254.273666666664
2000-04-20,21787.75,21314.933666666668
2000-04-21,25751.42,21630.698
2000-04-22,17948.72,21436.253666666667
2000-04-23,17948.72,21379.748666666666
2000-04-24,20341.88,21497.745
2000-04-25,22311.25,21587.48833333333
2000-04-26,20740.74,21590.811999999998
2000-04-27,19992.88,21575.023999999998
2000-04-28,18322.65,21577.517
2000-04-29,22859.69,21560.898
2000-04-30,25477.21,21625.713
2000-05-01,19618.95,21427.113999999998
2000-05-02,23108.97,21488.604666666666
2000-05-03,25053.42,21391.38233333333
2000-05-04,22186.61,21319.92
2000-05-05,24430.2,21325.736666666668
2000-05-06,21388.89,21311.610333333334
2000-05-07,16627.49,21122.15166666667
2000-05-08,22834.76,21188.628333333338
2000-05-09,24679.49,21378.918
2000-05-10,28967.24,21626.544
2000-05-11,28169.52,21762.821333333333
2000-05-12,19618.95,21675.570666666667
2000-05-13,27297.01,21899.098666666665
