Date,interest_rate,exchange_rate,interest_rate_MA30,exchange_rate_MA30
2000-01-18,3.3,1.12,,
2000-01-19,2.67,1.09,,
2000-01-20,2.87,0.91,,
2000-01-21,4.97,0.74,,
2000-01-22,4.82,0.77,,
2000-01-23,5.61,0.71,,
2000-01-24,4.06,0.68,,
2000-01-25,4.5,0.72,,
2000-01-26,4.95,0.81,,
2000-01-27,5.69,0.89,,
2000-01-28,4.38,0.76,,
2000-01-29,4.32,0.74,,
2000-01-30,5.66,0.96,,
2000-01-31,4.76,0.85,,
2000-02-01,4.74,0.89,,
2000-02-02,5.15,0.92,,
2000-02-03,4.64,1.05,,
2000-02-04,5.22,0.91,,
2000-02-05,5.66,0.87,,
2000-02-06,4.21,0.76,,
2000-02-07,4.1,0.84,,
2000-02-08,3.72,0.95,,
2000-02-09,4.24,0.9,,
2000-02-10,3.97,0.86,,
2000-02-11,3.92,0.89,,
2000-02-12,3.77,0.88,,
2000-02-13,3.25,0.76,,
2000-02-14,5.74,0.67,,
2000-02-15,4.95,0.72,,
2000-02-16,3.86,0.83,4.456666666666666,0.8483333333333333
2000-02-17,3.58,0.93,4.465999999999999,0.842
2000-02-18,3.94,1.0,4.508333333333334,0.839
2000-02-19,4.14,0.89,4.550666666666667,0.8383333333333333
2000-02-20,3.85,0.93,4.513333333333334,0.8446666666666667
2000-02-21,4.77,0.88,4.511666666666667,0.8483333333333334
2000-02-22,4.77,0.92,4.483666666666666,0.8553333333333334
2000-02-23,5.36,0.89,4.527,0.8623333333333334
2000-02-24,5.15,1.01,4.548666666666666,0.8719999999999999
2000-02-25,4.4,0.99,4.530333333333333,0.878
2000-02-26,5.4,0.91,4.520666666666667,0.8786666666666666
2000-02-27,5.23,0.75,4.549,0.8783333333333334
2000-02-28,3.89,0.71,4.534666666666666,0.8773333333333333
2000-02-29,4.4,0.8,4.492666666666667,0.872
2000-03-01,5.25,0.96,4.509,0.8756666666666667
2000-03-02,5.24,0.88,4.525666666666666,0.8753333333333333
2000-03-03,4.05,0.8,4.489000000000001,0.8713333333333334
2000-03-04,3.98,0.89,4.467,0.866
2000-03-05,4.42,0.98,4.440333333333333,0.8683333333333334
2000-03-06,4.11,1.05,4.3886666666666665,0.8743333333333333
2000-03-07,5.08,0.89,4.417666666666666,0.8786666666666666
2000-03-08,4.68,0.77,4.437,0.8763333333333333
2000-03-09,4.1,0.78,4.449666666666667,0.8706666666666667
2000-03-10,4.77,1.0,4.4673333333333325,0.8740000000000001
2000-03-11,5.6,0.88,4.5216666666666665,0.8746666666666667
2000-03-12,5.6,0.88,4.577666666666667,0.8743333333333333
2000-03-13,3.88,0.89,4.581333333333333,0.8746666666666667
2000-03-14,5.17,0.97,4.645333333333332,0.8816666666666666
2000-03-15,5.56,0.9,4.639333333333334,0.8893333333333334
2000-03-16,3.95,1.04,4.606,0.9
2000-03-17,3.93,0.84,4.608333333333333,0.9003333333333334
2000-03-18,4.98,0.87,4.655,0.8983333333333334
2000-03-19,4.88,0.87,4.686333333333334,0.894
2000-03-20,5.17,0.75,4.7206666666666655,0.8893333333333333
2000-03-21,6.06,0.6,4.7943333333333324,0.8783333333333334
2000-03-22,5.92,0.77,4.832666666666667,0.8746666666666666
2000-03-23,4.65,0.86,4.828666666666667,0.8726666666666667
2000-03-24,4.17,0.87,4.789,0.872
2000-03-25,3.38,0.95,4.73,0.8699999999999999
2000-03-26,4.74,1.1,4.741333333333333,0.8736666666666667
2000-03-27,4.64,0.87,4.715999999999999,0.8723333333333333
2000-03-28,5.54,0.97,4.726333333333334,0.8796666666666667
