Date,exports_usd,imports_usd,exports_usd_MA7,exports_usd_MA30,imports_usd_MA7,imports_usd_MA30
2000-01-21,935616.44,1235616.44,935616.44,935616.44,1235616.44,1235616.44
2000-01-22,1200684.93,1125342.47,1068150.685,1068150.685,1180479.455,1180479.455
2000-01-23,1290410.96,907534.25,1142237.4433333334,1142237.4433333334,1089497.72,1089497.72
2000-01-24,1250684.93,922602.74,1169349.315,1169349.315,1047773.975,1047773.975
2000-01-25,1167123.29,1085616.44,1168904.1099999999,1168904.1099999999,1055342.4679999999,1055342.4679999999
2000-01-26,1019178.08,1089041.1,1143949.7716666667,1143949.7716666667,1060958.9066666665,1060958.9066666665
2000-01-27,1131506.85,1119863.01,1142172.2114285715,1142172.2114285715,1069373.7785714285,1069373.7785714285
2000-01-28,1115753.42,1267123.29,1167906.065714286,1138869.8625,1073874.7571428572,1094092.4675
2000-01-29,1315753.42,1232191.78,1184344.4214285712,1158523.5911111112,1089138.9442857143,1109436.8355555555
2000-01-30,1234246.58,1123287.67,1176320.9385714286,1166095.8900000001,1119960.8614285714,1110821.919
2000-01-31,1204109.59,1064383.56,1169667.3185714285,1169551.680909091,1140215.2642857141,1106600.25
2000-02-01,1194520.55,1173972.6,1173581.2128571428,1171632.42,1152837.572857143,1112214.6125
2000-02-02,1313013.7,1220547.95,1215557.73,1182507.903076923,1171624.2657142857,1120547.946153846
2000-02-03,1267123.29,1004794.52,1234931.5071428572,1188551.8592857143,1155185.91,1112279.8442857142
2000-02-04,1267808.22,1150684.93,1256653.6214285716,1193835.6166666667,1138551.8585714286,1114840.1833333333
2000-02-05,1347260.27,1157534.25,1261154.6,1203424.6575,1127886.4971428572,1117508.5625
2000-02-06,1365068.49,1069178.08,1279843.4442857145,1212933.1182352942,1120156.5557142857,1114665.5929411764
2000-02-07,1247945.21,1097945.21,1286105.6757142858,1214878.2344444443,1124951.0771428572,1113736.6827777778
2000-02-08,1358219.18,1128767.12,1309491.1942857143,1222422.494736842,1118493.1514285714,1114527.7584210527
2000-02-09,1212328.77,1050000.0,1295107.6328571427,1221917.8085,1094129.1585714286,1111301.3705
2000-02-10,1208904.11,1051369.86,1286790.607142857,1221298.1085714286,1100782.7785714285,1108447.489047619
2000-02-11,1079452.05,1168493.15,1259882.582857143,1214850.5604545453,1103326.81,1111176.8372727274
2000-02-12,1315753.42,1210273.97,1255381.6042857144,1219237.641304348,1110861.0557142857,1115485.4082608696
2000-02-13,1185616.44,1086301.37,1229745.597142857,1217836.7579166668,1113307.24,1114269.4066666667
2000-02-14,1123972.6,1236986.3,1212035.2242857143,1214082.1916,1133170.2528571428,1119178.0824
2000-02-15,1115753.42,1160958.9,1177397.2585714287,1210300.3157692307,1137769.0785714285,1120785.036923077
2000-02-16,1298630.14,1140410.96,1189726.0257142857,1213571.7907407407,1150684.93,1121511.922962963
2000-02-17,1129452.05,1123972.6,1178375.7314285713,1210567.5142857141,1161056.75,1121599.8042857142
2000-02-18,1295890.41,1234931.51,1209295.4971428572,1213509.6831034482,1170547.9442857143,1125507.794137931
2000-02-19,1293150.68,1204794.52,1206066.5342857144,1216164.3830000001,1169765.1657142858,1128150.6849999998
2000-02-20,1117808.22,999315.07,1196379.6457142858,1222237.4423333334,1157338.5514285713,1120273.9726666666
2000-02-21,1174657.53,989726.03,1203620.3499999999,1221369.8623333336,1122015.6557142858,1115753.4246666667
2000-02-22,1152739.73,1135616.44,1208904.1085714286,1216780.8213333334,1118395.3042857144,1123356.1643333333
2000-02-23,1220547.95,1101369.86,1197749.51,1215776.2553333335,1112818.0042857144,1129315.0683333336
2000-02-24,1320547.95,1207534.25,1225048.924285714,1220890.4106666667,1124755.3828571427,1133378.9953333333
2000-02-25,1360273.97,1204109.59,1234246.5757142857,1232260.2736666664,1120352.2514285713,1137214.6116666668
2000-02-26,1183561.64,1168493.15,1218590.9985714287,1233995.4333333333,1115166.3414285716,1138835.6163333333
2000-02-27,1427397.26,1189041.1,1262818.0042857141,1244383.5613333334,1142270.06,1136232.8766666667
2000-02-28,1155479.45,1007534.25,1260078.2785714285,1239041.0956666665,1144814.0914285716,1128744.2923333335
2000-02-29,1198630.14,1032876.71,1266634.0514285713,1237853.881,1130136.9871428572,1125730.5936666667
2000-03-01,1356849.32,904794.52,1286105.6757142858,1242945.2053333332,1102054.7957142857,1120410.959
2000-03-02,1441095.89,1130821.92,1303326.81,1251164.3833333333,1091095.8914285714,1118972.603
2000-03-03,1311643.84,1102739.73,1296379.6485714284,1251118.7213333333,1076614.482857143,1115045.6623333334
2000-03-04,1049315.07,1234246.58,1277201.5671428572,1243858.4473333333,1086007.83,1122694.0643333334
2000-03-05,997260.27,1092465.75,1215753.4257142858,1234840.1823333332,1072211.3514285716,1120753.425
2000-03-06,1235616.44,1139726.03,1227201.5671428572,1231118.721333333,1091095.8914285714,1120159.8176666668
2000-03-07,1352739.73,1265068.49,1249217.222857143,1230707.7626666666,1124266.1457142856,1126689.4980000001
2000-03-08,1259589.04,1238356.16,1235322.897142857,1231095.8903333333,1171917.8085714285,1131369.8630000001
2000-03-09,1184246.58,1065068.49,1198630.1385714286,1225296.8036666666,1162524.4614285715,1129246.5753333333
2000-03-10,1190410.96,1087671.23,1181311.1557142858,1224566.21,1160371.8185714285,1130502.283
2000-03-11,1273972.6,993150.68,1213405.0885714288,1226735.1596666665,1125929.5471428572,1128561.6436666667
