Date,fdi_inflows_usd,fdi_inflows_usd_MA7,fdi_inflows_usd_MA30
2000-01-21,47356.16,47356.16,47356.16
2000-01-22,47821.92,47589.04,47589.04
2000-01-23,62260.27,52479.450000000004,52479.450000000004
2000-01-24,75184.93,58155.82,58155.82
2000-01-25,62551.37,59034.93000000001,59034.93000000001
2000-01-26,56962.33,58689.496666666666,58689.496666666666
2000-01-27,62085.62,59174.65714285714,59174.65714285714
2000-01-28,67208.9,62010.76285714285,60178.9375
2000-01-29,68373.29,64946.672857142854,61089.421111111114
2000-01-30,63133.56,65071.42857142857,61293.835
2000-01-31,78212.33,65503.91428571428,62831.88
2000-02-01,76756.85,67533.26857142858,63992.29416666667
2000-02-02,75301.37,70153.13142857143,64862.22307692308
2000-02-03,68431.51,71059.68714285715,65117.17214285715
2000-02-04,73321.92,71932.97571428571,65664.15533333333
2000-02-05,59407.53,70652.15285714286,65273.11625
2000-02-06,49976.03,68772.50571428573,64373.287647058816
2000-02-07,70178.08,67624.75571428571,64695.77611111111
2000-02-08,85315.07,68847.35857142856,65781.00210526316
2000-02-09,80250.0,69554.30571428571,66504.452
2000-02-10,69013.7,69637.47571428571,66623.94
2000-02-11,80191.78,70618.88428571429,67240.66
2000-02-12,79784.25,73529.8442857143,67786.03347826087
2000-02-13,78678.08,77630.13714285714,68239.86875000001
2000-02-14,74544.52,78253.91428571429,68492.0548
2000-02-15,67965.75,75775.44000000002,68471.81230769231
2000-02-16,58068.49,72606.65285714286,68086.50407407408
2000-02-17,74660.96,73413.40428571429,68321.30607142857
2000-02-18,69013.7,71816.53571428572,68345.18172413793
2000-02-19,58126.71,68722.60142857142,68004.566
2000-02-20,81414.38,69113.50142857143,69139.84000000001
2000-02-21,92126.71,71625.24285714286,70616.66633333333
2000-02-22,54051.37,69637.47428571428,70343.03633333332
2000-02-23,57602.74,69570.93857142857,69756.96333333333
2000-02-24,71400.68,69105.18428571429,70051.94033333333
2000-02-25,72332.19,69579.25428571428,70564.269
2000-02-26,86886.99,73687.86571428573,71390.98133333333
2000-02-27,69071.92,71924.65714285715,71453.082
2000-02-28,63715.75,67865.94857142857,71297.83066666666
2000-02-29,58301.37,68473.09142857142,71136.75766666667
2000-03-01,66917.81,69803.81571428572,70760.27366666666
2000-03-02,89681.51,72415.36285714286,71191.09566666668
2000-03-03,85082.19,74236.79142857142,71517.12299999999
2000-03-04,68780.82,71650.19571428571,71528.76666666666
2000-03-05,74719.18,72456.94714285714,71575.34199999999
2000-03-06,72215.75,73671.23285714285,72002.28266666667
2000-03-07,60630.14,74003.91428571429,72357.41966666667
2000-03-08,56904.11,72573.38571428572,71914.95399999998
2000-03-09,52363.01,67242.17142857143,70816.552
2000-03-10,56962.33,63225.04857142857,70040.29633333333
2000-03-11,57428.08,61603.22857142857,69654.109
2000-03-12,71924.66,61204.01142857142,69378.53833333333
2000-03-13,68664.38,60696.672857142854,69007.876
2000-03-14,68664.38,61844.42142857142,68674.086
2000-03-15,78270.55,64896.770000000004,68798.287
2000-03-16,72448.63,67766.14428571428,68947.71633333333
2000-03-17,74078.77,70211.35,69481.39233333334
2000-03-18,60513.7,70652.15285714286,69009.817
2000-03-19,60513.7,69022.01571428572,68726.48366666667
2000-03-20,74952.05,69920.25428571428,69287.32833333334
2000-03-21,53760.27,67791.09571428572,68365.52466666666
2000-03-22,60804.79,65295.98714285714,67321.46066666667
2000-03-23,72506.85,65304.30428571429,67936.64333333334
2000-03-24,70702.05,64821.91571428571,68373.287
2000-03-25,63482.88,65246.08428571429,68109.36033333333
2000-03-26,55157.53,64480.91714285714,67536.87166666666
2000-03-27,66102.74,63216.729999999996,66844.06333333332
2000-03-28,66568.49,65046.47571428572,66760.61566666666
2000-03-29,64414.38,65562.13142857143,66783.90333333334
2000-03-30,71226.03,65379.15714285714,67214.72533333334
2000-03-31,73321.92,65753.42428571428,67428.19566666667
2000-04-01,86188.36,68997.06428571428,67311.75733333334
2000-04-02,79434.93,72465.26428571428,67123.51533333333
2000-04-03,70934.93,73155.57714285715,67195.319
2000-04-04,60979.45,72357.14285714286,66737.328
2000-04-05,78037.67,74303.32714285713,66931.392
2000-04-06,67267.12,73737.76857142858,67152.62466666667
2000-04-07,62609.59,72207.43571428572,67342.80733333333
2000-04-08,78445.21,71101.27142857142,68212.21399999999
2000-04-09,72914.38,70169.76428571428,68743.949
2000-04-10,70003.42,70036.69142857143,69163.12700000001
2000-04-11,67791.1,71009.78428571428,69025.34166666666
2000-04-12,65578.77,69229.94142857143,68922.488
2000-04-13,69828.77,69595.89142857143,68961.301
2000-04-14,78794.52,71908.02428571429,68978.76666666666
2000-04-15,62958.9,69695.69428571429,68662.44233333334
2000-04-16,72797.95,69679.06142857143,68619.74833333334
2000-04-17,65462.33,69030.33428571429,68784.70266666666
2000-04-18,70702.05,69446.18428571428,69124.31433333333
2000-04-19,74369.86,70702.05428571429,69104.908
2000-04-20,73205.48,71184.44142857143,69753.08166666667
2000-04-21,70410.96,69986.79,70073.28733333334
