Date,population_million,urbanization_pct,population_million_MA30,urbanization_pct_MA30
2000-01-18,47.53,53.61,,
2000-01-19,47.54,54.41,,
2000-01-20,47.37,55.65,,
2000-01-21,47.6,54.46,,
2000-01-22,47.55,55.93,,
2000-01-23,47.12,55.61,,
2000-01-24,47.5,53.01,,
2000-01-25,47.65,54.49,,
2000-01-26,47.46,54.93,,
2000-01-27,47.54,55.7,,
2000-01-28,47.69,57.57,,
2000-01-29,47.46,58.07,,
2000-01-30,47.46,56.7,,
2000-01-31,47.68,52.71,,
2000-02-01,47.57,53.38,,
2000-02-02,47.57,53.64,,
2000-02-03,47.6,53.37,,
2000-02-04,47.81,55.0,,
2000-02-05,47.77,53.33,,
2000-02-06,47.56,53.13,,
2000-02-07,47.87,53.59,,
2000-02-08,47.54,53.7,,
2000-02-09,47.72,55.89,,
2000-02-10,47.87,55.09,,
2000-02-11,47.44,51.83,,
2000-02-12,47.83,53.56,,
2000-02-13,47.57,51.72,,
2000-02-14,47.42,53.61,,
2000-02-15,47.15,54.73,,
2000-02-16,47.47,54.88,47.56366666666667,54.443333333333335
2000-02-17,47.61,54.89,47.56633333333333,54.486000000000004
2000-02-18,47.54,53.58,47.56633333333333,54.458333333333336
2000-02-19,47.63,56.36,47.575,54.482
2000-02-20,47.33,55.54,47.566,54.518
2000-02-21,47.74,52.95,47.57233333333333,54.418666666666674
2000-02-22,47.55,55.28,47.586666666666666,54.407666666666664
2000-02-23,47.3,55.82,47.58,54.501333333333335
2000-02-24,47.55,54.95,47.576666666666675,54.516666666666666
2000-02-25,47.57,55.83,47.580333333333336,54.54666666666667
2000-02-26,47.82,53.95,47.589666666666666,54.48833333333334
2000-02-27,47.95,55.87,47.598333333333336,54.431666666666665
2000-02-28,47.56,55.39,47.60166666666667,54.342333333333336
2000-02-29,47.61,57.76,47.60666666666667,54.37766666666666
2000-03-01,47.5,53.75,47.60066666666667,54.412333333333336
2000-03-02,47.81,51.05,47.608666666666664,54.334666666666664
2000-03-03,47.38,55.9,47.602333333333334,54.410000000000004
2000-03-04,47.71,57.16,47.605999999999995,54.53633333333333
2000-03-05,47.7,56.61,47.602333333333334,54.59
2000-03-06,47.73,54.76,47.601,54.63766666666667
2000-03-07,47.38,57.95,47.595,54.79833333333333
2000-03-08,47.66,55.77,47.587999999999994,54.871
2000-03-09,47.55,53.94,47.58833333333333,54.879
2000-03-10,47.22,55.79,47.571666666666665,54.87566666666667
2000-03-11,47.61,55.83,47.563,54.900333333333336
2000-03-12,47.21,56.4,47.55533333333333,55.052666666666674
2000-03-13,47.6,55.11,47.54766666666667,55.10433333333333
2000-03-14,47.44,55.91,47.54333333333334,55.24400000000001
2000-03-15,47.81,54.1,47.556333333333335,55.26033333333333
2000-03-16,47.55,57.09,47.56966666666666,55.33899999999999
2000-03-17,47.41,57.23,47.56766666666667,55.41733333333333
2000-03-18,47.7,55.91,47.57066666666666,55.45133333333333
2000-03-19,47.58,55.54,47.572,55.516666666666666
2000-03-20,47.3,56.17,47.561,55.51033333333333
2000-03-21,48.0,56.21,47.583333333333336,55.532666666666664
2000-03-22,47.99,57.28,47.59166666666667,55.677
2000-03-23,47.62,56.29,47.594,55.71066666666666
2000-03-24,47.48,52.06,47.6,55.58533333333333
2000-03-25,47.28,52.15,47.590999999999994,55.492
2000-03-26,47.46,58.93,47.587333333333326,55.59533333333333
2000-03-27,47.62,54.82,47.580666666666666,55.62433333333333
2000-03-28,47.61,52.29,47.56933333333333,55.505
2000-03-29,47.6,53.01,47.57066666666667,55.425666666666665
2000-03-30,47.96,53.92,47.582333333333324,55.29766666666667
2000-03-31,47.85,53.01,47.594,55.273
2000-04-01,47.57,52.52,47.586,55.322
2000-04-02,47.2,53.95,47.580000000000005,55.257
