Date,renewable_energy_pct,income_inequality_gini,renewable_energy_pct_MA30,income_inequality_gini_MA30
2000-01-18,13.55,38.47,,
2000-01-19,16.34,40.07,,
2000-01-20,11.2,40.11,,
2000-01-21,19.27,39.72,,
2000-01-22,15.36,39.21,,
2000-01-23,13.04,42.86,,
2000-01-24,10.34,41.17,,
2000-01-25,11.2,44.34,,
2000-01-26,15.08,32.0,,
2000-01-27,13.28,32.0,,
2000-01-28,12.61,33.89,,
2000-01-29,11.01,33.02,,
2000-01-30,8.38,32.0,,
2000-01-31,6.78,43.95,,
2000-02-01,8.77,40.98,,
2000-02-02,11.79,38.86,,
2000-02-03,8.7,42.78,,
2000-02-04,10.85,37.76,,
2000-02-05,16.26,33.61,,
2000-02-06,11.87,33.49,,
2000-02-07,8.5,37.53,,
2000-02-08,5.41,38.04,,
2000-02-09,4.27,42.74,,
2000-02-10,10.66,39.13,,
2000-02-11,15.59,36.31,,
2000-02-12,15.51,38.74,,
2000-02-13,19.51,41.68,,
2000-02-14,15.87,38.27,,
2000-02-15,6.93,42.27,,
2000-02-16,10.38,39.33,11.943666666666667,38.477666666666664
2000-02-17,14.85,37.33,11.986999999999998,38.43966666666667
2000-02-18,14.34,39.64,11.920333333333334,38.425333333333334
2000-02-19,12.5,35.06,11.963666666666667,38.257
2000-02-20,5.64,33.06,11.509333333333332,38.035000000000004
2000-02-21,7.64,41.37,11.251999999999999,38.107
2000-02-22,15.47,32.0,11.333,37.745
2000-02-23,11.2,39.33,11.361666666666666,37.683666666666674
2000-02-24,15.59,40.51,11.508000000000001,37.556000000000004
2000-02-25,14.3,38.35,11.482,37.76766666666666
2000-02-26,11.91,38.35,11.436333333333332,37.97933333333333
2000-02-27,15.08,40.66,11.518666666666666,38.205000000000005
2000-02-28,6.93,38.27,11.382666666666667,38.38
2000-02-29,13.16,36.08,11.542000000000002,38.516
2000-03-01,13.71,41.92,11.773,38.44833333333334
2000-03-02,12.42,43.01,11.894666666666668,38.516
2000-03-03,11.87,42.43,11.897333333333334,38.635
2000-03-04,11.67,43.05,11.996333333333332,38.644
2000-03-05,13.04,40.82,12.069333333333333,38.745999999999995
2000-03-06,12.42,41.29,11.941333333333334,39.001999999999995
2000-03-07,19.27,34.63,12.187999999999999,39.04
2000-03-08,20.0,35.1,12.571333333333333,38.958999999999996
2000-03-09,13.32,43.05,12.835,39.126000000000005
2000-03-10,12.61,40.07,13.113,39.037000000000006
2000-03-11,14.61,41.21,13.244666666666667,39.10633333333333
