Date,business_confidence_index,manufacturing_pmi,business_confidence_index_MA30,manufacturing_pmi_MA30
2000-01-18,47.67,50.6,,
2000-01-19,47.51,46.85,,
2000-01-20,49.36,51.46,,
2000-01-21,47.62,48.75,,
2000-01-22,50.58,47.5,,
2000-01-23,51.51,48.62,,
2000-01-24,49.02,50.55,,
2000-01-25,49.92,52.73,,
2000-01-26,49.96,50.93,,
2000-01-27,48.22,51.71,,
2000-01-28,46.76,51.08,,
2000-01-29,48.31,49.69,,
2000-01-30,44.82,46.7,,
2000-01-31,47.57,51.38,,
2000-02-01,52.29,51.88,,
2000-02-02,48.51,50.91,,
2000-02-03,48.08,50.28,,
2000-02-04,48.8,49.19,,
2000-02-05,50.44,49.19,,
2000-02-06,48.94,49.72,,
2000-02-07,53.54,50.24,,
2000-02-08,51.84,49.66,,
2000-02-09,50.91,51.91,,
2000-02-10,51.63,51.91,,
2000-02-11,48.03,49.63,,
2000-02-12,51.85,49.66,,
2000-02-13,49.16,48.59,,
2000-02-14,50.11,52.59,,
2000-02-15,50.08,53.22,,
2000-02-16,50.79,48.01,49.461,50.17133333333333
2000-02-17,47.51,48.48,49.45566666666666,50.10066666666667
2000-02-18,48.75,51.74,49.49699999999999,50.26366666666666
2000-02-19,49.58,51.19,49.504333333333335,50.254666666666665
2000-02-20,51.85,51.02,49.64533333333333,50.33033333333333
2000-02-21,52.24,49.85,49.70066666666666,50.40866666666667
2000-02-22,53.22,49.25,49.757666666666665,50.42966666666667
2000-02-23,51.12,49.77,49.827666666666666,50.40366666666667
2000-02-24,51.66,49.6,49.885666666666665,50.29933333333334
2000-02-25,54.31,50.41,50.03066666666666,50.282000000000004
2000-02-26,54.69,52.06,50.24633333333334,50.29366666666667
2000-02-27,48.67,49.31,50.31000000000001,50.23466666666666
2000-02-28,49.2,49.71,50.33966666666666,50.23533333333333
2000-02-29,51.63,49.63,50.56666666666667,50.333
2000-03-01,50.85,49.02,50.676,50.254333333333335
2000-03-02,50.24,50.75,50.60766666666667,50.21666666666667
2000-03-03,53.39,50.21,50.77033333333333,50.19333333333334
2000-03-04,52.68,50.57,50.92366666666667,50.203
2000-03-05,52.42,50.94,51.044333333333334,50.26133333333334
2000-03-06,53.7,49.58,51.153,50.27433333333333
2000-03-07,52.59,49.49,51.274666666666675,50.266666666666666
2000-03-08,52.81,49.61,51.25033333333333,50.245666666666665
2000-03-09,50.94,48.23,51.220333333333336,50.198
2000-03-10,50.36,49.97,51.202,50.13333333333333
2000-03-11,52.42,47.57,51.22833333333334,49.98866666666666
2000-03-12,53.61,51.15,51.41433333333334,50.03933333333334
2000-03-13,53.97,48.72,51.485,50.008
2000-03-14,54.06,50.25,51.64833333333333,50.06333333333334
2000-03-15,50.19,48.45,51.650999999999996,49.925333333333334
2000-03-16,50.75,47.17,51.67333333333333,49.72366666666667
2000-03-17,48.2,47.87,51.587,49.719
2000-03-18,54.17,51.65,51.809,49.824666666666666
2000-03-19,52.31,49.72,51.927666666666674,49.757333333333335
2000-03-20,54.86,49.39,52.10366666666666,49.69733333333333
2000-03-21,54.63,50.16,52.196333333333335,49.66866666666667
2000-03-22,52.43,49.86,52.202666666666666,49.669
2000-03-23,52.6,50.08,52.182,49.696666666666665
2000-03-24,53.11,52.64,52.248333333333335,49.79233333333333
2000-03-25,52.53,51.38,52.27733333333333,49.85166666666667
2000-03-26,54.86,48.58,52.29566666666667,49.79066666666667
2000-03-27,53.84,49.6,52.26733333333333,49.708666666666666
2000-03-28,54.11,50.0,52.44866666666667,49.73166666666667
2000-03-29,55.49,47.14,52.65833333333334,49.646
2000-03-30,57.71,47.15,52.861,49.563333333333325
2000-03-31,53.28,48.66,52.94200000000001,49.55133333333333
2000-04-01,53.42,50.46,53.048,49.541666666666664
2000-04-02,51.02,48.04,52.969,49.46933333333333
2000-04-03,49.88,48.69,52.87566666666667,49.406666666666666
2000-04-04,53.09,48.15,52.898,49.31366666666666
2000-04-05,54.95,51.18,52.93966666666667,49.367
2000-04-06,53.72,49.41,52.977333333333334,49.36433333333333
2000-04-07,53.76,48.83,53.009,49.33833333333334
2000-04-08,54.37,49.78,53.12333333333333,49.39
2000-04-09,54.67,48.84,53.267,49.352333333333334
2000-04-10,53.17,50.39,53.292,49.446333333333335
2000-04-11,53.04,51.48,53.273,49.45733333333333
2000-04-12,52.27,50.35,53.21633333333333,49.51166666666666
