Date,debt_gdp_ratio,debt_gdp_ratio_MA30
2000-01-05,82.77,
2000-01-06,82.77,
2000-01-07,82.77,
2000-01-08,82.77,
2000-01-09,82.77,
2000-01-10,82.77,
2000-01-11,82.77,
2000-01-12,82.77,
2000-01-13,82.77,
2000-01-14,82.77,
2000-01-18,66.49,
2000-01-19,57.39,
2000-01-20,66.12,
2000-01-21,62.39,
2000-01-22,50.61,
2000-01-23,54.31,
2000-01-24,64.54,
2000-01-25,61.66,
2000-01-26,56.5,
2000-01-27,54.19,
2000-01-28,52.48,
2000-01-29,51.63,
2000-01-30,52.89,
2000-01-31,53.54,
2000-02-01,59.59,
2000-02-02,47.85,
2000-02-03,52.68,
2000-02-04,53.9,
2000-02-05,58.94,
2000-02-06,61.66,65.56866666666666
2000-02-07,54.39,64.62266666666667
2000-02-08,60.28,63.873000000000005
2000-02-09,57.68,63.03666666666666
2000-02-10,50.57,61.96333333333334
2000-02-11,53.41,60.98466666666666
2000-02-12,56.87,60.12133333333334
2000-02-13,64.58,59.515
2000-02-14,65.92,58.95333333333333
2000-02-15,59.75,58.186
2000-02-16,59.26,57.40233333333333
2000-02-17,54.55,57.00433333333333
2000-02-18,51.06,56.79333333333333
2000-02-19,52.97,56.355
2000-02-20,52.12,56.01266666666667
2000-02-21,67.95,56.59066666666666
2000-02-22,66.73,57.004666666666665
2000-02-23,68.44,57.13466666666667
2000-02-24,67.22,57.32
2000-02-25,43.75,56.894999999999996
2000-02-26,62.67,57.177666666666674
2000-02-27,57.64,57.349666666666664
2000-02-28,56.99,57.52833333333333
2000-02-29,55.0,57.59866666666667
2000-03-01,55.04,57.648666666666664
2000-03-02,61.7,57.719
2000-03-03,56.95,58.022333333333336
2000-03-04,59.99,58.266
2000-03-05,66.81,58.69633333333333
2000-03-06,69.74,59.056333333333335
2000-03-07,66.93,59.232
2000-03-08,67.46,59.66766666666667
2000-03-09,58.25,59.6
2000-03-10,64.29,59.82033333333334
2000-03-11,67.06,60.37
2000-03-12,55.69,60.446000000000005
2000-03-13,64.42,60.69766666666667
2000-03-14,61.66,60.60033333333333
2000-03-15,57.6,60.323
2000-03-16,57.56,60.25
2000-03-17,51.14,59.97933333333333
2000-03-18,51.26,59.869666666666674
2000-03-19,51.95,59.89933333333333
2000-03-20,55.85,59.995333333333335
2000-03-21,57.07,60.160333333333334
2000-03-22,54.71,59.71900000000001
2000-03-23,56.46,59.37666666666667
2000-03-24,62.63,59.183
2000-03-25,60.72,58.96633333333333
2000-03-26,61.05,59.543
2000-03-27,68.11,59.724333333333334
2000-03-28,72.33,60.214000000000006
2000-03-29,58.85,60.275999999999996
2000-03-30,60.52,60.46000000000001
