Date,education_index,healthcare_index,education_index_MA30,healthcare_index_MA30
2000-01-05,0.65,0.7042,,
2000-01-06,0.65,0.7042,,
2000-01-07,0.65,0.7042,,
2000-01-08,0.65,0.7042,,
2000-01-09,0.65,0.7042,,
2000-01-10,0.65,0.7042,,
2000-01-11,0.65,0.7042,,
2000-01-12,0.65,0.7042,,
2000-01-13,0.65,0.7042,,
2000-01-14,0.65,0.7042,,
2000-01-18,0.6029,0.6511,,
2000-01-19,0.6102,0.6494,,
2000-01-20,0.5944,0.6502,,
2000-01-21,0.6065,0.6716,,
2000-01-22,0.6249,0.6584,,
2000-01-23,0.6272,0.6514,,
2000-01-24,0.6211,0.6538,,
2000-01-25,0.6061,0.6664,,
2000-01-26,0.5825,0.6557,,
2000-01-27,0.5839,0.6594,,
2000-01-28,0.5973,0.6632,,
2000-01-29,0.5906,0.6603,,
2000-01-30,0.5977,0.6668,,
2000-01-31,0.6327,0.6701,,
2000-02-01,0.6231,0.6445,,
2000-02-02,0.6006,0.6326,,
2000-02-03,0.5924,0.6641,,
2000-02-04,0.6242,0.632,,
2000-02-05,0.6242,0.6334,,
2000-02-06,0.6197,0.6504,0.6220733333333333,0.6708933333333333
2000-02-07,0.5997,0.6472,0.6203966666666667,0.6689933333333333
2000-02-08,0.5973,0.6687,0.61864,0.66781
2000-02-09,0.5885,0.6495,0.6165900000000001,0.6659866666666667
2000-02-10,0.6287,0.6802,0.61588,0.6651866666666667
2000-02-11,0.6177,0.663,0.6148033333333333,0.6638133333333334
2000-02-12,0.6098,0.6537,0.6134633333333334,0.66213
2000-02-13,0.607,0.6471,0.6120300000000001,0.6602266666666666
2000-02-14,0.6047,0.6576,0.61052,0.6586733333333332
2000-02-15,0.5931,0.6472,0.6086233333333333,0.6567733333333333
2000-02-16,0.5794,0.6391,0.6062700000000001,0.6546033333333333
2000-02-17,0.5791,0.6477,0.6054766666666666,0.6544899999999999
2000-02-18,0.6161,0.64,0.6056733333333334,0.6541766666666666
2000-02-19,0.6196,0.6334,0.6065133333333333,0.6536166666666666
2000-02-20,0.6111,0.6487,0.6066666666666667,0.6528533333333333
2000-02-21,0.6043,0.6408,0.60598,0.6522666666666666
2000-02-22,0.5702,0.62,0.60408,0.65122
2000-02-23,0.5967,0.6342,0.6032666666666667,0.6505666666666666
2000-02-24,0.6107,0.6615,0.60342,0.6504033333333333
2000-02-25,0.6139,0.686,0.6044666666666667,0.6514133333333334
2000-02-26,0.6299,0.673,0.606,0.6518666666666667
2000-02-27,0.6082,0.6756,0.6063633333333333,0.65228
2000-02-28,0.6121,0.6679,0.60708,0.6525333333333333
2000-02-29,0.6243,0.6745,0.6079666666666665,0.6527899999999999
2000-03-01,0.6025,0.671,0.60696,0.6528200000000001
2000-03-02,0.6056,0.6679,0.6063766666666667,0.6536000000000001
2000-03-03,0.5897,0.6297,0.6060133333333334,0.6535033333333333
2000-03-04,0.5943,0.6567,0.6060766666666667,0.6532566666666667
2000-03-05,0.6033,0.6495,0.60538,0.6538400000000001
2000-03-06,0.6085,0.6384,0.6048566666666667,0.6540066666666665
2000-03-07,0.5847,0.6607,0.6036900000000001,0.6543500000000001
2000-03-08,0.6065,0.6615,0.6039166666666667,0.6548266666666667
2000-03-09,0.5958,0.6594,0.6038666666666667,0.6545166666666666
2000-03-10,0.6089,0.6534,0.6045466666666666,0.6546466666666666
2000-03-11,0.6165,0.6495,0.60414,0.6536233333333333
2000-03-12,0.6084,0.6577,0.6038300000000001,0.6534466666666667
2000-03-13,0.6327,0.6897,0.6045933333333333,0.6546466666666666
2000-03-14,0.6471,0.686,0.60593,0.6559433333333333
2000-03-15,0.6258,0.6545,0.6066333333333334,0.65584
