Date,fdi_inflows_usd,fdi_inflows_usd_MA30
2000-01-07,17187.5,
2000-01-08,17187.5,
2000-01-09,17187.5,
2000-01-10,17187.5,
2000-01-11,17187.5,
2000-01-12,17187.5,
2000-01-13,17187.5,
2000-01-14,17187.5,
2000-01-15,17187.5,
2000-01-16,17187.5,
2000-01-17,17187.5,
2000-01-18,17187.5,
2000-01-19,17187.5,
2000-01-20,31930.221818181817,
2000-01-21,34751.402,
2000-01-22,27286.868,
2000-01-23,25995.594545454544,
2000-01-24,29184.340999999997,
2000-01-25,30563.202,
2000-01-26,32821.981,
2000-01-27,32397.216363636366,
2000-01-28,31659.408999999996,
2000-01-29,37511.587,
2000-01-30,34493.328,
2000-01-31,27380.93727272727,
2000-02-01,29776.684999999998,
2000-02-02,31541.432,
2000-02-03,29231.04,
2000-02-04,33930.03090909091,
2000-02-05,42137.288,25534.335463636366
2000-02-06,29592.345,25947.830296969696
2000-02-07,31626.34,26429.12496363636
2000-02-08,29752.107,26847.9451969697
2000-02-09,32662.22,27363.769196969697
2000-02-10,34645.716,27945.70973030303
2000-02-11,30446.56636363636,28387.678609090908
2000-02-12,27156.599,28719.981909090908
2000-02-13,38175.210999999996,29419.572275757575
2000-02-14,37110.956,30083.687475757575
2000-02-15,29380.743636363637,30490.12893030303
2000-02-16,32409.058999999997,30997.514230303026
2000-02-17,29702.95,31414.695896969697
2000-02-18,28036.517,31776.329796969698
2000-02-19,29318.18181818182,31689.261796969695
2000-02-20,30214.185999999998,31538.02126363636
2000-02-21,30573.034000000003,31647.56013030303
2000-02-22,30127.043636363636,31785.275100000003
2000-02-23,25792.487,31672.2133
2000-02-24,28884.481,31616.25593333333
2000-02-25,34163.973,31660.988999999998
2000-02-26,25037.028181818183,31415.649393939395
2000-02-27,26178.371,31232.948127272728
2000-02-28,27672.752,30904.98696060606
2000-02-29,24794.593,30581.695793939394
2000-03-01,26071.56636363636,30538.0500969697
2000-03-02,26864.116,30440.964463636363
2000-03-03,29204.003999999997,30363.0501969697
2000-03-04,33641.79,30510.075196969694
2000-03-05,35053.721999999994,30547.53156666667
2000-03-06,30027.388,30143.86823333333
2000-03-07,30892.557,30187.20863333333
2000-03-08,31588.35636363636,30185.94251212121
2000-03-09,31939.607,30258.85917878788
2000-03-10,25834.273,30031.26094545454
2000-03-11,27446.629999999997,29791.29141212121
2000-03-12,32070.991818181818,29845.438927272728
2000-03-13,31974.017,30006.019527272725
2000-03-14,29336.728000000003,29711.403427272726
2000-03-15,24194.873,29280.867327272725
2000-03-16,29271.25909090909,29277.21784242424
2000-03-17,38981.390999999996,29496.295575757576
2000-03-18,31892.910000000003,29569.294242424243
2000-03-19,30882.278181818183,29664.15294848485
2000-03-20,32853.932,29782.011287878788
2000-03-21,31804.423,29835.019187878792
2000-03-22,37668.887,30071.54762121212
2000-03-23,34470.762727272726,30216.338257575757
2000-03-24,32873.595,30452.37519090909
2000-03-25,29904.495000000003,30486.375657575754
2000-03-26,34068.119,30483.180524242423
2000-03-27,36079.54727272727,30851.264493939394
2000-03-28,34077.949,31114.58376060606
2000-03-29,33583.919,31311.62266060606
2000-03-30,30676.263,31507.678327272726
2000-03-31,30354.954545454544,31650.45793333333
2000-04-01,29206.461,31728.5361
2000-04-02,27862.008,31683.8029
2000-04-03,32911.13545454545,31659.44774848485
2000-04-04,29614.468,31478.13928181818
2000-04-05,33350.42,31588.907015151515
2000-04-06,39190.308000000005,31865.498715151516
2000-04-07,32419.559090909093,31893.205472727273
2000-04-08,28918.890000000003,31792.514906060605
2000-04-09,34726.827000000005,32088.93337272727
2000-04-10,31103.933999999997,32210.843506060606
2000-04-11,27622.253636363635,32062.552233333336
2000-04-12,25708.916999999998,31853.71556666667
2000-04-13,28188.905,31815.454800000003
2000-04-14,27028.791999999998,31909.918766666666
2000-04-15,32712.269999999997,32024.61913030303
2000-04-16,33763.343,31850.684196969694
2000-04-17,28574.79,31740.080196969695
2000-04-18,32924.54090909091,31808.155621212118
2000-04-19,37098.666,31949.646754545454
2000-04-20,32136.235999999997,31960.707187878786
2000-04-21,26726.474,31595.96008787879
2000-04-22,35856.10272727273,31642.138087878786
2000-04-23,40871.490000000005,31908.73458787879
2000-04-24,35137.289000000004,32083.161054545453
2000-04-25,36167.134,32153.128221212122
2000-04-26,35261.74545454545,32125.868160606064
2000-04-27,32170.646999999997,32062.29142727273
2000-04-28,27188.553999999996,31849.112593939397
