Date,exports_usd,imports_usd,exports_usd_MA30,imports_usd_MA30
2000-01-18,1155270.66,1208689.46,,
2000-01-19,1206552.71,1130341.88,,
2000-01-20,1274928.77,958689.46,,
2000-01-21,1284900.28,975783.48,,
2000-01-22,1071225.07,1202279.2,,
2000-01-23,1195156.7,1105413.11,,
2000-01-24,1024928.77,1010683.76,,
2000-01-25,1119658.12,1015669.52,,
2000-01-26,1169515.67,1168803.42,,
2000-01-27,1311965.81,864672.36,,
2000-01-28,1248575.5,1037037.04,,
2000-01-29,1053418.8,945868.95,,
2000-01-30,897435.9,896723.65,,
2000-01-31,1030626.78,1075498.58,,
2000-02-01,1128917.38,1056980.06,,
2000-02-02,1221509.97,1063390.31,,
2000-02-03,1242165.24,1044871.79,,
2000-02-04,1141025.64,1051282.05,,
2000-02-05,1058404.56,891025.64,,
2000-02-06,1141737.89,1034900.28,,
2000-02-07,1257122.51,1110398.86,,
2000-02-08,1305555.56,1117521.37,,
2000-02-09,1272792.02,1026353.28,,
2000-02-10,1214387.46,1032763.53,,
2000-02-11,1046296.3,1113247.86,,
2000-02-12,1153133.9,1057692.31,,
2000-02-13,1266381.77,782051.28,,
2000-02-14,1027777.78,1129629.63,,
2000-02-15,967948.72,1068376.07,,
2000-02-16,1072649.57,1000712.25,1152065.527,1039245.0146666667
2000-02-17,1105413.11,959401.71,1150403.6086666666,1030935.4230000001
2000-02-18,900284.9,787037.04,1140194.6816666664,1019491.9283333333
2000-02-19,1096866.1,897435.9,1134259.2593333335,1017450.1429999999
2000-02-20,970085.47,1024928.77,1123765.4323333332,1019088.3193333333
2000-02-21,1111823.36,911680.91,1125118.7086666669,1009401.7096666667
2000-02-22,1033475.78,678062.68,1119729.3446666666,995156.6953333333
2000-02-23,925213.68,819800.57,1116405.5083333333,988793.9223333333
2000-02-24,935185.19,1034900.28,1110256.4106666667,989434.9476666667
2000-02-25,983618.23,1064814.81,1104059.8293333333,985968.6606666667
2000-02-26,1081908.83,1020655.27,1096391.2633333334,991168.0910000001
2000-02-27,1215811.97,1087606.84,1095299.1456666668,992853.751
2000-02-28,1138888.89,1032051.28,1098148.1486666666,995726.4953333333
2000-02-29,1103276.35,953703.7,1105009.497,997625.8303333333
2000-03-01,1133190.88,1081908.83,1108428.3003333334,997839.5053333334
2000-03-02,993589.74,882478.63,1103917.379,992022.791
2000-03-03,1196581.2,989316.24,1103086.42,989553.6553333334
2000-03-04,1331908.83,977207.98,1106077.8730000001,987298.1950000001
2000-03-05,1122507.12,920227.92,1105460.5890000002,982929.724
2000-03-06,1180911.68,804131.05,1109544.1596666668,980033.2376666667
2000-03-07,1260683.76,960826.21,1113509.022,977564.1020000001
2000-03-08,1171652.42,1078347.58,1110660.019,976495.726
2000-03-09,1110398.86,1068376.07,1104154.7956666667,974857.5493333334
2000-03-10,868233.62,1013532.76,1090669.5156666667,974430.1986666668
2000-03-11,980769.23,808404.56,1082882.2413333333,966951.5663333334
2000-03-12,1034188.03,904558.4,1082478.6323333334,959995.2509999999
2000-03-13,956552.71,999287.75,1075925.926,958048.4323333333
2000-03-14,896011.4,1052706.55,1063580.247,967070.2746666666
2000-03-15,1141737.89,964387.46,1067378.9173333333,961562.2023333333
2000-03-16,1030626.78,1035612.54,1069468.186,960470.0846666667
2000-03-17,1065527.07,963675.21,1069230.7693333335,959235.5166666667
2000-03-18,953703.7,1026353.28,1064173.7889999999,961467.2356666666
2000-03-19,1055555.56,951566.95,1069349.4776666665,966951.566
2000-03-20,1188034.19,1002136.75,1072388.4139999999,970441.5943333334
2000-03-21,1124643.87,990740.74,1077540.3606666666,969301.9933333334
2000-03-22,1027065.53,998575.5,1074715.0996666667,972198.4796666667
2000-03-23,1153846.15,1004273.5,1078727.4453333332,983072.1736666667
2000-03-24,1126068.38,1080484.33,1085422.602,991761.6323333334
2000-03-25,1192307.69,1115384.62,1093993.3520000002,994444.4436666667
