Date,fdi_inflows_usd,fdi_inflows_usd_MA30
2000-01-18,56282.05,
2000-01-19,55064.1,
2000-01-20,53397.44,
2000-01-21,53846.15,
2000-01-22,78846.15,
2000-01-23,76923.08,
2000-01-24,67051.28,
2000-01-25,67435.9,
2000-01-26,96346.15,
2000-01-27,82756.41,
2000-01-28,71666.67,
2000-01-29,45000.0,
2000-01-30,67371.79,
2000-01-31,71025.64,
2000-02-01,57115.38,
2000-02-02,62628.21,
2000-02-03,56794.87,
2000-02-04,54935.9,
2000-02-05,59102.56,
2000-02-06,72628.21,
2000-02-07,53461.54,
2000-02-08,62692.31,
2000-02-09,59230.77,
2000-02-10,69615.38,
2000-02-11,65769.23,
2000-02-12,54038.46,
2000-02-13,65192.31,
2000-02-14,52884.62,
2000-02-15,70705.13,
2000-02-16,64615.38,64147.43566666667
2000-02-17,55320.51,64115.384333333335
2000-02-18,52307.69,64023.504
2000-02-19,63397.44,64356.83733333333
2000-02-20,71410.26,64942.30766666667
2000-02-21,78012.82,64914.530000000006
2000-02-22,65256.41,64525.640999999996
2000-02-23,66794.87,64517.094000000005
2000-02-24,66089.74,64472.222
2000-02-25,65256.41,63435.897333333334
2000-02-26,74743.59,63168.80333333334
2000-02-27,55705.13,62636.752
2000-02-28,73269.23,63579.05966666667
2000-02-29,71025.64,63700.85466666667
2000-03-01,80897.44,64029.914666666664
2000-03-02,82564.1,64878.20533333334
2000-03-03,78846.15,65418.80333333334
2000-03-04,80000.0,66192.30766666666
2000-03-05,72115.38,66764.957
2000-03-06,56410.26,66675.21366666666
2000-03-07,56730.77,66145.299
2000-03-08,61923.08,66427.35033333334
2000-03-09,75897.44,66867.52133333332
2000-03-10,78269.23,67502.13666666666
2000-03-11,64935.9,67346.15400000001
2000-03-12,59615.38,67141.02566666667
2000-03-13,69166.67,67645.29933333333
2000-03-14,58076.92,67408.11966666667
2000-03-15,52820.51,67405.98266666666
2000-03-16,55320.51,66893.162
2000-03-17,61217.95,66779.91433333333
2000-03-18,73846.15,67397.43566666666
2000-03-19,73974.36,68119.658
2000-03-20,66730.77,68230.769
2000-03-21,75512.82,68367.52100000001
2000-03-22,67756.41,68025.64066666666
2000-03-23,71987.18,68249.99966666667
2000-03-24,84358.97,68835.46966666666
2000-03-25,62884.62,68728.63233333333
2000-03-26,77564.1,69138.88866666667
2000-03-27,78782.05,69273.504
2000-03-28,70961.54,69782.051
2000-03-29,83076.92,70108.974
2000-03-30,79102.56,70378.20466666667
2000-03-31,60320.51,69692.307
2000-04-01,53525.64,68724.35833333334
2000-04-02,62628.21,68183.76033333334
2000-04-03,71923.08,67914.52966666667
2000-04-04,67820.51,67771.36733333333
2000-04-05,83653.85,68679.48700000001
2000-04-06,63076.92,68891.02533333334
2000-04-07,76987.18,69393.162
2000-04-08,45512.82,68380.34133333333
2000-04-09,42307.69,67181.62333333334
2000-04-10,61923.08,67081.196
2000-04-11,71217.95,67467.94833333333
2000-04-12,75897.44,67692.30733333333
2000-04-13,54166.67,67561.96566666667
2000-04-14,54102.56,67604.70066666667
2000-04-15,53012.82,67527.77766666666
2000-04-16,38910.26,66784.188
2000-04-17,64871.79,66485.04266666666
2000-04-18,69166.67,66324.78633333332
2000-04-19,72115.38,66504.27333333333
2000-04-20,74166.67,66459.40166666666
2000-04-21,68076.92,66470.08533333334
2000-04-22,62307.69,66147.43566666667
2000-04-23,78076.92,65938.034
2000-04-24,78333.33,66452.991
2000-04-25,62179.49,65940.17066666666
2000-04-26,65769.23,65506.41
2000-04-27,75256.41,65649.57233333333
2000-04-28,63846.15,65008.54666666667
2000-04-29,71025.64,64739.316
2000-04-30,54615.38,64549.145000000004
2000-05-01,48141.03,64369.658
2000-05-02,83461.54,65064.10233333333
2000-05-03,65961.54,64865.384333333335
2000-05-04,41282.05,63980.769
2000-05-05,41474.36,62574.786
2000-05-06,78205.13,63079.05966666667
2000-05-07,77179.49,63085.469999999994
2000-05-08,56217.95,63442.30766666667
2000-05-09,67243.59,64273.50433333333
2000-05-10,63461.54,64324.78633333334
2000-05-11,66410.26,64164.530000000006
2000-05-12,72500.0,64051.282
2000-05-13,81730.77,64970.085333333336
2000-05-14,74038.46,65634.61533333334
2000-05-15,75448.72,66382.47866666668
2000-05-16,60064.1,67087.60666666667
2000-05-17,73141.03,67363.24799999999
2000-05-18,62243.59,67132.47866666668
2000-05-19,71153.85,67100.42766666667
2000-05-20,63589.74,66747.86333333334
2000-05-21,56025.64,66346.154
