Date,gdp_per_capita,gdp_per_capita_MA30
2000-01-18,31960.47,
2000-01-19,30213.32,
2000-01-20,29899.93,
2000-01-21,31075.14,
2000-01-22,30491.45,
2000-01-23,30785.26,
2000-01-24,30464.03,
2000-01-25,30949.79,
2000-01-26,30930.2,
2000-01-27,31208.33,
2000-01-28,31294.52,
2000-01-29,29727.56,
2000-01-30,30252.49,
2000-01-31,30824.43,
2000-02-01,31807.69,
2000-02-02,31357.19,
2000-02-03,30448.36,
2000-02-04,30699.07,
2000-02-05,30648.15,
2000-02-06,31690.17,
2000-02-07,31376.78,
2000-02-08,31149.57,
2000-02-09,31329.77,
2000-02-10,31204.42,
2000-02-11,31556.98,
2000-02-12,31114.32,
2000-02-13,30616.81,
2000-02-14,30945.87,
2000-02-15,30667.74,
2000-02-16,30385.68,30902.516333333333
2000-02-17,30362.18,30849.24
2000-02-18,30162.39,30847.542333333335
2000-02-19,30777.42,30876.792
2000-02-20,31184.83,30880.448333333337
2000-02-21,30726.5,30888.283333333333
2000-02-22,30146.72,30866.99866666667
2000-02-23,30264.25,30860.339333333333
2000-02-24,30965.46,30860.861666666668
2000-02-25,30781.34,30855.899666666668
2000-02-26,29915.6,30812.808666666668
2000-02-27,30248.58,30777.944
2000-02-28,31051.64,30822.08
2000-02-29,30228.99,30821.29666666667
2000-03-01,31764.6,30852.635666666665
2000-03-02,32042.74,30860.470666666668
2000-03-03,32101.5,30885.281
2000-03-04,31596.15,30923.540666666664
2000-03-05,30836.18,30928.111
2000-03-06,31196.58,30946.392
2000-03-07,31560.9,30942.083
2000-03-08,31466.88,30945.086333333336
2000-03-09,31047.72,30941.691333333332
2000-03-10,30111.47,30901.08133333333
2000-03-11,29582.62,30847.021333333334
2000-03-12,30087.96,30798.054000000004
2000-03-13,30080.13,30763.581000000002
2000-03-14,30138.89,30747.650333333335
2000-03-15,30742.17,30740.860333333334
2000-03-16,30832.26,30746.34433333333
2000-03-17,31028.13,30767.759333333335
2000-03-18,31361.11,30801.056999999997
2000-03-19,30687.32,30818.554666666663
2000-03-20,30342.59,30804.060333333335
2000-03-21,31878.21,30827.173
2000-03-22,31169.16,30841.928333333333
2000-03-23,31192.66,30876.793
2000-03-24,31224.0,30908.784666666666
2000-03-25,31431.62,30924.323333333337
2000-03-26,30577.64,30917.533333333333
2000-03-27,31353.28,30965.456
2000-03-28,30166.31,30962.713666666667
2000-03-29,29143.87,30899.121333333333
2000-03-30,30319.09,30902.124666666667
2000-03-31,29993.95,30843.103
2000-04-01,30158.48,30780.294333333335
2000-04-02,30550.21,30728.58466666667
2000-04-03,30577.64,30694.634333333335
2000-04-04,30785.26,30692.936999999998
