Date,interest_rate,exchange_rate,interest_rate_MA30,exchange_rate_MA30
2000-01-18,4.19,1.26,,
2000-01-19,5.57,1.29,,
2000-01-20,3.46,1.41,,
2000-01-21,4.54,1.46,,
2000-01-22,3.22,1.41,,
2000-01-23,4.63,1.3,,
2000-01-24,4.71,1.17,,
2000-01-25,6.11,1.33,,
2000-01-26,6.31,1.35,,
2000-01-27,4.87,1.33,,
2000-01-28,4.9,1.2,,
2000-01-29,6.49,1.29,,
2000-01-30,6.07,1.17,,
2000-01-31,4.75,1.22,,
2000-02-01,4.43,1.19,,
2000-02-02,4.87,1.15,,
2000-02-03,5.49,1.21,,
2000-02-04,4.7,1.24,,
2000-02-05,4.56,1.29,,
2000-02-06,5.3,1.19,,
2000-02-07,4.7,1.08,,
2000-02-08,4.61,1.29,,
2000-02-09,5.09,1.35,,
2000-02-10,5.79,1.33,,
2000-02-11,4.76,1.38,,
2000-02-12,4.29,1.35,,
2000-02-13,5.52,1.28,,
2000-02-14,5.01,1.2,,
2000-02-15,4.85,1.15,,
2000-02-16,4.04,1.15,4.927666666666667,1.2673333333333334
2000-02-17,4.5,1.31,4.938000000000001,1.269
2000-02-18,4.57,1.4,4.904666666666667,1.2726666666666666
2000-02-19,4.9,1.41,4.952666666666667,1.2726666666666666
2000-02-20,6.07,1.41,5.003666666666667,1.271
2000-02-21,6.0,1.29,5.096333333333334,1.267
2000-02-22,5.37,1.38,5.1209999999999996,1.2696666666666665
2000-02-23,3.96,1.37,5.096,1.2763333333333333
2000-02-24,4.3,1.32,5.035666666666667,1.2759999999999998
2000-02-25,4.79,1.27,4.984999999999999,1.2733333333333334
2000-02-26,5.15,1.29,4.994333333333333,1.2719999999999998
2000-02-27,4.85,1.18,4.992666666666667,1.2713333333333334
2000-02-28,5.64,1.2,4.964333333333333,1.2683333333333335
2000-02-29,5.51,1.39,4.945666666666667,1.2756666666666667
2000-03-01,4.93,1.44,4.951666666666667,1.2830000000000001
2000-03-02,4.54,1.51,4.955333333333333,1.2936666666666665
2000-03-03,4.3,1.24,4.936333333333334,1.2966666666666666
2000-03-04,4.16,1.36,4.8919999999999995,1.3016666666666665
2000-03-05,4.52,1.35,4.885999999999999,1.3053333333333335
2000-03-06,5.24,1.34,4.908666666666666,1.3069999999999997
2000-03-07,4.6,1.26,4.885333333333333,1.3093333333333335
2000-03-08,5.05,1.33,4.897,1.3176666666666668
2000-03-09,4.55,1.33,4.8950000000000005,1.319
2000-03-10,4.18,1.44,4.8646666666666665,1.3219999999999998
2000-03-11,4.79,1.3,4.831333333333333,1.3210000000000002
2000-03-12,5.18,1.37,4.845333333333333,1.3206666666666667
2000-03-13,4.71,1.3,4.859333333333334,1.319
2000-03-14,4.13,1.39,4.813,1.3226666666666667
2000-03-15,3.24,1.24,4.7540000000000004,1.324
2000-03-16,2.39,1.28,4.672,1.3283333333333334
2000-03-17,4.24,1.35,4.6786666666666665,1.335
2000-03-18,5.79,1.41,4.721666666666666,1.3383333333333334
2000-03-19,5.61,1.3,4.756333333333333,1.3350000000000002
2000-03-20,5.05,1.19,4.761333333333332,1.3276666666666666
2000-03-21,6.14,1.29,4.7636666666666665,1.3236666666666668
2000-03-22,5.29,1.34,4.739999999999999,1.3253333333333335
2000-03-23,3.93,1.42,4.691999999999999,1.3266666666666669
2000-03-24,4.79,1.45,4.719666666666667,1.3293333333333335
2000-03-25,5.77,1.23,4.768666666666666,1.3263333333333336
2000-03-26,4.72,1.31,4.766333333333334,1.3276666666666666
2000-03-27,5.13,1.35,4.765666666666666,1.3296666666666668
2000-03-28,4.12,1.47,4.741333333333333,1.3393333333333333
2000-03-29,5.98,1.27,4.752666666666666,1.3416666666666666
2000-03-30,5.49,1.24,4.752,1.3366666666666667
2000-03-31,5.26,1.24,4.763,1.3299999999999998
2000-04-01,4.64,1.43,4.766333333333334,1.3273333333333333
2000-04-02,4.69,1.33,4.779333333333333,1.3303333333333334
2000-04-03,3.44,1.4,4.755333333333334,1.3316666666666668
2000-04-04,4.33,1.25,4.748999999999999,1.3283333333333334
2000-04-05,3.84,1.3,4.702333333333333,1.3270000000000002
2000-04-06,5.37,1.25,4.728,1.3266666666666667
2000-04-07,5.76,1.23,4.751666666666667,1.3233333333333335
2000-04-08,5.41,1.23,4.780333333333333,1.32
2000-04-09,5.35,1.21,4.819333333333334,1.3123333333333334
2000-04-10,6.15,1.35,4.8646666666666665,1.314
2000-04-11,6.2,1.25,4.898666666666667,1.31
2000-04-12,4.38,1.34,4.887666666666666,1.3113333333333332
2000-04-13,2.99,1.43,4.849666666666667,1.3126666666666664
2000-04-14,5.02,1.28,4.909000000000001,1.314
2000-04-15,5.02,1.23,4.996666666666667,1.3123333333333336
2000-04-16,4.89,1.31,5.0183333333333335,1.311
2000-04-17,4.61,1.32,4.979,1.308
2000-04-18,5.84,1.45,4.986666666666666,1.313
2000-04-19,5.12,1.35,4.989000000000001,1.3183333333333336
2000-04-20,4.23,1.35,4.925333333333333,1.3203333333333334
2000-04-21,5.09,1.18,4.918666666666667,1.315
2000-04-22,4.69,1.36,4.944,1.313
2000-04-23,4.22,1.11,4.925,1.3016666666666667
2000-04-24,4.3,1.38,4.876,1.3066666666666664
2000-04-25,4.0,1.37,4.852,1.3086666666666669
2000-04-26,4.54,1.3,4.832333333333334,1.307
2000-04-27,3.66,1.33,4.816999999999999,1.3023333333333333
2000-04-28,3.99,1.37,4.750666666666667,1.3056666666666668
2000-04-29,6.88,1.47,4.797,1.3133333333333332
2000-04-30,4.39,1.49,4.768000000000001,1.3216666666666668
2000-05-01,4.29,1.33,4.756333333333333,1.3183333333333336
2000-05-02,4.67,1.22,4.7556666666666665,1.3146666666666667
2000-05-03,3.9,1.31,4.771,1.3116666666666668
2000-05-04,3.4,1.35,4.74,1.315
2000-05-05,4.62,1.49,4.766000000000001,1.3213333333333332
2000-05-06,5.46,1.45,4.769,1.328
2000-05-07,5.57,1.24,4.762666666666666,1.3283333333333331
2000-05-08,5.37,1.25,4.761333333333334,1.329
2000-05-09,3.69,1.3,4.706,1.332
2000-05-10,3.51,1.18,4.617999999999999,1.3263333333333334
2000-05-11,4.26,1.43,4.553333333333333,1.3323333333333334
2000-05-12,5.22,1.44,4.581333333333333,1.3356666666666668
2000-05-13,5.25,1.38,4.656666666666666,1.334
2000-05-14,5.93,1.21,4.686999999999999,1.3316666666666668
2000-05-15,4.94,1.08,4.684333333333333,1.3266666666666667
2000-05-16,4.09,1.31,4.657666666666667,1.3266666666666669
2000-05-17,5.4,1.34,4.684,1.3273333333333333
2000-05-18,6.18,1.28,4.695333333333334,1.3216666666666665
2000-05-19,4.12,1.43,4.662,1.3243333333333331
2000-05-20,4.85,1.36,4.682666666666667,1.3246666666666667
2000-05-21,6.02,1.42,4.713666666666667,1.3326666666666669
2000-05-22,5.08,1.38,4.7266666666666675,1.3333333333333333
2000-05-23,4.96,1.35,4.751333333333334,1.3413333333333333
2000-05-24,3.68,1.34,4.730666666666666,1.34
2000-05-25,5.06,1.37,4.766,1.3399999999999999
2000-05-26,5.13,1.45,4.785666666666667,1.345
2000-05-27,5.17,1.33,4.836,1.345
2000-05-28,5.07,1.31,4.872,1.343
2000-05-29,4.15,1.42,4.781000000000001,1.3413333333333335
2000-05-30,2.78,1.26,4.727333333333333,1.3336666666666666
2000-05-31,4.54,1.33,4.735666666666666,1.3336666666666666
2000-06-01,5.14,1.33,4.751333333333334,1.3373333333333333
2000-06-02,6.17,1.42,4.827,1.341
2000-06-03,5.29,1.47,4.89,1.345
2000-06-04,5.66,1.28,4.924666666666666,1.338
2000-06-05,6.13,1.37,4.947000000000001,1.3353333333333333
2000-06-06,4.43,1.33,4.909,1.3383333333333336
