Date,population_million,urbanization_pct,population_million_MA30,urbanization_pct_MA30
2000-01-18,40.81,53.14,,
2000-01-19,41.43,52.5,,
2000-01-20,41.09,50.68,,
2000-01-21,41.02,54.35,,
2000-01-22,41.27,54.56,,
2000-01-23,41.39,53.03,,
2000-01-24,41.22,55.36,,
2000-01-25,40.79,48.76,,
2000-01-26,41.32,55.43,,
2000-01-27,41.29,53.65,,
2000-01-28,41.39,53.84,,
2000-01-29,41.12,55.07,,
2000-01-30,41.0,55.48,,
2000-01-31,41.39,51.29,,
2000-02-01,40.91,53.02,,
2000-02-02,40.9,55.0,,
2000-02-03,41.34,57.39,,
2000-02-04,41.19,57.31,,
2000-02-05,41.26,55.0,,
2000-02-06,41.36,57.02,,
2000-02-07,41.48,57.77,,
2000-02-08,41.38,54.5,,
2000-02-09,40.85,58.18,,
2000-02-10,41.46,56.71,,
2000-02-11,41.21,53.27,,
2000-02-12,41.39,53.15,,
2000-02-13,41.27,55.38,,
2000-02-14,41.22,56.3,,
2000-02-15,41.17,56.13,,
2000-02-16,41.32,55.72,41.208,54.633
2000-02-17,41.0,57.48,41.214333333333336,54.77766666666666
2000-02-18,40.91,53.58,41.197,54.81366666666666
2000-02-19,41.22,52.83,41.20133333333333,54.88533333333334
2000-02-20,40.52,49.84,41.18466666666667,54.735
2000-02-21,40.97,51.85,41.17466666666666,54.644666666666666
2000-02-22,41.09,55.21,41.16466666666667,54.717333333333336
2000-02-23,40.97,55.55,41.156333333333336,54.72366666666666
2000-02-24,41.31,54.64,41.17366666666667,54.919666666666664
2000-02-25,41.09,52.45,41.166000000000004,54.82033333333334
2000-02-26,40.95,52.91,41.154666666666664,54.79566666666666
2000-02-27,40.79,55.84,41.13466666666667,54.86233333333334
2000-02-28,41.32,55.79,41.141333333333336,54.88633333333334
2000-02-29,41.56,55.55,41.16,54.88866666666667
2000-03-01,41.0,55.96,41.147000000000006,55.044333333333334
2000-03-02,41.29,54.71,41.159666666666666,55.10066666666667
2000-03-03,41.17,55.91,41.168666666666674,55.13099999999999
2000-03-04,41.29,54.68,41.167,55.04066666666667
2000-03-05,40.97,52.16,41.15966666666667,54.86900000000001
2000-03-06,40.93,53.39,41.148666666666664,54.815333333333335
2000-03-07,41.43,55.15,41.150999999999996,54.753
2000-03-08,41.63,51.96,41.156,54.559333333333335
2000-03-09,41.26,52.79,41.15200000000001,54.50233333333333
2000-03-10,40.71,52.86,41.147333333333336,54.325
2000-03-11,41.0,52.97,41.132,54.20033333333333
2000-03-12,40.71,51.36,41.115333333333325,54.13666666666667
2000-03-13,41.17,55.41,41.108,54.211999999999996
2000-03-14,41.07,54.06,41.10133333333333,54.168000000000006
2000-03-15,41.03,51.17,41.095,53.99699999999999
2000-03-16,40.78,54.26,41.082,53.934666666666665
2000-03-17,41.03,53.96,41.07233333333333,53.876
2000-03-18,41.07,52.66,41.074666666666666,53.715333333333334
2000-03-19,40.81,54.74,41.07133333333333,53.754000000000005
2000-03-20,41.27,57.09,41.073,53.895999999999994
2000-03-21,41.36,56.86,41.101,54.13
2000-03-22,41.26,56.91,41.110666666666674,54.29866666666667
2000-03-23,41.7,51.46,41.131,54.17366666666667
2000-03-24,41.51,55.77,41.149,54.181000000000004
2000-03-25,41.15,58.54,41.14366666666667,54.311
2000-03-26,41.21,55.38,41.147666666666666,54.40866666666667
2000-03-27,41.32,55.91,41.16,54.50866666666666
2000-03-28,41.26,55.89,41.175666666666665,54.51033333333333
2000-03-29,41.0,57.1,41.16499999999999,54.553999999999995
2000-03-30,41.12,56.18,41.150333333333336,54.575
2000-03-31,41.14,54.57,41.154999999999994,54.528666666666666
2000-04-01,41.19,55.27,41.151666666666664,54.54733333333333
2000-04-02,41.34,51.27,41.157333333333334,54.39266666666667
2000-04-03,41.24,52.21,41.15566666666667,54.31033333333333
2000-04-04,41.17,55.44,41.16233333333333,54.419666666666664
2000-04-05,41.1,55.72,41.168000000000006,54.49733333333334
2000-04-06,41.48,51.05,41.16966666666667,54.36066666666667
2000-04-07,41.29,53.75,41.15833333333333,54.42033333333333
2000-04-08,41.26,53.48,41.15833333333333,54.443333333333335
2000-04-09,41.6,52.52,41.187999999999995,54.432
2000-04-10,41.55,55.36,41.206333333333326,54.51166666666667
2000-04-11,40.76,54.37,41.208,54.611999999999995
2000-04-12,41.29,55.31,41.212,54.608666666666664
2000-04-13,41.03,53.15,41.210666666666675,54.57833333333333
2000-04-14,41.65,56.45,41.231333333333325,54.754333333333335
2000-04-15,41.65,57.17,41.26033333333333,54.85133333333333
2000-04-16,41.97,56.08,41.291666666666664,54.922000000000004
2000-04-17,41.34,57.0,41.300666666666665,55.06666666666667
2000-04-18,41.34,57.22,41.318333333333335,55.14933333333333
2000-04-19,41.38,55.92,41.322,55.11033333333333
2000-04-20,40.69,55.07,41.29966666666667,55.050666666666665
2000-04-21,41.15,54.28,41.296,54.963
2000-04-22,41.36,55.79,41.284666666666666,55.10733333333334
2000-04-23,41.51,54.61,41.284666666666666,55.068666666666665
2000-04-24,41.38,54.18,41.29233333333333,54.92333333333333
2000-04-25,40.66,54.5,41.274,54.894
2000-04-26,40.88,53.12,41.25933333333334,54.80100000000001
2000-04-27,41.14,53.74,41.25533333333333,54.72933333333333
2000-04-28,40.71,54.74,41.24566666666667,54.650666666666666
2000-04-29,40.79,51.31,41.23466666666666,54.48833333333334
2000-04-30,40.81,54.08,41.22366666666667,54.472
2000-05-01,40.76,51.65,41.20933333333333,54.351333333333336
2000-05-02,41.17,53.14,41.20366666666666,54.413666666666664
2000-05-03,41.46,53.55,41.211,54.458333333333336
2000-05-04,41.12,54.71,41.20933333333333,54.434
2000-05-05,41.02,55.15,41.20666666666666,54.415
2000-05-06,41.29,53.68,41.20033333333333,54.50266666666666
2000-05-07,40.91,55.56,41.187666666666665,54.563
2000-05-08,41.15,55.43,41.184,54.628
2000-05-09,40.79,53.24,41.157000000000004,54.652
2000-05-10,40.79,58.74,41.13166666666667,54.76466666666666
2000-05-11,40.73,57.51,41.13066666666667,54.86933333333333
2000-05-12,41.21,55.36,41.128,54.871
2000-05-13,41.27,56.08,41.135999999999996,54.968666666666664
2000-05-14,41.1,53.36,41.117666666666665,54.86566666666667
2000-05-15,41.44,54.03,41.11066666666667,54.761
2000-05-16,41.5,53.94,41.095,54.68966666666667
2000-05-17,41.39,57.55,41.09666666666667,54.708
2000-05-18,40.69,52.86,41.075,54.562666666666665
2000-05-19,40.93,53.7,41.059999999999995,54.48866666666667
2000-05-20,41.5,53.63,41.086999999999996,54.44066666666666
2000-05-21,41.19,55.74,41.08833333333334,54.48933333333333
2000-05-22,40.85,58.5,41.07133333333333,54.57966666666666
2000-05-23,41.09,53.8,41.05733333333333,54.552666666666674
2000-05-24,40.78,54.11,41.037333333333336,54.550333333333334
2000-05-25,41.26,58.4,41.05733333333333,54.68033333333334
2000-05-26,41.0,60.21,41.06133333333334,54.916666666666664
2000-05-27,41.03,59.67,41.05766666666667,55.114333333333335
2000-05-28,41.24,58.09,41.07533333333333,55.226000000000006
2000-05-29,41.1,58.35,41.08566666666666,55.46066666666666
2000-05-30,41.24,55.48,41.1,55.507333333333335
2000-05-31,41.14,58.9,41.11266666666667,55.748999999999995
2000-06-01,41.09,56.62,41.11,55.865
2000-06-02,41.31,55.94,41.105000000000004,55.94466666666667
