Date,poverty_rate,poverty_rate_MA30
2000-01-18,23.8,
2000-01-19,24.54,
2000-01-20,25.14,
2000-01-21,25.62,
2000-01-22,21.35,
2000-01-23,22.37,
2000-01-24,26.29,
2000-01-25,25.66,
2000-01-26,23.71,
2000-01-27,24.36,
2000-01-28,24.89,
2000-01-29,24.43,
2000-01-30,23.7,
2000-01-31,23.06,
2000-02-01,23.42,
2000-02-02,26.74,
2000-02-03,25.5,
2000-02-04,25.57,
2000-02-05,27.34,
2000-02-06,23.32,
2000-02-07,25.81,
2000-02-08,22.63,
2000-02-09,24.72,
2000-02-10,25.83,
2000-02-11,26.98,
2000-02-12,25.14,
2000-02-13,23.84,
2000-02-14,24.83,
2000-02-15,23.31,
2000-02-16,27.69,24.71966666666667
2000-02-17,27.44,24.841
2000-02-18,24.15,24.827999999999996
2000-02-19,26.86,24.88533333333333
2000-02-20,27.61,24.951666666666664
2000-02-21,26.17,25.112333333333332
2000-02-22,23.26,25.142
2000-02-23,22.36,25.011
2000-02-24,23.77,24.948
2000-02-25,24.33,24.968666666666664
2000-02-26,25.15,24.994999999999997
2000-02-27,27.06,25.067333333333334
2000-02-28,28.26,25.195
2000-02-29,24.54,25.223
2000-03-01,25.87,25.316666666666666
2000-03-02,23.72,25.326666666666664
2000-03-03,22.86,25.197333333333333
2000-03-04,24.68,25.169999999999998
2000-03-05,27.23,25.22533333333333
2000-03-06,24.02,25.114666666666665
2000-03-07,25.49,25.186999999999998
2000-03-08,26.69,25.216333333333335
2000-03-09,24.18,25.267999999999997
2000-03-10,26.6,25.330666666666666
2000-03-11,27.04,25.371
2000-03-12,24.49,25.288
2000-03-13,26.25,25.325
2000-03-14,27.14,25.435
2000-03-15,26.28,25.483333333333334
2000-03-16,25.95,25.57133333333333
2000-03-17,23.17,25.420666666666666
2000-03-18,25.17,25.345000000000002
2000-03-19,28.73,25.497666666666667
2000-03-20,30.86,25.631000000000004
2000-03-21,28.45,25.659
2000-03-22,28.97,25.752333333333333
2000-03-23,25.81,25.837333333333333
2000-03-24,25.27,25.93433333333333
2000-03-25,23.25,25.916999999999998
2000-03-26,25.4,25.95266666666667
2000-03-27,24.65,25.936
2000-03-28,28.37,25.979666666666667
2000-03-29,27.17,25.94333333333333
2000-03-30,24.48,25.941333333333333
2000-03-31,26.71,25.969333333333335
2000-04-01,26.58,26.064666666666668
2000-04-02,25.36,26.148
2000-04-03,24.43,26.139666666666667
2000-04-04,29.24,26.206666666666667
2000-04-05,26.6,26.29266666666667
2000-04-06,21.48,26.159
2000-04-07,21.38,25.981999999999996
2000-04-08,24.18,25.982000000000003
2000-04-09,24.59,25.915000000000003
2000-04-10,25.23,25.854666666666667
2000-04-11,25.42,25.88566666666667
2000-04-12,25.95,25.875666666666667
2000-04-13,24.73,25.795333333333335
2000-04-14,26.25,25.79433333333333
2000-04-15,26.13,25.800333333333334
2000-04-16,27.7,25.95133333333333
2000-04-17,26.48,25.995
2000-04-18,25.59,25.89033333333333
2000-04-19,24.12,25.665666666666663
2000-04-20,23.85,25.512333333333334
2000-04-21,25.56,25.398666666666667
2000-04-22,25.55,25.389999999999997
2000-04-23,26.11,25.418
2000-04-24,22.13,25.380666666666666
2000-04-25,25.03,25.368333333333332
2000-04-26,25.67,25.402333333333335
2000-04-27,25.15,25.295
2000-04-28,23.66,25.178
2000-04-29,29.16,25.334
2000-04-30,25.82,25.304333333333332
2000-05-01,25.09,25.254666666666665
2000-05-02,25.17,25.248333333333335
2000-05-03,24.94,25.265333333333334
2000-05-04,27.77,25.216333333333335
2000-05-05,27.7,25.252999999999997
2000-05-06,27.75,25.462
2000-05-07,26.23,25.62366666666667
2000-05-08,24.11,25.621333333333332
2000-05-09,22.47,25.550666666666665
2000-05-10,22.75,25.468000000000004
2000-05-11,22.6,25.374000000000002
2000-05-12,27.43,25.423333333333336
2000-05-13,27.25,25.507333333333335
2000-05-14,26.08,25.50166666666667
2000-05-15,24.16,25.436
2000-05-16,26.01,25.379666666666665
2000-05-17,23.35,25.275333333333332
2000-05-18,26.54,25.307000000000002
2000-05-19,24.91,25.333333333333332
2000-05-20,23.43,25.319333333333336
2000-05-21,22.98,25.233333333333334
2000-05-22,26.72,25.272333333333336
2000-05-23,29.56,25.387333333333334
2000-05-24,28.28,25.592333333333332
2000-05-25,27.4,25.671333333333333
2000-05-26,28.03,25.75
2000-05-27,24.72,25.735666666666663
2000-05-28,22.72,25.704333333333334
2000-05-29,23.58,25.518333333333334
2000-05-30,23.29,25.434
2000-05-31,25.66,25.452999999999996
2000-06-01,26.17,25.486333333333334
2000-06-02,23.53,25.43933333333333
2000-06-03,25.41,25.360666666666663
2000-06-04,23.84,25.232000000000003
2000-06-05,25.06,25.142333333333333
2000-06-06,22.78,25.027333333333335
2000-06-07,25.0,25.057000000000002
2000-06-08,24.67,25.130333333333333
2000-06-09,24.33,25.183
2000-06-10,25.31,25.27333333333333
2000-06-11,28.68,25.315
2000-06-12,28.29,25.349666666666668
2000-06-13,22.44,25.22833333333333
2000-06-14,27.43,25.337333333333333
2000-06-15,25.54,25.321666666666665
2000-06-16,26.96,25.442
2000-06-17,25.62,25.411333333333335
2000-06-18,25.98,25.447000000000003
2000-06-19,26.9,25.562666666666665
2000-06-20,26.56,25.682
2000-06-21,25.74,25.649333333333335
2000-06-22,26.5,25.54733333333333
2000-06-23,26.83,25.499000000000002
2000-06-24,24.72,25.40966666666667
2000-06-25,25.06,25.310666666666666
2000-06-26,26.87,25.382333333333335
2000-06-27,24.18,25.431
2000-06-28,22.62,25.399
2000-06-29,22.82,25.383333333333333
2000-06-30,24.7,25.351333333333336
2000-07-01,25.93,25.34333333333333
2000-07-02,26.47,25.441333333333333
2000-07-03,27.13,25.49866666666667
2000-07-04,26.06,25.572666666666667
2000-07-05,25.17,25.576333333333334
2000-07-06,29.06,25.785666666666664
2000-07-07,27.34,25.863666666666667
2000-07-08,25.93,25.905666666666665
2000-07-09,22.08,25.830666666666666
2000-07-10,27.15,25.892
2000-07-11,26.5,25.81933333333333
2000-07-12,22.82,25.637
2000-07-13,25.54,25.740333333333336
2000-07-14,23.37,25.605
2000-07-15,23.46,25.535666666666668
2000-07-16,27.56,25.555666666666664
2000-07-17,23.64,25.489666666666665
2000-07-18,22.28,25.366333333333333
2000-07-19,23.81,25.263333333333332
2000-07-20,24.21,25.185000000000002
2000-07-21,24.79,25.153333333333332
2000-07-22,26.46,25.152
2000-07-23,22.15,24.996
2000-07-24,21.43,24.88633333333333
2000-07-25,23.91,24.848000000000003
2000-07-26,23.2,24.725666666666665
2000-07-27,20.72,24.610333333333333
2000-07-28,20.3,24.533
2000-07-29,26.73,24.663333333333334
2000-07-30,27.46,24.755333333333333
2000-07-31,26.34,24.769000000000002
2000-08-01,27.02,24.787333333333333
2000-08-02,23.47,24.665333333333333
2000-08-03,22.17,24.535666666666668
2000-08-04,26.22,24.570666666666668
2000-08-05,23.23,24.37633333333333
2000-08-06,22.23,24.206
2000-08-07,23.23,24.116
2000-08-08,24.7,24.203333333333333
2000-08-09,23.38,24.07766666666667
2000-08-10,24.77,24.02
2000-08-11,28.19,24.198999999999998
2000-08-12,25.66,24.203
2000-08-13,24.6,24.244000000000003
2000-08-14,22.38,24.208000000000002
2000-08-15,27.14,24.194000000000003
2000-08-16,25.75,24.264333333333337
2000-08-17,25.85,24.383333333333333
2000-08-18,29.8,24.583000000000002
2000-08-19,28.17,24.714999999999996
2000-08-20,26.52,24.772666666666666
2000-08-21,26.73,24.781666666666663
2000-08-22,29.34,25.021333333333335
2000-08-23,29.51,25.290666666666667
2000-08-24,26.97,25.392666666666667
2000-08-25,24.56,25.438
2000-08-26,23.37,25.526333333333334
2000-08-27,24.01,25.65
2000-08-28,24.6,25.579
2000-08-29,26.8,25.557000000000002
2000-08-30,26.81,25.572666666666667
2000-08-31,23.04,25.439999999999998
2000-09-01,25.32,25.50166666666667
2000-09-02,25.17,25.601666666666667
2000-09-03,21.96,25.459666666666667
2000-09-04,24.89,25.515
2000-09-05,24.9,25.604
2000-09-06,24.95,25.661333333333335
2000-09-07,23.93,25.635666666666665
2000-09-08,26.14,25.727666666666664
2000-09-09,23.39,25.68166666666667
2000-09-10,25.33,25.586333333333336
2000-09-11,25.16,25.569666666666667
2000-09-12,28.23,25.690666666666665
2000-09-13,28.08,25.880666666666666
2000-09-14,27.31,25.88633333333333
2000-09-15,25.73,25.885666666666665
2000-09-16,27.52,25.94133333333333
2000-09-17,26.55,25.833000000000002
2000-09-18,25.25,25.735666666666667
2000-09-19,27.88,25.781000000000002
2000-09-20,24.34,25.701333333333334
2000-09-21,22.36,25.468666666666664
2000-09-22,21.65,25.206666666666667
2000-09-23,23.85,25.102666666666664
2000-09-24,25.22,25.124666666666666
2000-09-25,22.74,25.103666666666665
2000-09-26,24.25,25.111666666666668
2000-09-27,28.23,25.232666666666667
2000-09-28,27.79,25.265666666666664
2000-09-29,25.46,25.220666666666666
2000-09-30,26.72,25.343333333333337
2000-10-01,24.76,25.324666666666666
2000-10-02,22.82,25.246333333333332
2000-10-03,26.07,25.383333333333333
2000-10-04,25.83,25.41466666666667
2000-10-05,25.22,25.425333333333334
2000-10-06,26.05,25.462
2000-10-07,24.97,25.49666666666667
2000-10-08,22.86,25.38733333333333
2000-10-09,23.83,25.401999999999997
2000-10-10,23.51,25.341333333333335
2000-10-11,22.31,25.246333333333332
2000-10-12,23.85,25.10033333333333
2000-10-13,23.52,24.948333333333334
2000-10-14,23.22,24.812
2000-10-15,27.99,24.887333333333334
2000-10-16,26.11,24.840333333333334
2000-10-17,24.91,24.785666666666664
2000-10-18,29.85,24.939
2000-10-19,23.51,24.793333333333333
2000-10-20,25.54,24.833333333333332
2000-10-21,24.83,24.915666666666667
2000-10-22,23.07,24.963
2000-10-23,25.44,25.016
2000-10-24,24.59,24.995
2000-10-25,23.05,25.005333333333333
2000-10-26,21.83,24.924666666666667
2000-10-27,27.06,24.885666666666665
2000-10-28,27.28,24.86866666666667
2000-10-29,26.31,24.897
2000-10-30,26.68,24.895666666666667
2000-10-31,26.19,24.94333333333333
2000-11-01,24.27,24.991666666666667
2000-11-02,23.93,24.920333333333335
2000-11-03,26.45,24.940999999999995
2000-11-04,24.26,24.909
2000-11-05,23.94,24.838666666666665
2000-11-06,25.62,24.860333333333337
2000-11-07,25.67,24.954
2000-11-08,25.58,25.012333333333334
2000-11-09,25.26,25.070666666666668
2000-11-10,27.15,25.231999999999996
2000-11-11,26.2,25.310333333333336
2000-11-12,23.74,25.317666666666664
2000-11-13,24.98,25.376333333333335
2000-11-14,28.28,25.386000000000003
2000-11-15,24.75,25.340666666666667
2000-11-16,23.6,25.297000000000004
2000-11-17,25.51,25.152333333333335
2000-11-18,24.4,25.182000000000002
2000-11-19,24.91,25.160999999999998
2000-11-20,27.42,25.247333333333337
2000-11-21,26.94,25.37633333333333
2000-11-22,26.89,25.424666666666667
2000-11-23,23.88,25.401
2000-11-24,22.63,25.387
2000-11-25,22.86,25.421333333333333
2000-11-26,25.49,25.368999999999996
2000-11-27,25.76,25.31833333333333
2000-11-28,22.95,25.206333333333337
2000-11-29,25.92,25.180999999999997
2000-11-30,24.72,25.132
2000-12-01,24.51,25.14
2000-12-02,22.13,25.08
2000-12-03,22.09,24.93466666666667
2000-12-04,25.68,24.982000000000003
2000-12-05,28.1,25.12066666666667
2000-12-06,27.76,25.192
2000-12-07,23.95,25.134666666666668
2000-12-08,19.66,24.937333333333335
2000-12-09,24.54,24.913333333333334
2000-12-10,22.71,24.765333333333334
2000-12-11,24.1,24.695333333333334
2000-12-12,24.69,24.726999999999997
2000-12-13,25.27,24.736666666666665
2000-12-14,25.32,24.637999999999998
2000-12-15,24.83,24.640666666666668
2001-01-18,23.86,24.649333333333335
2001-01-19,21.7,24.522333333333332
2001-01-20,23.69,24.49866666666667
2001-01-21,24.72,24.49233333333333
2001-01-22,26.03,24.446
2001-01-23,23.79,24.341
2001-01-24,24.1,24.248
2001-01-25,27.45,24.367
2001-01-26,27.03,24.51366666666667
2001-01-27,23.34,24.529666666666667
2001-01-28,21.6,24.4
2001-01-29,21.35,24.253
2001-01-30,27.02,24.388666666666666
2001-01-31,27.85,24.453
2001-02-01,26.29,24.505333333333333
2001-02-02,26.28,24.564333333333334
2001-02-03,25.25,24.668333333333333
2001-02-04,25.1,24.768666666666665
2001-02-05,28.68,24.86866666666667
2001-02-06,28.01,24.865666666666666
2001-02-07,27.32,24.851
2001-02-08,24.38,24.865333333333332
2001-02-09,22.49,24.959666666666667
2001-02-10,22.66,24.897000000000002
2001-02-11,25.88,25.002666666666666
2001-02-12,26.39,25.079
2001-02-13,26.14,25.127333333333336
2001-02-14,25.27,25.127333333333336
2001-02-15,25.26,25.125333333333334
2001-02-16,26.08,25.166999999999998
2001-02-17,22.55,25.12333333333333
2001-02-18,23.05,25.168333333333337
2001-02-19,26.89,25.275
2001-02-20,24.83,25.278666666666666
2001-02-21,21.52,25.12833333333333
2001-02-22,23.83,25.129666666666665
2001-02-23,29.54,25.310999999999996
2001-02-24,28.81,25.356333333333335
2001-02-25,25.87,25.317666666666664
2001-02-26,27.72,25.46366666666667
2001-02-27,27.21,25.650666666666666
2001-02-28,26.81,25.832666666666668
2001-03-01,29.7,25.922
2001-03-02,29.32,25.971
2001-03-03,24.09,25.89766666666667
2001-03-04,26.16,25.893666666666668
2001-03-05,26.09,25.921666666666667
2001-03-06,25.66,25.940333333333335
2001-03-07,21.63,25.705333333333332
2001-03-08,26.15,25.64333333333333
2001-03-09,24.72,25.55666666666667
2001-03-10,24.41,25.557666666666666
2001-03-11,28.28,25.750666666666667
2001-03-12,27.84,25.923333333333332
2001-03-13,22.44,25.808666666666667
2001-03-14,22.78,25.688333333333333
2001-03-15,22.69,25.57333333333333
2001-03-16,23.5,25.514333333333333
2001-03-17,23.95,25.470666666666666
2001-03-18,23.97,25.400333333333332
2001-03-19,27.37,25.561
2001-03-20,23.7,25.582666666666665
2001-03-21,25.08,25.522333333333332
2001-03-22,26.34,25.57266666666667
2001-03-23,24.82,25.682666666666666
2001-03-24,25.62,25.74233333333333
2001-03-25,26.61,25.64466666666667
2001-03-26,25.4,25.531
2001-03-27,25.9,25.532
2001-03-28,27.13,25.512333333333334
2001-03-29,29.22,25.579333333333334
2001-03-30,26.68,25.575
2001-03-31,25.03,25.419333333333334
2001-04-01,26.63,25.329666666666665
2001-04-02,26.24,25.401333333333334
2001-04-03,24.01,25.329666666666665
2001-04-04,28.04,25.394666666666662
2001-04-05,26.34,25.417333333333332
2001-04-06,28.01,25.63
2001-04-07,26.37,25.637333333333334
2001-04-08,24.7,25.636666666666667
2001-04-09,24.43,25.637333333333334
2001-04-10,27.84,25.622666666666667
2001-04-11,24.84,25.52266666666667
2001-04-12,23.95,25.572999999999997
2001-04-13,24.97,25.646
2001-04-14,23.66,25.678333333333335
