Date,fdi_inflows_usd,fdi_inflows_usd_MA30
2000-01-22,46178,
2000-01-22,46991,
2000-01-22,47805,
2000-01-22,48721,
2000-01-22,49534,
2000-01-22,50348,
2000-01-22,51162,
2000-01-22,52688,
2000-01-23,58689,
2000-01-23,54366,
2000-01-23,55994,
2000-01-23,57825,
2000-01-23,57011,
2000-01-23,60317,
2000-01-23,60317,
2000-01-23,59961,
2000-01-23,59554,
2000-01-23,59503,
2000-01-24,58181,
2000-01-24,59147,
2000-01-24,57164,
2000-01-24,58689,
2000-01-24,57672,
2000-01-24,56604,
2000-01-24,55536,
2000-01-24,54315,
2000-01-24,56095,
2000-01-24,54926,
2000-01-25,48161,
2000-01-25,48568,54734.066666666666
2000-01-25,49128,54832.4
2000-01-25,49636,54920.566666666666
2000-01-25,50196,55000.26666666667
2000-01-25,50755,55068.066666666666
2000-01-25,51925,55147.76666666667
2000-01-25,52535,55220.666666666664
2000-01-25,53095,55285.1
2000-01-25,53705,55319.0
2000-01-25,51365,55074.86666666667
2000-01-26,47246,54837.53333333333
2000-01-26,46788,54530.666666666664
2000-01-26,46330,54147.5
2000-01-26,47703,53837.23333333333
2000-01-26,45872,53355.73333333333
2000-01-26,44754,52836.96666666667
2000-01-26,45110,52341.933333333334
2000-01-26,44143,51828.23333333333
2000-01-26,45466,51360.333333333336
2000-01-26,44397,50900.86666666667
2000-01-27,42109,50332.933333333334
2000-01-27,41549,49812.433333333334
2000-01-27,41702,49246.2
2000-01-27,41905,48720.63333333333
2000-01-27,42872,48262.9
2000-01-27,43177,47850.933333333334
2000-01-27,43482,47489.833333333336
2000-01-27,43787,47079.566666666666
2000-01-27,42617,46669.26666666667
2000-01-27,42363,46476.0
2000-01-28,39922,46187.8
2000-01-28,40430,45897.86666666667
2000-01-28,40074,45579.13333333333
2000-01-28,40227,45246.833333333336
2000-01-28,40685,44911.166666666664
2000-01-28,40990,44546.666666666664
2000-01-28,41142,44166.9
2000-01-28,41346,43775.26666666667
2000-01-28,40532,43336.166666666664
2000-01-28,40786,42983.53333333333
2000-01-29,38955,42707.166666666664
2000-01-29,39566,42466.433333333334
2000-01-29,39362,42234.166666666664
2000-01-29,39159,41949.36666666667
2000-01-29,39718,41744.23333333333
2000-01-29,38752,41544.166666666664
2000-01-29,39057,41342.4
2000-01-29,41041,41239.0
2000-01-29,40023,41057.566666666666
2000-01-29,42058,40979.6
2000-01-30,47805,41169.46666666667
2000-01-30,49840,41445.833333333336
2000-01-30,44092,41525.5
2000-01-30,45822,41656.066666666666
2000-01-30,43075,41662.833333333336
2000-01-30,53196,41996.8
2000-01-30,51162,42252.8
2000-01-30,53298,42569.833333333336
2000-01-30,52179,42888.566666666666
2000-01-30,52332,43220.86666666667
2000-01-31,44906,43387.0
2000-01-31,43838,43500.6
2000-01-31,42770,43590.46666666667
2000-01-31,42770,43675.23333333333
2000-01-31,43736,43776.933333333334
2000-01-31,44703,43900.7
2000-01-31,46178,44068.566666666666
2000-01-31,48059,44292.333333333336
2000-01-31,49992,44607.666666666664
2000-01-31,51365,44960.3
2000-01-31,46178,45201.066666666666
2000-02-01,50399,45562.166666666664
2000-02-01,54519,46067.4
2000-02-01,48263,46370.86666666667
2000-02-01,53451,46828.63333333333
2000-02-01,52332,47281.3
2000-02-01,55027,47813.63333333333
2000-02-01,51365,48157.76666666667
2000-02-01,49128,48461.26666666667
2000-02-01,53858,48854.6
