Date,fdi_inflows_usd,fdi_inflows_usd_MA30
2000-01-19,16057.69,
2000-01-19,16655.98,
2000-01-19,17304.13,
2000-01-19,17902.42,
2000-01-19,18500.71,
2000-01-19,19049.15,
2000-01-19,19697.29,
2000-01-19,20893.87,
2000-01-20,30292.02,
2000-01-20,29743.59,
2000-01-20,29195.16,
2000-01-20,28571.94,
2000-01-20,27699.43,
2000-01-20,25081.91,
2000-01-20,25954.42,
2000-01-20,24209.4,
2000-01-20,23287.04,
2000-01-20,22090.46,
2000-01-20,26826.92,
2000-01-21,30092.59,
2000-01-21,28322.65,
2000-01-21,28920.94,
2000-01-21,29494.3,
2000-01-21,30566.24,
2000-01-21,31264.25,
2000-01-21,31164.53,
2000-01-21,30990.03,
2000-01-21,30690.88,
2000-01-21,30865.38,
2000-01-22,22863.25,25474.95233333333
2000-01-22,23162.39,25711.77566666667
2000-01-22,23710.83,25946.93733333333
2000-01-22,24284.19,26179.605999999996
2000-01-22,24857.55,26411.44366666667
2000-01-22,26029.2,26662.39333333333
2000-01-22,26602.56,26914.17366666667
2000-01-22,27175.93,27163.461666666666
2000-01-22,27749.29,27391.97566666667
2000-01-22,25430.91,27229.93866666667
2000-01-23,24483.62,27054.606333333337
2000-01-23,26153.85,26953.229333333333
2000-01-23,25630.34,26855.176
2000-01-23,25081.91,26767.925333333333
2000-01-23,23885.33,26728.03933333333
2000-01-23,22962.96,26628.324000000004
2000-01-23,23287.04,26597.578666666665
2000-01-23,22638.89,26575.973666666665
2000-01-23,22389.6,26585.945
2000-01-23,22564.1,26443.851000000002
2000-01-24,30192.31,26447.175
2000-01-24,30466.52,26518.637333333332
2000-01-24,30316.95,26565.171
2000-01-24,30067.66,26584.283
2000-01-24,29718.66,26556.030333333336
2000-01-24,29245.01,26488.722333333335
2000-01-24,28796.3,26409.781333333332
2000-01-24,28297.72,26320.037666666667
2000-01-24,27774.22,26222.81566666667
2000-01-24,27225.78,26101.495666666666
2000-01-24,26677.35,26228.632333333335
2000-01-25,25754.99,26315.052333333337
2000-01-25,26079.06,26393.993333333332
2000-01-25,26428.06,26465.45566666667
2000-01-25,26752.14,26528.608666666667
2000-01-25,27699.43,26584.283
2000-01-25,29020.66,26664.886333333332
2000-01-25,28347.58,26703.941333333332
2000-01-25,29519.23,26762.939333333332
2000-01-25,29843.3,26910.018999999997
2000-01-25,27126.07,26998.10066666667
2000-01-26,28472.22,27075.379666666668
2000-01-26,25655.27,27076.21066666667
2000-01-26,25779.91,27099.477333333332
2000-01-26,25954.42,27168.447
2000-01-26,26153.85,27274.809999999998
2000-01-26,26328.35,27376.186999999998
2000-01-26,26777.07,27514.126333333334
2000-01-26,27175.93,27673.670666666665
2000-01-26,27624.64,27842.355333333333
2000-01-26,28023.5,27770.061666666665
2000-01-27,31438.75,27802.46933333333
2000-01-27,31812.68,27852.327
2000-01-27,30541.31,27868.11533333333
2000-01-27,30990.03,27910.494333333332
2000-01-27,31613.25,27989.435666666664
2000-01-27,30840.46,28057.574333333334
2000-01-27,31264.25,28156.458666666666
2000-01-27,30167.38,28236.230666666663
2000-01-27,29519.23,28312.679000000004
2000-01-27,28871.08,28385.803333333333
2000-01-28,26328.35,28404.91533333333
2000-01-28,26029.2,28403.253333333334
2000-01-28,25854.7,28384.141333333333
2000-01-28,26079.06,28361.70533333333
2000-01-28,26527.78,28322.650333333335
2000-01-28,27400.28,28268.637666666666
2000-01-28,28073.36,28259.497
2000-01-28,28945.87,28240.385000000002
2000-01-28,29818.38,28239.554333333333
2000-01-28,26951.57,28233.737666666668
2000-01-29,29818.38,28278.609666666664
2000-01-29,31289.17,28466.406333333332
2000-01-29,30790.6,28633.429333333333
2000-01-29,30267.09,28777.185
2000-01-29,29344.73,28883.54766666667
2000-01-29,28896.01,28969.136333333336
2000-01-29,28447.29,29024.81033333333
2000-01-29,27998.58,29052.232000000004
2000-01-29,27524.93,29048.908333333333
2000-01-29,27126.07,29018.994000000002
2000-01-29,26727.21,28861.942666666666
2000-01-30,33158.83,28906.814333333332
2000-01-30,33183.76,28994.896
2000-01-30,33233.62,29069.682333333334
2000-01-30,33258.55,29124.52566666667
2000-01-30,33133.9,29200.97366666667
2000-01-30,32884.62,29254.986
2000-01-30,32610.4,29336.420000000002
2000-01-30,32361.11,29431.14933333334
2000-01-30,32086.89,29538.343
2000-01-30,31812.68,29721.154
2000-01-31,29444.44,29834.995333333336
2000-01-31,29893.16,29969.610666666664
2000-01-31,30441.6,30115.02866666667
2000-01-31,30990.03,30263.770333333334
2000-01-31,31463.68,30399.217
2000-01-31,32037.04,30531.33966666667
2000-01-31,32336.18,30644.35
2000-01-31,32635.33,30738.248333333337
2000-01-31,32934.47,30937.678333333337
2000-01-31,31737.89,31001.662000000004
2000-02-01,29170.23,30931.03066666667
2000-02-01,29145.3,30876.18733333333
2000-02-01,28871.08,30829.65366666667
2000-02-01,28596.87,30804.725
2000-02-01,28696.58,30798.07733333333
2000-02-01,28896.01,30813.034666666666
2000-02-01,29544.16,30864.554
2000-02-01,29918.09,30944.326
2000-02-01,30267.09,31049.026666666665
2000-02-01,30491.45,31174.501333333334
2000-02-02,30790.6,31095.560333333335
2000-02-02,31164.53,31028.25266666667
2000-02-02,31039.89,30955.128333333338
2000-02-02,30740.74,30871.201333333334
2000-02-02,30890.31,30796.414999999997
2000-02-02,30690.88,30723.29033333333
2000-02-02,31089.74,30672.601666666666
2000-02-02,31064.81,30629.391666666666
2000-02-02,30865.38,30588.674666666666
2000-02-02,30990.03,30561.253000000004
2000-02-03,33956.55,30711.656666666666
2000-02-03,34579.77,30867.877
2000-02-03,34679.49,31009.14
2000-02-03,34380.34,31122.150333333335
2000-02-03,33358.26,31185.303
2000-02-03,34056.27,31252.610666666664
2000-02-03,32236.47,31249.287
2000-02-03,31912.39,31225.189000000002
2000-02-03,31613.25,31181.14833333333
2000-02-03,31314.1,31167.021999999997
2000-02-03,32784.9,31287.511
2000-02-04,27998.58,31249.287000000004
2000-02-04,28547.01,31238.484666666664
2000-02-04,26976.5,31184.47233333333
2000-02-04,27475.07,31143.755333333334
2000-02-04,29095.44,31150.403
2000-02-04,32136.75,31236.822666666663
2000-02-04,31064.81,31275.04666666667
2000-02-04,33507.83,31383.071333333333
2000-02-04,29992.88,31366.45233333333
2000-02-04,32959.4,31438.745666666666
2000-02-05,27076.21,31302.46833333333
2000-02-05,27350.43,31179.48633333333
2000-02-05,27774.22,31080.602333333332
2000-02-05,28173.08,30990.028000000002
2000-02-05,28547.01,30918.565666666665
2000-02-05,28771.37,30841.286666666667
2000-02-05,28995.73,30772.317333333332
2000-02-05,29120.37,30714.150333333335
2000-02-05,28945.87,30646.011666666665
2000-02-05,28746.44,30472.341333333334
2000-02-06,26552.71,30204.772666666664
2000-02-06,26303.42,29925.570333333333
2000-02-06,26228.63,29653.846666666668
2000-02-06,26353.28,29420.347333333335
2000-02-06,26752.14,29176.876333333334
2000-02-06,26976.5,29001.544
2000-02-06,27250.71,28846.154666666665
2000-02-06,27674.5,28714.863
2000-02-06,28073.36,28606.838333333333
2000-02-06,28497.15,28463.913333333334
2000-02-07,26428.06,28411.56266666667
2000-02-07,26552.71,28345.086000000003
2000-02-07,26702.28,28335.945333333337
2000-02-07,26826.92,28314.340333333334
2000-02-07,26901.71,28241.216
2000-02-07,26976.5,28069.207666666665
2000-02-07,26976.5,27932.930666666663
2000-02-07,26901.71,27712.72666666667
2000-02-07,26826.92,27607.194666666666
2000-02-07,26702.28,27398.624
2000-02-08,27001.42,27396.131
2000-02-08,26777.07,27377.018999999997
2000-02-08,27674.5,27373.695
2000-02-08,27325.5,27345.442333333332
2000-02-08,26602.56,27280.627333333334
2000-02-08,26428.06,27202.517
2000-02-08,26253.56,27111.11133333333
2000-02-08,26203.7,27013.889
2000-02-08,26303.42,26925.807333333334
2000-02-08,26428.06,26848.528
2000-02-08,26552.71,26848.528000000002
2000-02-09,24109.69,26775.403666666665
2000-02-09,24932.34,26732.194
2000-02-09,25754.99,26712.251
2000-02-09,26552.71,26705.603333333333
2000-02-09,26976.5,26705.603333333333
2000-02-09,27400.28,26710.589
2000-02-09,27824.07,26715.574666666667
2000-02-09,28222.93,26720.560333333335
2000-02-09,28198.01,26710.588999999996
2000-02-09,27998.58,26762.93966666667
2000-02-10,26926.64,26775.404
2000-02-10,26228.63,26759.61566666667
2000-02-10,25381.05,26711.42
2000-02-10,24533.48,26632.479
2000-02-10,23835.47,26527.778000000002
2000-02-10,23386.75,26408.11966666667
2000-02-10,22962.96,26276.827999999998
2000-02-10,22763.53,26141.381666666668
2000-02-10,23187.32,26024.216333333334
2000-02-10,23586.18,25910.375
2000-02-11,31089.74,26054.130666666668
2000-02-11,30865.38,26160.493333333336
2000-02-11,30616.1,26270.18
2000-02-11,30366.81,26395.655000000002
2000-02-11,30117.52,26518.637
2000-02-11,29145.3,26615.028333333332
2000-02-11,28596.87,26694.800666666666
2000-02-11,28048.43,26752.967666666667
2000-02-11,27475.07,26787.868000000002
2000-02-11,29693.73,26892.568666666666
2000-02-12,32635.33,27176.756666666668
2000-02-12,32735.04,27436.846666666668
2000-02-12,32959.4,27676.993666666665
2000-02-12,32834.76,27886.395333333334
2000-02-12,32336.18,28065.051333333333
2000-02-12,32435.9,28232.905333333332
2000-02-12,32012.11,28372.506666666664
2000-02-12,31314.1,28475.545666666665
2000-02-12,32211.54,28609.33
2000-02-12,31787.75,28735.635666666665
2000-02-12,31563.39,28890.194
2000-02-13,31962.25,29081.314666666665
2000-02-13,31538.46,29286.56166666667
2000-02-13,31139.6,29506.76566666667
2000-02-13,30416.67,29726.139
2000-02-13,29618.95,29933.879
2000-02-13,28846.15,30129.985333333334
2000-02-13,28198.01,30311.134666666665
2000-02-13,27624.64,30459.04533333333
2000-02-13,27051.28,30574.548666666666
2000-02-13,26477.92,30420.821333333333
2000-02-14,22065.53,30127.493
2000-02-14,22489.32,29856.600333333332
2000-02-14,22888.18,29607.31266666666
2000-02-14,23710.83,29393.756333333335
2000-02-14,23287.04,29198.480999999996
2000-02-14,24458.69,29060.541666666668
2000-02-14,25904.56,28989.07933333333
2000-02-14,24084.76,28876.069
2000-02-14,24857.55,28714.863
2000-02-14,25306.27,28470.560999999998
2000-02-15,21417.38,28093.305666666667
2000-02-15,20868.95,27690.290666666664
2000-02-15,20320.51,27273.148999999998
2000-02-15,19697.29,26851.85266666667
2000-02-15,19772.08,26429.725333333332
2000-02-15,20345.44,26040.836333333336
2000-02-15,20794.16,25690.171666666665
2000-02-15,21242.88,25324.549666666666
2000-02-15,21666.67,24987.180333333334
2000-02-15,19946.58,24599.95333333333
2000-02-16,28222.93,24475.309333333335
2000-02-16,28023.5,24358.144000000004
2000-02-16,27500.0,24236.824
2000-02-16,26951.57,24121.320666666667
2000-02-16,26428.06,24014.957666666665
2000-02-16,25854.7,23915.242666666665
2000-02-16,24159.54,23780.627
2000-02-16,21990.74,23592.830333333335
2000-02-16,25256.41,23533.001333333334
2000-02-16,23087.61,23419.990999999998
2000-02-17,27325.5,23595.323333333337
2000-02-17,27275.64,23754.867333333335
2000-02-17,27275.64,23901.116
2000-02-17,27250.71,24019.112
2000-02-17,27400.28,24156.220000000005
2000-02-17,27475.07,24256.766
2000-02-17,27549.86,24311.60933333333
2000-02-17,27649.57,24430.436333333335
2000-02-17,27749.29,24526.827666666664
2000-02-17,27923.79,24614.07833333333
2000-02-17,28073.36,24835.944333333333
2000-02-18,27624.64,25061.134000000002
2000-02-18,27549.86,25302.112333333334
2000-02-18,27500.0,25562.202666666664
2000-02-18,27450.14,25818.138
2000-02-18,27699.43,26063.271
2000-02-18,27425.21,26284.306
2000-02-18,27325.5,26487.06
2000-02-18,27300.57,26674.856666666667
2000-02-18,27275.64,26919.158666666666
2000-02-18,27375.36,26890.906333333332
2000-02-19,32884.62,27052.94366666667
2000-02-19,32086.89,27205.84
2000-02-19,31264.25,27349.596
2000-02-19,30466.52,27484.211333333333
2000-02-19,30017.81,27622.98166666667
2000-02-19,29594.02,27804.131
2000-02-19,28696.58,28027.659
2000-02-19,28272.79,28128.205
2000-02-19,27824.07,28286.087
2000-02-19,29145.3,28346.747
2000-02-20,35053.42,28606.00633333333
2000-02-20,34754.27,28855.293999999998
2000-02-20,34953.7,29112.060333333335
2000-02-20,35153.13,29370.488666666664
2000-02-20,34853.99,29616.452666666668
2000-02-20,34579.77,29850.783
2000-02-20,34180.91,30068.494333333332
2000-02-20,33782.05,30269.586333333336
2000-02-20,35003.56,30505.578666666665
2000-02-20,33358.26,30681.742000000002
2000-02-21,34579.77,30913.57966666667
2000-02-21,35128.21,31166.191333333332
2000-02-21,35053.42,31417.972
2000-02-21,34928.77,31667.25966666667
2000-02-21,34829.06,31904.913999999997
2000-02-21,34754.27,32149.216
2000-02-21,34679.49,32394.349
2000-02-21,34629.63,32638.651
2000-02-21,34629.63,32883.784
2000-02-21,34679.49,33127.255
2000-02-22,25032.05,32865.50266666667
2000-02-22,25705.13,32652.777333333335
2000-02-22,26378.21,32489.909333333333
2000-02-22,27076.21,32376.898999999998
2000-02-22,28372.51,32322.055666666663
2000-02-22,29718.66,32326.210333333333
2000-02-22,31064.81,32405.15133333333
2000-02-22,31887.46,32525.640333333333
2000-02-22,32585.47,32684.353666666666
2000-02-22,33233.62,32820.631
2000-02-22,33906.7,32782.407
2000-02-23,31563.39,32676.04433333333
2000-02-23,31039.89,32545.583999999995
2000-02-23,30516.38,32391.02566666667
2000-02-23,29967.95,32228.157666666666
2000-02-23,29319.8,32052.825333333334
2000-02-23,28247.86,31855.056999999997
2000-02-23,27225.78,31636.514666666666
2000-02-23,26203.7,31343.185999999998
2000-02-23,25655.27,31086.419666666665
2000-02-23,25106.84,30770.655333333332
2000-02-24,29195.16,30572.887
2000-02-24,29394.59,30384.259333333335
2000-02-24,29618.95,30207.265333333333
2000-02-24,29818.38,30040.24266666667
2000-02-24,30042.74,29883.191666666666
2000-02-24,30341.88,29738.604666666666
2000-02-24,30790.6,29610.637
2000-02-24,31189.46,29495.964666666663
2000-02-24,31563.39,29392.094666666664
2000-02-24,31787.75,29617.284666666663
2000-02-25,29668.8,29749.407
2000-02-25,29569.09,29855.769666666667
2000-02-25,29469.37,29935.541666666668
2000-02-25,29369.66,29968.780000000002
2000-02-25,29269.94,29953.822666666663
2000-02-25,29145.3,29889.839
2000-02-25,29095.44,29796.771666666664
2000-02-25,29045.58,29678.775333333335
2000-02-25,29020.66,29538.343333333334
2000-02-25,29195.16,29381.292
2000-02-26,30466.52,29344.729666666666
2000-02-26,30292.02,29319.800666666666
2000-02-26,30366.81,29314.815
2000-02-26,30441.6,29330.603333333336
2000-02-26,30416.67,29367.165666666664
2000-02-26,30366.81,29437.797333333336
2000-02-26,30292.02,29540.005333333334
2000-02-26,30192.31,29672.959
2000-02-26,30042.74,29819.208
2000-02-26,29893.16,29978.751999999997
2000-02-26,29768.52,29997.864
2000-02-27,29344.73,29996.202
2000-02-27,29444.44,29990.385000000002
2000-02-27,29544.16,29981.244333333332
2000-02-27,29668.8,29968.779666666665
2000-02-27,29743.59,29948.836666666666
2000-02-27,29843.3,29917.260000000002
2000-02-27,29943.02,29875.712000000003
2000-02-27,30042.74,29825.023666666668
2000-02-27,30117.52,29769.34933333333
2000-02-27,30217.24,29787.630666666668
2000-02-28,31638.18,29856.600333333332
2000-02-28,31114.67,29911.44366666667
2000-02-28,30591.17,29952.160666666667
2000-02-28,30242.17,29984.568333333336
2000-02-28,29967.95,30011.989999999998
2000-02-28,29718.66,30032.764000000003
2000-02-28,29469.37,30046.890333333333
2000-02-28,29195.16,30052.707
2000-02-28,29145.3,30051.045
2000-02-28,29245.01,30010.327999999998
2000-02-29,24608.26,29820.869333333332
2000-02-29,26079.06,29677.944333333337
2000-02-29,27549.86,29581.553
2000-02-29,29020.66,29535.019333333337
2000-02-29,29818.38,29516.738333333335
2000-02-29,30566.24,29525.879
2000-02-29,31314.1,29563.272
2000-02-29,32037.04,29629.74866666667
2000-02-29,32361.11,29712.01366666667
2000-02-29,32111.82,29790.123666666666
2000-03-01,20544.87,29496.795
2000-03-01,20146.01,29186.84733333333
2000-03-01,20121.08,28872.744666666666
2000-03-01,20096.15,28553.656333333332
2000-03-01,20146.01,28233.737
2000-03-01,21616.81,27959.520666666667
2000-03-01,22339.74,27706.077999999998
2000-03-01,23062.68,27473.40933333333
2000-03-01,23810.54,27263.17666666667
2000-03-01,20868.95,26951.566999999995
2000-03-02,24558.4,26715.574333333334
2000-03-02,28945.87,26643.281
2000-03-02,28048.43,26558.523
2000-03-02,26951.57,26448.836333333333
2000-03-02,25754.99,26308.404333333332
