Date,poverty_rate,poverty_rate_MA30
2000-01-19,23.69,
2000-01-19,23.48,
2000-01-19,23.26,
2000-01-19,23.07,
2000-01-19,22.86,
2000-01-19,22.67,
2000-01-19,22.35,
2000-01-19,21.94,
2000-01-20,23.97,
2000-01-20,23.37,
2000-01-20,22.75,
2000-01-20,22.11,
2000-01-20,21.71,
2000-01-20,20.83,
2000-01-20,21.07,
2000-01-20,20.98,
2000-01-20,21.19,
2000-01-20,21.53,
2000-01-20,21.38,
2000-01-21,25.54,
2000-01-21,25.32,
2000-01-21,25.37,
2000-01-21,25.45,
2000-01-21,25.62,
2000-01-21,24.94,
2000-01-21,25.26,
2000-01-21,24.62,
2000-01-21,24.3,
2000-01-21,25.57,
2000-01-22,27.94,23.471333333333334
2000-01-22,27.73,23.605999999999998
2000-01-22,27.44,23.738000000000003
2000-01-22,27.03,23.86366666666667
2000-01-22,26.63,23.982333333333333
2000-01-22,26.07,24.089333333333332
2000-01-22,25.86,24.195666666666668
2000-01-22,25.66,24.306
2000-01-22,25.46,24.423333333333332
2000-01-22,26.28,24.500333333333337
2000-01-23,26.42,24.602
2000-01-23,25.59,24.69666666666667
2000-01-23,25.81,24.82
2000-01-23,26.03,24.964
2000-01-23,26.85,25.164666666666665
2000-01-23,27.62,25.383
2000-01-23,27.29,25.59333333333333
2000-01-23,27.85,25.815333333333335
2000-01-23,28.07,26.033333333333335
2000-01-23,28.14,26.258666666666667
2000-01-24,24.67,26.229666666666667
2000-01-24,24.83,26.21333333333333
2000-01-24,24.99,26.200666666666667
2000-01-24,25.15,26.19066666666667
2000-01-24,25.13,26.174333333333333
2000-01-24,25.07,26.17866666666667
2000-01-24,25.01,26.170333333333335
2000-01-24,24.95,26.18133333333333
2000-01-24,24.93,26.202333333333335
2000-01-24,25.14,26.188
2000-01-24,25.36,26.102
2000-01-25,23.23,25.952
2000-01-25,23.04,25.805333333333333
2000-01-25,22.92,25.668333333333333
2000-01-25,23.04,25.54866666666667
2000-01-25,23.39,25.459333333333337
2000-01-25,24.03,25.398333333333333
2000-01-25,23.71,25.333333333333332
2000-01-25,24.34,25.296
2000-01-25,24.51,25.237
2000-01-25,23.2,25.129666666666665
2000-01-26,25.35,25.121666666666666
2000-01-26,23.41,25.041666666666668
2000-01-26,23.72,24.96466666666667
2000-01-26,24.1,24.873
2000-01-26,24.47,24.767999999999997
2000-01-26,24.75,24.683333333333334
2000-01-26,24.94,24.586333333333336
2000-01-26,25.12,24.488
2000-01-26,25.31,24.393666666666665
2000-01-26,25.42,24.41866666666667
2000-01-27,24.21,24.398000000000003
2000-01-27,24.35,24.376666666666665
2000-01-27,23.94,24.336333333333336
2000-01-27,24.07,24.301
2000-01-27,24.49,24.281666666666663
2000-01-27,24.76,24.27333333333333
2000-01-27,24.62,24.262333333333334
2000-01-27,24.92,24.262
2000-01-27,25.07,24.259666666666664
2000-01-27,25.23,24.255333333333333
2000-01-28,24.03,24.281999999999996
2000-01-28,23.83,24.308333333333334
2000-01-28,23.72,24.335
2000-01-28,23.62,24.354333333333333
2000-01-28,23.52,24.358666666666668
2000-01-28,23.52,24.341666666666665
2000-01-28,23.59,24.337666666666667
2000-01-28,23.71,24.316666666666666
2000-01-28,23.82,24.29366666666667
2000-01-28,23.47,24.302666666666667
2000-01-29,24.99,24.290666666666667
2000-01-29,24.87,24.339333333333336
2000-01-29,24.91,24.379
2000-01-29,24.95,24.407333333333334
2000-01-29,24.97,24.423999999999996
2000-01-29,24.87,24.428
2000-01-29,24.77,24.42233333333333
2000-01-29,24.67,24.407333333333334
2000-01-29,24.56,24.382333333333335
2000-01-29,24.43,24.349333333333334
2000-01-29,24.23,24.35
2000-01-30,27.33,24.449333333333335
2000-01-30,26.95,24.549666666666667
2000-01-30,26.55,24.632333333333335
2000-01-30,26.14,24.687333333333335
2000-01-30,25.85,24.723666666666666
2000-01-30,25.64,24.75766666666667
2000-01-30,25.43,24.77466666666667
2000-01-30,25.22,24.779666666666667
2000-01-30,25.02,24.77266666666667
2000-01-30,24.85,24.8
2000-01-31,23.7,24.795666666666666
2000-01-31,24.1,24.808333333333334
2000-01-31,24.83,24.848666666666663
2000-01-31,25.56,24.916666666666668
2000-01-31,26.29,25.009
2000-01-31,27.04,25.124000000000002
2000-01-31,27.41,25.247333333333334
2000-01-31,27.69,25.37633333333333
2000-01-31,27.55,25.512333333333334
2000-01-31,26.68,25.568666666666665
2000-02-01,22.74,25.497666666666664
2000-02-01,23.33,25.445
2000-02-01,22.97,25.378999999999998
2000-02-01,22.61,25.300333333333334
2000-02-01,22.41,25.218333333333337
2000-02-01,22.52,25.143333333333334
2000-02-01,22.98,25.087
2000-02-01,23.23,25.042666666666666
2000-02-01,23.4,25.008333333333333
2000-02-01,23.55,24.985666666666663
2000-02-02,24.47,24.890333333333334
2000-02-02,24.17,24.797666666666665
2000-02-02,24.54,24.730666666666668
2000-02-02,24.51,24.676333333333336
2000-02-02,24.41,24.628333333333334
2000-02-02,23.71,24.564000000000004
2000-02-02,24.28,24.525666666666666
2000-02-02,24.01,24.485333333333337
2000-02-02,23.86,24.446666666666665
2000-02-02,24.34,24.42966666666667
2000-02-03,24.47,24.455333333333332
2000-02-03,24.94,24.483333333333334
2000-02-03,24.75,24.480666666666668
2000-02-03,24.57,24.447666666666667
2000-02-03,24.49,24.387666666666668
2000-02-03,25.12,24.323666666666664
2000-02-03,24.55,24.228333333333335
2000-02-03,24.58,24.124666666666666
2000-02-03,24.59,24.026
2000-02-03,24.57,23.95566666666667
2000-02-03,24.52,24.015
2000-02-04,27.17,24.142999999999997
2000-02-04,26.98,24.276666666666667
2000-02-04,27.53,24.44066666666667
2000-02-04,27.35,24.60533333333333
2000-02-04,26.8,24.747999999999998
2000-02-04,25.86,24.843999999999998
2000-02-04,26.23,24.944000000000003
2000-02-04,25.31,25.00766666666667
2000-02-04,26.61,25.109666666666666
2000-02-04,25.5,25.144
2000-02-05,27.65,25.26
2000-02-05,27.62,25.362666666666666
2000-02-05,27.58,25.464999999999996
2000-02-05,27.54,25.569333333333336
2000-02-05,27.52,25.69633333333333
2000-02-05,27.63,25.808
2000-02-05,27.77,25.933333333333334
2000-02-05,27.91,26.06833333333333
2000-02-05,28.06,26.192333333333337
2000-02-05,28.2,26.316666666666666
2000-02-06,29.62,26.472666666666665
2000-02-06,29.23,26.622
2000-02-06,29.39,26.782666666666668
2000-02-06,29.52,26.950333333333333
2000-02-06,29.52,27.096999999999998
2000-02-06,29.38,27.258
2000-02-06,29.23,27.413
2000-02-06,28.99,27.559666666666665
2000-02-06,28.7,27.697333333333333
2000-02-06,28.42,27.827333333333332
2000-02-07,28.97,27.887333333333334
2000-02-07,28.72,27.945333333333334
2000-02-07,28.48,27.977
2000-02-07,28.33,28.009666666666664
2000-02-07,28.18,28.05566666666667
2000-02-07,28.02,28.127666666666666
2000-02-07,27.87,28.182333333333336
2000-02-07,27.72,28.262666666666664
2000-02-07,27.57,28.294666666666668
2000-02-07,27.51,28.361666666666668
2000-02-08,26.79,28.332999999999995
2000-02-08,26.9,28.309
2000-02-08,26.57,28.275333333333332
2000-02-08,26.68,28.246666666666666
2000-02-08,26.99,28.229
2000-02-08,27.08,28.210666666666665
2000-02-08,27.16,28.19033333333333
2000-02-08,27.25,28.168333333333333
2000-02-08,27.33,28.144
2000-02-08,27.41,28.117666666666665
2000-02-08,27.46,28.045666666666666
2000-02-09,24.11,27.875
2000-02-09,24.39,27.708333333333332
2000-02-09,24.71,27.548000000000002
2000-02-09,25.03,27.398333333333333
2000-02-09,25.29,27.261999999999997
2000-02-09,25.51,27.137999999999998
2000-02-09,25.73,27.029333333333334
2000-02-09,25.95,26.937666666666665
2000-02-09,26.17,26.862666666666666
2000-02-09,26.39,26.776666666666664
2000-02-10,23.19,26.592333333333332
2000-02-10,23.13,26.413999999999998
2000-02-10,23.14,26.241
2000-02-10,23.15,26.07333333333333
2000-02-10,23.16,25.91133333333333
2000-02-10,23.29,25.758666666666667
2000-02-10,23.45,25.61633333333333
2000-02-10,23.62,25.484666666666666
2000-02-10,23.78,25.360333333333337
2000-02-10,23.95,25.265666666666668
2000-02-11,24.57,25.188
2000-02-11,24.45,25.11733333333333
2000-02-11,24.3,25.038
2000-02-11,24.1,24.941666666666666
2000-02-11,23.89,24.835333333333335
2000-02-11,23.59,24.716333333333335
2000-02-11,23.48,24.590666666666667
2000-02-11,23.38,24.459
2000-02-11,23.28,24.321333333333335
2000-02-11,23.7,24.196
2000-02-12,25.19,24.232000000000003
2000-02-12,25.81,24.279333333333334
2000-02-12,25.57,24.308
2000-02-12,25.32,24.317666666666664
2000-02-12,26.05,24.343000000000004
2000-02-12,25.15,24.331000000000003
2000-02-12,25.05,24.308333333333334
2000-02-12,24.69,24.266333333333332
2000-02-12,25.12,24.231333333333335
2000-02-12,24.93,24.182666666666666
2000-02-12,24.8,24.236333333333334
2000-02-13,26.29,24.341666666666665
2000-02-13,26.53,24.454666666666665
2000-02-13,26.84,24.57766666666667
2000-02-13,27.28,24.715
2000-02-13,27.73,24.863
2000-02-13,28.13,25.019000000000002
2000-02-13,28.36,25.177000000000003
2000-02-13,28.58,25.337
2000-02-13,28.8,25.49866666666667
2000-02-13,28.99,25.646
2000-02-14,27.55,25.749333333333333
2000-02-14,27.67,25.861666666666668
2000-02-14,27.8,25.985
2000-02-14,27.93,26.119666666666664
2000-02-14,28.06,26.268666666666668
2000-02-14,28.39,26.432333333333336
2000-02-14,28.92,26.617
2000-02-14,28.19,26.780666666666665
2000-02-14,28.59,26.94366666666667
2000-02-14,28.8,27.064
2000-02-15,27.42,27.117666666666665
2000-02-15,27.36,27.17733333333333
2000-02-15,27.31,27.24366666666667
2000-02-15,27.26,27.284
2000-02-15,27.03,27.346666666666668
2000-02-15,26.9,27.408333333333335
2000-02-15,26.77,27.477666666666664
2000-02-15,26.66,27.529
2000-02-15,26.53,27.582333333333334
2000-02-15,27.16,27.660999999999998
2000-02-16,23.69,27.574333333333335
2000-02-16,24.72,27.514000000000003
2000-02-16,24.06,27.421333333333333
2000-02-16,24.39,27.325
